time,open,high,low,close,volume
2021-09-28 16:30:00,677.32,677.32,677.32,677.32,4714
2021-09-28 16:00:00,679.13,680.96,675.965,677.36,74129
2021-09-28 15:30:00,681.73,682.38,679.01,679.87,25613
2021-09-28 15:00:00,679.46,682.24,677.13,681.9,24615
2021-09-28 14:30:00,679.19,680.54,675.14,679.24,14245
2021-09-28 14:00:00,680.52,682.06,679.01,679.51,16995
2021-09-28 13:30:00,673.41,680.975,672.65,680.75,18468
2021-09-28 13:00:00,676.79,677.47,674.0,674.73,21991
2021-09-28 12:30:00,674.75,677.91,674.185,676.8864,25582
2021-09-28 12:00:00,674.29,676.17,673.35,675.94,25195
2021-09-28 11:30:00,680.41,680.91,674.53,674.53,28851
2021-09-28 11:00:00,676.81,682.82,676.01,679.67,43349
2021-09-28 10:30:00,679.48,681.885,673.5601,675.69,45459
2021-09-28 10:00:00,692.07,692.735,677.02,681.3945,58567
2021-09-28 09:30:00,693.99,694.0,693.99,694.0,378
2021-09-27 16:30:00,701.04,701.04,701.04,701.04,11491
2021-09-27 16:00:00,701.21,702.1599,698.56,700.26,56817
2021-09-27 15:30:00,703.22,703.34,701.02,701.02,13241
2021-09-27 15:00:00,703.79,704.12,702.5,703.5,13575
2021-09-27 14:30:00,701.215,704.36,701.215,703.26,15874
2021-09-27 14:00:00,699.85,701.24,698.55,701.24,19108
2021-09-27 13:30:00,693.805,699.89,693.805,699.89,25162
2021-09-27 13:00:00,696.72,696.72,693.39,693.78,20400
2021-09-27 12:30:00,695.62,697.14,694.425,697.045,31897
2021-09-27 12:00:00,697.525,697.89,694.685,695.83,32087
2021-09-27 11:30:00,704.64,704.64,696.32,697.8331,31172
2021-09-27 11:00:00,704.42,708.28,703.76,704.505,35953
2021-09-27 10:30:00,709.07,709.59,703.42,703.74,36017
2021-09-27 10:00:00,716.59,720.065,706.77,709.87,37071
2021-09-27 09:30:00,723.56,723.56,723.55,723.55,578
2021-09-24 16:30:00,725.24,725.24,725.24,725.24,2757
2021-09-24 16:00:00,725.23,725.93,724.38,725.23,36611
2021-09-24 15:30:00,724.44,724.98,722.805,724.4,8242
2021-09-24 15:00:00,722.79,724.94,722.64,724.745,4570
2021-09-24 14:30:00,724.39,725.16,722.86,723.42,14666
2021-09-24 14:00:00,726.095,726.095,723.44,724.245,7479
2021-09-24 13:30:00,725.335,726.295,724.54,725.305,6507
2021-09-24 13:00:00,724.14,725.7,723.04,725.275,7499
2021-09-24 12:30:00,723.19,724.04,721.1,723.685,4534
2021-09-24 12:00:00,721.285,721.71,719.74,721.71,3644
2021-09-24 11:30:00,720.43,724.0,720.36,720.64,9979
2021-09-24 11:00:00,722.46,724.18,720.08,721.66,9124
2021-09-24 10:30:00,721.07,723.79,719.77,722.54,11619
2021-09-24 10:00:00,718.47,721.8399,715.2898,719.205,30342
2021-09-23 16:30:00,727.11,727.11,727.11,727.11,4535
2021-09-23 16:00:00,729.46,729.66,726.71,727.11,60447
2021-09-23 15:30:00,729.08,730.635,728.72,728.805,18860
2021-09-23 15:00:00,732.53,733.415,728.92,729.51,17214
2021-09-23 14:30:00,736.325,737.452,732.105,732.63,35584
2021-09-23 14:00:00,733.55,736.675,733.55,736.28,25605
2021-09-23 13:30:00,730.5,733.65,729.98,732.96,20254
2021-09-23 13:00:00,728.62,730.9,728.51,730.02,12121
2021-09-23 12:30:00,728.295,729.04,726.52,727.76,9993
2021-09-23 12:00:00,728.46,729.375,726.21,729.375,9114
2021-09-23 11:30:00,732.01,732.01,728.1417,728.885,10836
2021-09-23 11:00:00,728.7,732.49,728.31,732.14,21392
2021-09-23 10:30:00,727.34,729.1268,726.33,729.1268,17947
2021-09-23 10:00:00,723.0,728.61,720.18,726.07,18994
2021-09-22 16:30:00,716.61,716.61,716.61,716.61,7794
2021-09-22 16:00:00,717.08,719.82,714.51,716.59,61510
2021-09-22 15:30:00,714.0,719.01,713.23,717.48,29034
2021-09-22 15:00:00,722.745,723.2,713.88,714.58,26472
2021-09-22 14:30:00,720.19,725.27,718.64,722.745,35648
2021-09-22 14:00:00,718.91,721.0,718.21,720.94,27990
2021-09-22 13:30:00,716.96,719.21,715.38,718.76,26128
2021-09-22 13:00:00,716.78,718.84,716.47,716.81,12790
2021-09-22 12:30:00,715.5669,718.19,715.23,716.95,16905
2021-09-22 12:00:00,712.595,715.35,712.595,715.085,14045
2021-09-22 11:30:00,710.2,713.42,709.52,712.565,22357
2021-09-22 11:00:00,707.77,710.585,705.025,710.485,19357
2021-09-22 10:30:00,705.565,713.0,705.515,708.27,30034
2021-09-22 10:00:00,713.31,713.31,701.21,707.1787,35905
2021-09-21 16:30:00,709.15,709.15,709.15,709.15,9216
2021-09-21 16:00:00,709.25,709.94,706.175,709.16,67708
2021-09-21 15:30:00,709.6,710.33,708.605,709.25,12826
2021-09-21 15:00:00,706.54,710.89,706.34,708.94,23235
2021-09-21 14:30:00,708.57,708.7,704.61,706.37,21364
2021-09-21 14:00:00,707.94,710.78,706.165,707.375,15665
2021-09-21 13:30:00,711.5,712.05,708.67,708.67,10704
2021-09-21 13:00:00,716.73,716.98,710.78,711.96,22776
2021-09-21 12:30:00,717.24,720.3,717.24,718.04,15949
2021-09-21 12:00:00,718.04,721.0,717.71,717.71,15964
2021-09-21 11:30:00,712.16,719.63,711.63,719.25,27100
2021-09-21 11:00:00,713.935,715.44,711.92,711.92,26171
2021-09-21 10:30:00,713.56,714.82,710.51,714.82,25940
2021-09-21 10:00:00,717.14,717.14,710.0,713.15,39985
2021-09-20 16:30:00,709.64,709.64,709.64,709.64,9862
2021-09-20 16:00:00,703.585,710.67,703.49,709.98,84317
2021-09-20 15:30:00,702.005,703.79,700.01,703.79,18846
2021-09-20 15:00:00,701.055,702.76,699.1,701.74,16184
2021-09-20 14:30:00,706.3,706.4,700.51,700.84,14275
2021-09-20 14:00:00,703.69,706.3,703.21,706.0,13737
2021-09-20 13:30:00,702.46,704.495,700.0,704.495,13347
2021-09-20 13:00:00,700.395,703.075,699.905,702.55,15548
2021-09-20 12:30:00,705.08,705.09,698.03,700.115,35977
2021-09-20 12:00:00,713.23,713.61,704.46,705.27,19629
2021-09-20 11:30:00,702.65,713.685,701.85,713.37,33191
2021-09-20 11:00:00,706.58,707.62,701.02,703.26,25631
2021-09-20 10:30:00,705.07,708.4653,704.5431,707.19,33001
2021-09-20 10:00:00,708.02,710.98,698.78,703.32,61771
