time,open,high,low,close,volume
2021-09-29 16:30:00,43.89,43.91,43.89,43.91,77563
2021-09-29 16:00:00,43.955,43.975,43.845,43.87,1330156
2021-09-29 15:30:00,44.005,44.025,43.89,43.955,275482
2021-09-29 15:00:00,44.03,44.075,44.0,44.01,236244
2021-09-29 14:30:00,43.9,44.04,43.88,44.02,218244
2021-09-29 14:00:00,43.88,43.96,43.835,43.905,265974
2021-09-29 13:30:00,43.88,43.92,43.825,43.885,194427
2021-09-29 13:00:00,43.93,43.945,43.865,43.875,129343
2021-09-29 12:30:00,44.005,44.035,43.885,43.925,130750
2021-09-29 12:00:00,43.97,44.065,43.92,44.005,302528
2021-09-29 11:30:00,43.92,43.96,43.775,43.96,222444
2021-09-29 11:00:00,44.03,44.12,43.885,43.915,274875
2021-09-29 10:30:00,44.06,44.14,43.91,44.02,337566
2021-09-29 10:00:00,43.84,44.2,43.72,44.05,454187
2021-09-29 09:30:00,43.8999,43.8999,43.8999,43.8999,1208
2021-09-28 17:00:00,43.63,43.63,43.63,43.63,3073
2021-09-28 16:30:00,43.67,43.67,43.67,43.67,70877
2021-09-28 16:00:00,43.86,43.93,43.65,43.68,1121787
2021-09-28 15:30:00,43.805,43.915,43.775,43.87,293399
2021-09-28 15:00:00,43.68,43.83,43.61,43.81,177613
2021-09-28 14:30:00,43.56,43.7,43.49,43.685,157786
2021-09-28 14:00:00,43.61,43.67,43.56,43.56,127000
2021-09-28 13:30:00,43.53,43.65,43.47,43.61,137933
2021-09-28 13:00:00,43.62,43.62,43.48,43.53,142223
2021-09-28 12:30:00,43.655,43.655,43.54,43.63,193467
2021-09-28 12:00:00,43.715,43.745,43.615,43.66,238590
2021-09-28 11:30:00,43.75,43.81,43.675,43.715,271546
2021-09-28 11:00:00,43.75,43.82,43.56,43.74,338267
2021-09-28 10:30:00,43.87,43.87,43.55,43.75,341061
2021-09-28 10:00:00,44.22,44.32,43.64,43.88,449091
2021-09-27 16:30:00,44.46,44.46,44.46,44.46,42088
2021-09-27 16:00:00,44.455,44.5,44.4,44.46,697399
2021-09-27 15:30:00,44.545,44.55,44.38,44.455,193621
2021-09-27 15:00:00,44.45,44.58,44.42,44.55,255125
2021-09-27 14:30:00,44.47,44.51,44.41,44.46,235961
2021-09-27 14:00:00,44.515,44.535,44.435,44.455,233509
2021-09-27 13:30:00,44.39,44.515,44.365,44.515,147158
2021-09-27 13:00:00,44.41,44.51,44.35,44.395,219552
2021-09-27 12:30:00,44.32,44.53,44.295,44.415,336274
2021-09-27 12:00:00,44.455,44.46,44.315,44.325,159775
2021-09-27 11:30:00,44.65,44.81,44.39,44.455,315287
2021-09-27 11:00:00,44.61,44.75,44.6,44.655,264476
2021-09-27 10:30:00,44.61,44.66,44.425,44.605,202830
2021-09-27 10:00:00,44.51,44.76,44.23,44.62,591209
2021-09-24 17:00:00,44.71,44.79,44.71,44.79,1151
2021-09-24 16:30:00,44.7,44.7,44.7,44.7,153497
2021-09-24 16:00:00,44.705,44.8,44.67,44.7,897822
2021-09-24 15:30:00,44.53,44.71,44.5,44.7,337122
2021-09-24 15:00:00,44.39,44.55,44.385,44.53,142638
2021-09-24 14:30:00,44.405,44.4599,44.39,44.4,112945
2021-09-24 14:00:00,44.5,44.52,44.41,44.41,119965
2021-09-24 13:30:00,44.505,44.52,44.415,44.5,170150
2021-09-24 13:00:00,44.48,44.55,44.445,44.5099,168266
2021-09-24 12:30:00,44.54,44.57,44.49,44.49,128371
2021-09-24 12:00:00,44.595,44.615,44.442,44.55,157470
2021-09-24 11:30:00,44.6,44.68,44.57,44.6,240123
2021-09-24 11:00:00,44.73,44.74,44.53,44.6,314594
2021-09-24 10:30:00,44.9,45.06,44.73,44.73,421448
2021-09-24 10:00:00,44.9,45.1,44.77,44.89,457525
2021-09-24 07:30:00,44.94,45.0,44.94,45.0,754
2021-09-23 18:30:00,45.05,45.05,45.05,45.05,300
2021-09-23 16:30:00,45.0,45.0,45.0,45.0,75692
2021-09-23 16:00:00,45.12,45.18,44.995,45.01,1235302
2021-09-23 15:30:00,45.125,45.17,45.065,45.11,340458
2021-09-23 15:00:00,45.25,45.3,45.12,45.125,366228
2021-09-23 14:30:00,45.325,45.4,45.235,45.245,387249
2021-09-23 14:00:00,45.215,45.4,45.215,45.325,363752
2021-09-23 13:30:00,45.055,45.235,45.055,45.2172,696405
2021-09-23 13:00:00,45.045,45.125,45.035,45.06,220824
2021-09-23 12:30:00,45.115,45.115,44.95,45.05,845727
2021-09-23 12:00:00,45.14,45.25,45.015,45.115,817228
2021-09-23 11:30:00,45.115,45.25,45.08,45.145,501592
2021-09-23 11:00:00,45.1,45.15,44.95,45.11,735653
2021-09-23 10:30:00,44.88,45.16,44.865,45.095,454878
2021-09-23 10:00:00,44.51,44.95,44.32,44.87,566485
2021-09-22 19:00:00,44.38,44.38,44.38,44.38,500
2021-09-22 18:30:00,44.51,44.51,44.51,44.51,198
2021-09-22 18:00:00,44.5,44.5,44.5,44.5,377
2021-09-22 17:00:00,44.31,44.32,44.22,44.22,5049
2021-09-22 16:30:00,44.31,44.31,44.31,44.31,80675
2021-09-22 16:00:00,44.39,44.44,44.28,44.31,835806
2021-09-22 15:30:00,44.32,44.48,44.265,44.4,231079
2021-09-22 15:00:00,44.67,44.71,44.3,44.325,283450
2021-09-22 14:30:00,44.65,44.77,44.53,44.67,374020
2021-09-22 14:00:00,44.825,44.94,44.65,44.66,558870
2021-09-22 13:30:00,44.68,44.885,44.62,44.825,518171
2021-09-22 13:00:00,44.36,44.82,44.34,44.69,783731
2021-09-22 12:30:00,44.34,44.39,44.29,44.35,207253
2021-09-22 12:00:00,44.23,44.38,44.16,44.34,662117
2021-09-22 11:30:00,44.14,44.245,44.13,44.225,527226
2021-09-22 11:00:00,44.25,44.29,44.045,44.135,353542
2021-09-22 10:30:00,43.83,44.33,43.83,44.25,1776701
2021-09-22 10:00:00,43.43,44.08,43.23,43.83,1134277
2021-09-22 09:30:00,43.0,43.35,43.0,43.35,11691
2021-09-22 09:00:00,43.5,43.51,42.85,43.0,30946
2021-09-21 18:30:00,43.04,43.04,43.04,43.04,200
2021-09-21 16:30:00,43.36,43.36,43.36,43.36,201686
2021-09-21 16:00:00,43.61,43.63,43.34,43.35,1313278
2021-09-21 15:30:00,43.575,43.69,43.57,43.61,724889
2021-09-21 15:00:00,43.46,43.65,43.455,43.58,178733
2021-09-21 14:30:00,43.49,43.54,43.43,43.46,200730
2021-09-21 14:00:00,43.57,43.585,43.385,43.49,236139
2021-09-21 13:30:00,43.66,43.7164,43.56,43.5672,146048
2021-09-21 13:00:00,43.7008,43.71,43.55,43.65,194248
2021-09-21 12:30:00,43.845,43.905,43.705,43.71,144444
2021-09-21 12:00:00,43.79,43.88,43.76,43.84,301028
2021-09-21 11:30:00,43.77,43.87,43.725,43.78,215662
2021-09-21 11:00:00,44.04,44.04,43.71,43.78,313446
2021-09-21 10:30:00,44.08,44.18,43.865,44.04,312902
2021-09-21 10:00:00,44.02,44.355,43.97,44.07,1196367
2021-09-21 09:30:00,43.96,43.96,43.96,43.96,200
2021-09-21 08:30:00,43.67,43.67,43.67,43.67,525
2021-09-20 17:00:00,43.55,43.55,43.55,43.55,1874
2021-09-20 16:30:00,43.64,43.64,43.64,43.64,42277
2021-09-20 16:00:00,43.41,43.71,43.38,43.64,1245211
2021-09-20 15:30:00,43.355,43.405,43.24,43.405,428582
2021-09-20 15:00:00,43.45,43.4501,43.31,43.36,388581
2021-09-20 14:30:00,43.61,43.635,43.42,43.455,229528
2021-09-20 14:00:00,43.675,43.69,43.565,43.61,197707
2021-09-20 13:30:00,43.67,43.72,43.595,43.68,203998
2021-09-20 13:00:00,43.79,43.8,43.66,43.665,151126
2021-09-20 12:30:00,43.79,43.81,43.66,43.79,325469
2021-09-20 12:00:00,44.02,44.04,43.77,43.795,559756
2021-09-20 11:30:00,43.78,44.06,43.75,44.05,548834
2021-09-20 11:00:00,43.95,44.05,43.63,43.79,497519
2021-09-20 10:30:00,43.78,43.965,43.69,43.95,372631
2021-09-20 10:00:00,43.8,44.08,43.64,43.79,525988
2021-09-20 09:30:00,43.1419,43.91,43.1419,43.84,13806
2021-09-20 09:00:00,43.28,43.28,43.28,43.28,200
2021-09-17 17:00:00,44.37,44.37,44.26,44.26,2039
2021-09-17 16:30:00,44.37,44.37,44.36,44.3675,395751
2021-09-17 16:00:00,44.34,44.46,44.26,44.36,1199242
2021-09-17 15:30:00,44.33,44.385,44.31,44.34,256371
2021-09-17 15:00:00,44.295,44.395,44.28,44.32,200351
2021-09-17 14:30:00,44.315,44.3969,44.275,44.3,187452
2021-09-17 14:00:00,44.325,44.36,44.26,44.32,155124
2021-09-17 13:30:00,44.45,44.455,44.245,44.33,168579
2021-09-17 13:00:00,44.31,44.4957,44.31,44.445,200659
2021-09-17 12:30:00,44.28,44.35,44.25,44.31,191336
2021-09-17 12:00:00,44.21,44.325,44.15,44.28,389401
2021-09-17 11:30:00,44.205,44.33,44.11,44.215,292461
2021-09-17 11:00:00,44.15,44.22,44.0,44.21,350305
2021-09-17 10:30:00,44.11,44.21,43.92,44.15,454718
2021-09-17 10:00:00,44.53,44.71,44.05,44.1,1482807
2021-09-17 09:30:00,44.6,44.6,44.54,44.55,1310
2021-09-17 09:00:00,44.77,44.77,44.77,44.77,347
2021-09-17 07:30:00,43.86,43.86,43.86,43.86,1025
2021-09-17 07:00:00,43.76,43.76,43.62,43.62,863
2021-09-17 06:30:00,43.81,44.84,43.36,44.84,7861
2021-09-16 17:30:00,44.9,44.9,44.9,44.9,377000
2021-09-16 17:00:00,44.9,44.9,44.81,44.81,1407
2021-09-16 16:30:00,44.9,44.9,44.9,44.9,58988
2021-09-16 16:00:00,44.925,44.975,44.86,44.91,759202
2021-09-16 15:30:00,44.96,45.06,44.92,44.925,306970
2021-09-16 15:00:00,44.85,44.965,44.84,44.965,219735
2021-09-16 14:30:00,44.9,44.955,44.82,44.85,329450
2021-09-16 14:00:00,44.92,44.92,44.79,44.9,344799
2021-09-16 13:30:00,44.955,44.9668,44.87,44.925,106284
2021-09-16 13:00:00,44.9,44.995,44.865,44.955,310932
2021-09-16 12:30:00,44.73,44.96,44.73,44.9,232574
2021-09-16 12:00:00,44.79,44.865,44.64,44.725,256057
2021-09-16 11:30:00,44.72,44.815,44.64,44.78,839696
2021-09-16 11:00:00,44.74,44.84,44.655,44.725,246653
2021-09-16 10:30:00,44.81,44.83,44.67,44.75,174432
2021-09-16 10:00:00,45.01,45.12,44.765,44.82,293497
2021-09-16 09:00:00,45.1,45.1,45.1,45.1,100
2021-09-15 17:00:00,45.1,45.1,45.1,45.1,3170
2021-09-15 16:30:00,45.01,45.01,45.01,45.01,70402
2021-09-15 16:00:00,45.155,45.18,44.96,45.02,1255609
2021-09-15 15:30:00,45.095,45.16,45.06,45.155,217379
2021-09-15 15:00:00,45.15,45.21,45.0797,45.095,174026
2021-09-15 14:30:00,45.25,45.25,45.11,45.14,153435
2021-09-15 14:00:00,45.3,45.34,45.225,45.245,204939
2021-09-15 13:30:00,45.275,45.365,45.22,45.3,574429
2021-09-15 13:00:00,45.32,45.36,45.25,45.275,336497
2021-09-15 12:30:00,45.275,45.35,45.22,45.32,307697
2021-09-15 12:00:00,45.25,45.34,45.135,45.275,298831
2021-09-15 11:30:00,45.16,45.26,45.02,45.26,365530
2021-09-15 11:00:00,45.07,45.18,45.03,45.155,151001
2021-09-15 10:30:00,44.88,45.19,44.86,45.06,317529
2021-09-15 10:00:00,44.88,44.97,44.62,44.88,272904
