time,open,high,low,close,volume
2021-09-29 16:30:00,56.52,56.52,56.52,56.52,16640
2021-09-29 16:00:00,56.38,56.54,56.36,56.53,332455
2021-09-29 15:30:00,56.51,56.53,56.33,56.39,90880
2021-09-29 15:00:00,56.69,56.71,56.41,56.47,68566
2021-09-29 14:30:00,56.37,56.69,56.352,56.67,129515
2021-09-29 14:00:00,56.25,56.46,56.18,56.38,85270
2021-09-29 13:30:00,56.17,56.375,56.08,56.255,70006
2021-09-29 13:00:00,56.07,56.25,56.035,56.18,106068
2021-09-29 12:30:00,56.22,56.3,56.04,56.08,68445
2021-09-29 12:00:00,56.17,56.27,56.06,56.2,94797
2021-09-29 11:30:00,56.11,56.2712,55.95,56.185,131891
2021-09-29 11:00:00,56.04,56.4,55.95,56.1,215345
2021-09-29 10:30:00,56.3,56.43,56.08,56.15,224679
2021-09-29 10:00:00,56.8,56.8,55.83,56.294,322115
2021-09-28 18:30:00,56.64,56.64,56.64,56.64,149
2021-09-28 17:30:00,56.55,56.55,56.55,56.55,1200
2021-09-28 16:30:00,56.64,56.64,56.64,56.64,26813
2021-09-28 16:00:00,56.575,56.82,56.35,56.64,759828
2021-09-28 15:30:00,56.6,56.8,56.54,56.56,225710
2021-09-28 15:00:00,56.6,56.68,56.405,56.59,134970
2021-09-28 14:30:00,56.4,56.65,56.35,56.61,193505
2021-09-28 14:00:00,56.65,56.72,56.33,56.395,82535
2021-09-28 13:30:00,56.24,56.71,56.185,56.66,94835
2021-09-28 13:00:00,56.295,56.55,56.22,56.25,89591
2021-09-28 12:30:00,56.32,56.33,56.0,56.295,95971
2021-09-28 12:00:00,56.44,56.77,56.2202,56.32,126610
2021-09-28 11:30:00,56.89,56.92,56.13,56.463,146908
2021-09-28 11:00:00,55.93,56.92,55.895,56.89,339539
2021-09-28 10:30:00,56.22,56.43,55.7,55.91,366418
2021-09-28 10:00:00,56.0,57.01,55.98,56.21,573721
2021-09-28 09:00:00,55.53,55.53,55.53,55.53,165
2021-09-28 08:30:00,55.42,56.09,55.42,55.46,1684
2021-09-28 07:30:00,55.92,55.92,55.9,55.9,357
2021-09-27 19:00:00,56.1,56.1,56.1,56.1,1000
2021-09-27 16:30:00,56.09,56.09,56.0,56.0,29017
2021-09-27 16:00:00,56.22,56.23,55.89,56.12,565901
2021-09-27 15:30:00,56.45,56.65,56.22,56.22,212756
