time,open,high,low,close,volume
2021-09-29 16:30:00,63.26,63.26,63.26,63.26,30492
2021-09-29 16:00:00,63.48,63.5,63.23,63.27,273319
2021-09-29 15:30:00,63.45,63.54,63.32,63.5,96286
2021-09-29 15:00:00,63.38,63.46,63.3,63.44,120050
2021-09-29 14:30:00,63.25,63.42,63.24,63.38,127422
2021-09-29 14:00:00,63.14,63.35,63.07,63.25,85090
2021-09-29 13:30:00,63.31,63.32,63.06,63.13,85580
2021-09-29 13:00:00,63.5,63.51,63.32,63.32,38916
2021-09-29 12:30:00,63.565,63.62,63.44,63.5,49484
2021-09-29 12:00:00,63.59,63.73,63.5,63.57,119858
2021-09-29 11:30:00,63.58,63.73,63.462,63.605,60445
2021-09-29 11:00:00,63.53,63.66,63.41,63.59,57395
2021-09-29 10:30:00,63.38,63.52,63.12,63.52,47803
2021-09-29 10:00:00,63.37,63.65,63.01,63.31,89614
2021-09-28 16:30:00,63.5,63.5,63.5,63.5,31815
2021-09-28 16:00:00,63.56,63.68,63.35,63.52,837554
2021-09-28 15:30:00,63.64,63.79,63.54,63.57,127833
2021-09-28 15:00:00,63.85,63.88,63.56,63.63,168610
2021-09-28 14:30:00,63.55,63.865,63.5,63.865,141550
2021-09-28 14:00:00,63.61,63.67,63.515,63.52,69786
2021-09-28 13:30:00,63.24,63.71,63.2,63.63,125410
2021-09-28 13:00:00,63.41,63.41,63.08,63.23,77574
2021-09-28 12:30:00,63.5,63.56,63.37,63.44,119866
2021-09-28 12:00:00,63.3347,63.59,63.23,63.525,192698
2021-09-28 11:30:00,63.01,63.45,62.93,63.33,103381
2021-09-28 11:00:00,63.24,63.39,62.975,62.975,81894
2021-09-28 10:30:00,63.85,63.87,62.99,63.21,107431
2021-09-28 10:00:00,63.5,64.06,63.49,63.88,337744
2021-09-27 19:30:00,63.85,63.85,63.85,63.85,100
2021-09-27 17:00:00,63.83,63.83,63.83,63.83,976
2021-09-27 16:30:00,63.83,63.83,63.83,63.83,122130
2021-09-27 16:00:00,63.98,64.03,63.74,63.83,682969
2021-09-27 15:30:00,63.92,64.07,63.8942,63.975,140218
2021-09-27 15:00:00,64.385,64.385,63.88,63.92,143101
2021-09-27 14:30:00,64.87,64.87,64.345,64.39,381002
2021-09-27 14:00:00,64.73,64.91,64.68,64.88,183372
2021-09-27 13:30:00,64.53,64.77,64.52,64.74,193713
2021-09-27 13:00:00,64.66,64.71,64.53,64.54,121410
2021-09-27 12:30:00,64.5,64.77,64.44,64.67,164847
2021-09-27 12:00:00,64.7,64.75,64.4,64.51,727319
2021-09-27 11:30:00,64.51,64.71,64.38,64.705,139565
2021-09-27 11:00:00,64.47,64.61,64.38,64.52,128954
2021-09-27 10:30:00,64.2,64.78,64.07,64.5,214428
2021-09-27 10:00:00,63.16,64.56,63.0,64.16,170226
2021-09-27 09:30:00,62.4,63.05,62.4,63.05,1950
2021-09-24 20:00:00,62.75,62.75,62.75,62.75,100
2021-09-24 17:00:00,62.82,62.82,62.82,62.82,915
2021-09-24 16:30:00,62.82,62.82,62.82,62.82,81428
2021-09-24 16:00:00,62.93,63.03,62.8,62.82,318552
2021-09-24 15:30:00,62.77,62.94,62.7,62.91,90145
2021-09-24 15:00:00,62.66,62.7941,62.64,62.77,60978
2021-09-24 14:30:00,62.63,62.76,62.61,62.695,58431
2021-09-24 14:00:00,62.665,62.75,62.57,62.62,98162
2021-09-24 13:30:00,62.56,62.677,62.47,62.677,48871
2021-09-24 13:00:00,62.52,62.64,62.44,62.578,48522
2021-09-24 12:30:00,62.5,62.52,62.41,62.47,40030
2021-09-24 12:00:00,62.3801,62.525,62.38,62.51,43992
2021-09-24 11:30:00,62.42,62.5,62.33,62.41,44813
2021-09-24 11:00:00,62.49,62.55,62.33,62.43,70915
2021-09-24 10:30:00,62.335,62.62,62.22,62.49,100585
2021-09-24 10:00:00,62.43,62.58,61.98,62.36,143999
2021-09-23 19:00:00,62.7,62.7,62.7,62.7,300
2021-09-23 17:00:00,62.6,62.6,62.6,62.6,597
2021-09-23 16:30:00,62.6,62.6,62.6,62.6,35748
2021-09-23 16:00:00,62.95,62.95,62.45,62.59,715399
2021-09-23 15:30:00,63.19,63.25,62.96,62.96,183795
2021-09-23 15:00:00,63.32,63.345,63.16,63.18,85607
2021-09-23 14:30:00,63.27,63.39,63.17,63.32,89302
2021-09-23 14:00:00,63.195,63.28,63.17,63.27,80780
2021-09-23 13:30:00,63.03,63.26,63.01,63.2,140886
2021-09-23 13:00:00,63.03,63.21,63.01,63.01,107597
2021-09-23 12:30:00,63.11,63.19,62.98,63.02,97071
2021-09-23 12:00:00,63.18,63.31,63.12,63.13,92731
2021-09-23 11:30:00,63.4,63.42,63.15,63.17,78711
2021-09-23 11:00:00,63.31,63.54,63.22,63.38,106110
2021-09-23 10:30:00,63.19,63.45,63.18,63.29,91204
2021-09-23 10:00:00,62.73,63.45,62.51,63.275,173538
2021-09-23 09:30:00,62.97,62.97,62.79,62.79,1115
2021-09-22 16:30:00,62.94,62.94,62.94,62.94,23237
2021-09-22 16:00:00,63.17,63.18,62.82,62.95,407326
2021-09-22 15:30:00,63.16,63.36,63.04,63.1899,267633
2021-09-22 15:00:00,63.45,63.475,63.06,63.14,227133
2021-09-22 14:30:00,63.61,63.94,63.395,63.465,89893
2021-09-22 14:00:00,63.66,63.76,63.605,63.605,73547
2021-09-22 13:30:00,63.62,63.69,63.57,63.66,94710
2021-09-22 13:00:00,63.47,63.665,63.42,63.61,174781
2021-09-22 12:30:00,63.51,63.64,63.35,63.45,62616
2021-09-22 12:00:00,63.85,63.95,63.39,63.54,107022
2021-09-22 11:30:00,63.94,64.13,63.87,63.88,78140
2021-09-22 11:00:00,63.8,63.95,63.6482,63.92,87635
2021-09-22 10:30:00,63.22,63.76,63.14,63.76,163612
2021-09-22 10:00:00,63.245,63.6687,63.05,63.175,100739
2021-09-22 09:00:00,63.38,63.38,63.38,63.38,130
2021-09-22 07:30:00,63.29,63.29,63.02,63.02,605
2021-09-21 16:30:00,63.09,63.1,63.09,63.1,136442
2021-09-21 16:00:00,63.08,63.41,63.0002,63.08,1060192
2021-09-21 15:30:00,63.105,63.26,63.01,63.0705,899740
2021-09-21 15:00:00,63.285,63.37,63.09,63.11,215871
2021-09-21 14:30:00,63.2,63.35,63.03,63.27,271573
2021-09-21 14:00:00,63.18,63.46,63.1,63.19,124219
2021-09-21 13:30:00,63.32,63.35,63.075,63.18,131300
2021-09-21 13:00:00,63.4,63.45,63.27,63.33,88611
2021-09-21 12:30:00,63.8,63.82,63.41,63.41,142438
2021-09-21 12:00:00,63.82,64.04,63.68,63.79,191374
2021-09-21 11:30:00,63.725,63.9,63.675,63.82,149926
2021-09-21 11:00:00,63.53,64.03,63.46,63.765,393383
2021-09-21 10:30:00,64.06,64.11,63.38,63.53,216327
2021-09-21 10:00:00,64.53,64.9,63.94,64.03,225730
2021-09-21 09:30:00,64.52,64.52,64.52,64.52,100
2021-09-20 18:00:00,64.72,64.72,64.72,64.72,100
2021-09-20 16:30:00,64.35,64.35,64.35,64.35,31504
2021-09-20 16:00:00,64.28,64.49,64.23,64.34,853701
2021-09-20 15:30:00,64.24,64.325,63.98,64.27,293347
2021-09-20 15:00:00,64.31,64.41,64.04,64.26,300796
2021-09-20 14:30:00,64.36,64.41,64.05,64.32,219453
2021-09-20 14:00:00,64.58,64.58,64.33,64.37,183473
2021-09-20 13:30:00,64.43,64.63,64.2,64.587,180906
2021-09-20 13:00:00,64.59,64.69,64.41,64.44,182874
2021-09-20 12:30:00,64.58,64.64,64.41,64.59,129915
2021-09-20 12:00:00,64.6,64.665,64.36,64.58,213755
2021-09-20 11:30:00,64.74,64.91,64.37,64.61,214192
2021-09-20 11:00:00,64.36,64.8,64.21,64.74,282391
2021-09-20 10:30:00,64.25,64.52,63.815,64.3379,381630
2021-09-20 10:00:00,64.04,64.385,63.47,64.255,397053
2021-09-20 09:30:00,64.06,64.06,64.05,64.05,390
2021-09-20 09:00:00,63.53,63.53,63.01,63.01,659
2021-09-20 08:30:00,63.5,63.5,63.5,63.5,160
2021-09-20 08:00:00,63.0,63.0,63.0,63.0,1017
2021-09-20 07:30:00,63.53,63.61,63.5,63.5,673
2021-09-17 19:30:00,64.5,64.5,64.5,64.5,100
2021-09-17 18:30:00,64.59,64.59,64.59,64.59,120
2021-09-17 18:00:00,64.6,64.64,64.6,64.64,1201
2021-09-17 17:30:00,64.6,64.6,64.19,64.19,5035
2021-09-17 17:00:00,64.64,64.64,64.56,64.56,20512
2021-09-17 16:30:00,64.68,64.68,64.6,64.63,273851
2021-09-17 16:00:00,64.05,64.98,63.69,64.65,1615618
2021-09-17 15:30:00,64.43,64.92,63.96,64.06,675201
2021-09-17 15:00:00,64.66,65.05,64.285,64.42,1519847
2021-09-17 14:30:00,64.295,64.72,64.29,64.66,331929
