time,open,high,low,close,volume
2021-09-29 20:00:00,55.64,55.64,55.62,55.62,386
2021-09-29 19:00:00,55.68,55.68,55.68,55.68,200
2021-09-29 18:30:00,55.62,55.62,55.62,55.62,280
2021-09-29 17:30:00,55.54,55.54,55.54,55.54,656
2021-09-29 17:00:00,55.69,55.69,55.53,55.53,1078
2021-09-29 16:30:00,55.48,55.69,55.35,55.69,569553
2021-09-29 16:00:00,55.74,55.745,55.39,55.48,1969250
2021-09-29 15:30:00,55.805,55.815,55.7,55.745,688616
2021-09-29 15:00:00,55.74,55.88,55.735,55.805,454288
2021-09-29 14:30:00,55.4884,55.75,55.47,55.735,645771
2021-09-29 14:00:00,55.44,55.49,55.34,55.485,534951
2021-09-29 13:30:00,55.6,55.625,55.42,55.435,496576
2021-09-29 13:00:00,55.41,55.635,55.41,55.605,629388
2021-09-29 12:30:00,55.53,55.57,55.38,55.415,1086347
2021-09-29 12:00:00,55.4601,55.55,55.38,55.525,627146
2021-09-29 11:30:00,55.705,55.71,55.46,55.46,744431
2021-09-29 11:00:00,55.605,55.695,55.435,55.695,880415
2021-09-29 10:30:00,55.875,55.98,55.56,55.605,965202
2021-09-29 10:00:00,55.615,55.92,55.5,55.875,1545285
2021-09-29 09:30:00,55.72,55.77,55.57,55.73,15943
2021-09-29 09:00:00,55.75,55.75,55.75,55.75,1113
2021-09-29 08:30:00,55.77,55.9,55.75,55.75,4142
2021-09-29 08:00:00,55.75,55.75,55.74,55.75,3383
2021-09-29 07:30:00,55.8,55.9,55.8,55.8,2169
2021-09-29 07:00:00,55.78,55.78,55.78,55.78,105
2021-09-29 04:30:00,55.89,55.89,55.89,55.89,131
2021-09-28 20:00:00,55.76,55.78,55.76,55.78,446
2021-09-28 18:30:00,55.65,55.65,55.58,55.6,2634
2021-09-28 18:00:00,55.75,55.75,55.65,55.65,2084
2021-09-28 17:30:00,55.65,55.65,55.62,55.64,654
2021-09-28 17:00:00,55.56,55.8,55.56,55.8,1703
2021-09-28 16:30:00,55.52,55.8,55.52,55.75,437844
2021-09-28 16:00:00,55.63,55.78,55.46,55.52,2973330
2021-09-28 15:30:00,55.9,55.96,55.64,55.64,848703
2021-09-28 15:00:00,55.86,55.985,55.75,55.905,720423
2021-09-28 14:30:00,55.69,55.875,55.63,55.87,833557
2021-09-28 14:00:00,55.69,55.7441,55.64,55.68,666264
2021-09-28 13:30:00,55.51,55.71,55.455,55.69,628195
2021-09-28 13:00:00,55.66,55.67,55.47,55.515,1098834
2021-09-28 12:30:00,55.745,55.7793,55.61,55.66,917190
2021-09-28 12:00:00,55.62,55.76,55.59,55.745,930354
2021-09-28 11:30:00,55.53,55.67,55.41,55.62,714793
2021-09-28 11:00:00,55.535,55.65,55.455,55.53,849786
2021-09-28 10:30:00,55.7,55.735,55.465,55.535,1148504
2021-09-28 10:00:00,55.7841,55.95,55.58,55.7,1585991
2021-09-28 09:30:00,55.8,55.95,55.69,55.74,25877
2021-09-28 09:00:00,55.88,55.9,55.77,55.77,11178
2021-09-28 08:30:00,55.85,55.98,55.8,55.9001,9331
2021-09-28 08:00:00,55.85,56.0,55.85,55.97,4116
2021-09-28 07:30:00,55.88,55.9,55.8,55.81,3921
2021-09-28 06:30:00,55.74,55.74,55.74,55.74,199
2021-09-28 06:00:00,55.9,55.9,55.9,55.9,657
2021-09-28 05:30:00,55.94,55.94,55.94,55.94,150
2021-09-28 05:00:00,55.94,55.94,55.94,55.94,305
2021-09-28 04:30:00,56.0,56.0,56.0,56.0,9130
2021-09-27 20:00:00,56.27,56.27,56.22,56.22,1369
2021-09-27 18:30:00,56.16,56.16,56.15,56.15,707
2021-09-27 18:00:00,56.18,56.18,56.18,56.18,501
2021-09-27 17:30:00,56.22,56.22,56.19,56.19,303
2021-09-27 17:00:00,56.2,56.27,56.2,56.27,2498
