time,open,high,low,close,volume
2021-09-29 16:30:00,389.26,389.26,389.26,389.26,3662
2021-09-29 16:00:00,392.0,392.4397,388.63,389.4,84370
2021-09-29 15:30:00,392.11,392.44,391.15,392.03,27056
2021-09-29 15:00:00,392.03,392.44,391.6,392.25,20033
2021-09-29 14:30:00,391.77,392.97,391.41,392.095,18929
2021-09-29 14:00:00,393.19,393.33,391.21,391.7351,17543
2021-09-29 13:30:00,393.79,394.795,393.105,393.105,25465
2021-09-29 13:00:00,393.625,394.19,392.95,393.74,14470
2021-09-29 12:30:00,395.52,395.52,393.15,393.84,13710
2021-09-29 12:00:00,395.615,396.685,394.785,395.12,28137
2021-09-29 11:30:00,394.365,399.22,393.11,395.3,39402
2021-09-29 11:00:00,393.2,395.46,392.13,394.33,37695
2021-09-29 10:30:00,389.67,394.59,388.7,393.82,28959
2021-09-29 10:00:00,393.36,395.16,384.86,389.145,57945
2021-09-28 19:00:00,387.25,387.25,387.25,387.25,465
2021-09-28 16:30:00,386.07,386.07,386.07,386.07,4971
2021-09-28 16:00:00,386.76,387.75,385.11,385.57,115529
2021-09-28 15:30:00,388.4,388.64,386.78,386.98,35644
2021-09-28 15:00:00,387.61,389.25,387.2,388.43,15678
2021-09-28 14:30:00,387.39,387.8963,386.52,387.78,12534
2021-09-28 14:00:00,388.63,388.81,387.33,387.65,13340
2021-09-28 13:30:00,387.67,389.32,387.2222,389.32,9156
2021-09-28 13:00:00,388.05,388.85,387.59,388.67,26458
2021-09-28 12:30:00,389.89,389.89,388.04,388.04,16566
2021-09-28 12:00:00,389.88,390.5,389.25,389.84,11745
2021-09-28 11:30:00,389.94,390.42,389.03,389.915,22121
2021-09-28 11:00:00,388.63,390.55,388.25,389.805,26184
2021-09-28 10:30:00,390.84,392.9,386.33,388.19,43216
2021-09-28 10:00:00,392.9,393.84,390.02,391.15,20369
2021-09-27 16:30:00,395.39,395.39,395.39,395.39,17782
2021-09-27 16:00:00,396.11,396.33,395.21,395.72,59589
2021-09-27 15:30:00,397.01,397.33,395.985,396.12,10419
2021-09-27 15:00:00,396.735,397.64,396.735,397.04,8885
2021-09-27 14:30:00,396.34,397.24,396.18,396.73,6789
2021-09-27 14:00:00,395.005,396.7,394.9,396.7,17073
2021-09-27 13:30:00,394.85,395.21,394.55,395.005,35579
2021-09-27 13:00:00,396.22,396.89,394.82,394.99,19777
2021-09-27 12:30:00,396.925,397.47,396.27,396.29,11027
2021-09-27 12:00:00,399.17,399.17,396.605,396.73,9426
2021-09-27 11:30:00,402.7,403.26,399.11,399.24,21226
2021-09-27 11:00:00,402.56,403.8,402.48,402.57,20490
2021-09-27 10:30:00,400.11,403.0,399.65,402.525,26541
2021-09-27 10:00:00,399.38,400.935,398.46,400.4,18226
2021-09-24 16:30:00,401.47,401.47,401.47,401.47,6061
2021-09-24 16:00:00,400.975,401.63,400.67,401.47,38781
2021-09-24 15:30:00,401.33,401.33,400.55,400.87,13489
2021-09-24 15:00:00,400.83,401.43,400.75,401.025,8672
2021-09-24 14:30:00,401.7,401.8,400.685,401.23,8106
2021-09-24 14:00:00,402.29,402.39,401.85,401.85,9382
2021-09-24 13:30:00,401.84,402.42,401.8,402.36,11949
2021-09-24 13:00:00,401.37,402.01,401.365,401.99,8212
2021-09-24 12:30:00,400.68,401.41,400.57,401.34,9367
2021-09-24 12:00:00,400.66,401.06,400.15,400.87,11139
2021-09-24 11:30:00,398.44,400.45,398.44,400.4,12579
2021-09-24 11:00:00,400.25,400.25,398.13,398.53,16319
2021-09-24 10:30:00,400.66,400.86,399.5361,400.36,12096
2021-09-24 10:00:00,398.34,400.42,397.82,400.42,16700
2021-09-23 16:30:00,401.78,401.78,401.78,401.78,5254
2021-09-23 16:00:00,401.695,402.31,401.43,401.79,63153
2021-09-23 15:30:00,401.82,402.0,401.58,401.725,14574
2021-09-23 15:00:00,401.83,401.94,401.6,401.78,13403
2021-09-23 14:30:00,402.71,402.71,401.655,401.665,5683
2021-09-23 14:00:00,402.32,402.84,402.32,402.43,6963
2021-09-23 13:30:00,402.0,402.5,402.0,402.235,3084
2021-09-23 13:00:00,402.04,402.28,401.82,401.82,2105
2021-09-23 12:30:00,401.704,402.03,401.581,401.93,4976
2021-09-23 12:00:00,401.715,402.0,401.265,401.73,8122
2021-09-23 11:30:00,401.9,401.98,401.312,401.73,17972
2021-09-23 11:00:00,401.35,402.34,400.965,402.04,17498
2021-09-23 10:30:00,399.95,401.73,399.95,401.39,11933
2021-09-23 10:00:00,396.88,400.51,395.725,399.31,13593
2021-09-22 16:30:00,396.2,396.2,396.2,396.2,10562
2021-09-22 16:00:00,397.14,397.81,395.8,396.09,49623
2021-09-22 15:30:00,395.65,397.68,395.65,396.92,13197
2021-09-22 15:00:00,397.64,397.7783,395.18,396.1,29212
2021-09-22 14:30:00,395.735,398.35,395.4,397.4,17742
2021-09-22 14:00:00,396.18,396.275,395.67,395.7,8555
2021-09-22 13:30:00,395.87,396.18,395.675,395.95,5876
2021-09-22 13:00:00,397.28,397.28,396.16,396.16,9558
2021-09-22 12:30:00,396.48,397.16,396.4,397.16,5331
2021-09-22 12:00:00,396.32,397.58,396.285,396.93,8923
2021-09-22 11:30:00,396.75,397.03,395.59,395.87,6289
2021-09-22 11:00:00,396.42,397.13,395.63,396.455,14768
2021-09-22 10:30:00,394.92,396.04,393.79,395.655,17982
2021-09-22 10:00:00,397.05,397.05,391.61,393.83,22603
2021-09-22 07:30:00,392.98,392.98,392.98,392.98,262
2021-09-21 16:30:00,393.3,393.3,393.3,393.3,19738
2021-09-21 16:00:00,394.515,395.45,393.11,393.11,39105
2021-09-21 15:30:00,394.17,394.8787,393.67,394.57,13426
2021-09-21 15:00:00,393.13,394.6,393.04,393.915,12286
2021-09-21 14:30:00,393.27,393.755,392.95,393.13,18534
2021-09-21 14:00:00,393.02,393.69,392.505,393.21,15729
2021-09-21 13:30:00,393.39,393.68,392.85,392.98,8976
2021-09-21 13:00:00,394.2,394.36,393.35,393.35,6753
2021-09-21 12:30:00,394.32,395.31,394.03,394.23,7310
2021-09-21 12:00:00,395.02,396.08,394.34,394.34,8175
2021-09-21 11:30:00,393.22,395.47,393.2,394.78,6653
2021-09-21 11:00:00,393.905,393.905,392.33,393.375,31144
2021-09-21 10:30:00,393.535,394.06,391.58,394.06,16384
2021-09-21 10:00:00,394.72,397.09,393.22,393.64,11375
2021-09-20 16:30:00,393.6,393.6,393.6,393.6,15097
2021-09-20 16:00:00,390.29,394.07,390.29,393.71,72181
2021-09-20 15:30:00,390.065,390.32,388.5849,390.32,13229
2021-09-20 15:00:00,390.075,390.64,389.225,389.775,17080
2021-09-20 14:30:00,390.38,390.815,389.71,390.21,13026
2021-09-20 14:00:00,390.19,391.22,390.09,390.61,17660
2021-09-20 13:30:00,390.685,390.685,389.535,390.125,8904
2021-09-20 13:00:00,391.02,391.6,390.545,390.545,19095
2021-09-20 12:30:00,391.155,391.17,390.045,391.08,15667
2021-09-20 12:00:00,392.94,392.94,390.945,390.945,17946
2021-09-20 11:30:00,391.92,394.0,391.92,392.76,14705
2021-09-20 11:00:00,392.79,393.53,391.59,391.815,26900
2021-09-20 10:30:00,391.985,392.66,390.52,392.66,22147
2021-09-20 10:00:00,389.19,392.4,387.27,392.4,27737
2021-09-17 17:00:00,392.86,392.86,392.86,392.86,89199
2021-09-17 16:30:00,392.86,392.86,392.86,392.86,50949
2021-09-17 16:00:00,392.33,395.34,392.06,392.73,239470
2021-09-17 15:30:00,393.04,393.165,392.401,392.42,24607
2021-09-17 15:00:00,392.33,393.135,392.28,392.83,17368
2021-09-17 14:30:00,392.52,393.08,392.41,392.7,15175
2021-09-17 14:00:00,392.98,393.26,392.0,392.67,16044
2021-09-17 13:30:00,393.89,393.89,392.57,393.05,8934
2021-09-17 13:00:00,393.89,394.175,393.7,394.0,17605
2021-09-17 12:30:00,393.78,394.1275,393.36,394.0,14270
2021-09-17 12:00:00,393.73,393.73,391.815,393.06,11042
2021-09-17 11:30:00,393.37,395.0245,393.29,393.495,16936
2021-09-17 11:00:00,394.65,394.65,393.31,393.395,20007
2021-09-17 10:30:00,396.545,396.565,394.151,394.71,31018
2021-09-17 10:00:00,398.61,399.85,395.575,396.26,120377
2021-09-16 16:30:00,399.55,399.55,399.55,399.55,12686
2021-09-16 16:00:00,399.37,400.16,398.91,399.55,61644
2021-09-16 15:30:00,399.34,400.36,399.265,399.52,11618
2021-09-16 15:00:00,398.76,399.4,398.18,399.4,4683
2021-09-16 14:30:00,398.51,399.06,398.205,398.48,8467
2021-09-16 14:00:00,397.79,398.73,397.4,398.73,6243
2021-09-16 13:30:00,397.83,397.96,397.35,397.84,7859
2021-09-16 13:00:00,397.37,398.03,397.16,397.965,8032
2021-09-16 12:30:00,396.78,397.28,396.4,397.28,6582
2021-09-16 12:00:00,396.82,397.33,396.59,396.78,9578
2021-09-16 11:30:00,396.78,397.009,396.0,397.009,8426
2021-09-16 11:00:00,395.98,396.9,395.545,396.9,12254
2021-09-16 10:30:00,397.29,397.29,395.59,396.04,11384
2021-09-16 10:00:00,398.76,399.11,397.12,397.8,12702
2021-09-15 16:30:00,398.76,398.76,398.76,398.76,17477
2021-09-15 16:00:00,399.36,399.54,398.47,398.88,64119
2021-09-15 15:30:00,399.67,400.0,399.35,399.425,14905
