time,open,high,low,close,volume
2021-09-29 20:00:00,43.58,43.59,43.58,43.59,429
2021-09-29 19:30:00,43.39,43.58,43.39,43.58,250
2021-09-29 19:00:00,43.38,43.5,43.38,43.5,242
2021-09-29 18:30:00,43.37,43.37,43.37,43.37,432
2021-09-29 18:00:00,43.4,43.4,43.37,43.37,974
2021-09-29 17:30:00,43.37,43.37,43.36,43.36,700
2021-09-29 17:00:00,43.39,43.4,43.36,43.4,1160
2021-09-29 16:30:00,43.36,43.61,43.35,43.36,177469
2021-09-29 16:00:00,43.565,43.595,43.345,43.36,943836
2021-09-29 15:30:00,43.55,43.62,43.4601,43.56,565694
2021-09-29 15:00:00,43.615,43.69,43.52,43.545,339389
2021-09-29 14:30:00,43.58,43.71,43.57,43.62,460371
2021-09-29 14:00:00,43.56,43.595,43.44,43.59,340162
2021-09-29 13:30:00,43.6,43.67,43.52,43.57,266439
2021-09-29 13:00:00,43.67,43.75,43.532,43.6,303770
2021-09-29 12:30:00,43.79,43.85,43.61,43.675,515658
2021-09-29 12:00:00,43.88,43.885,43.554,43.79,571409
2021-09-29 11:30:00,43.87,43.99,43.7718,43.87,710243
2021-09-29 11:00:00,43.7,43.99,43.67,43.88,658784
2021-09-29 10:30:00,43.61,43.83,43.38,43.71,954774
2021-09-29 10:00:00,43.69,43.8,42.75,43.62,1603249
2021-09-29 09:30:00,43.69,43.9,43.66,43.77,23767
2021-09-29 09:00:00,43.67,43.71,43.62,43.71,18312
2021-09-29 08:30:00,43.73,43.75,43.62,43.67,21951
2021-09-29 08:00:00,43.65,43.7,43.61,43.64,4137
2021-09-29 07:30:00,43.6,43.78,43.6,43.64,3231
2021-09-29 07:00:00,43.76,43.76,43.6,43.6,900
2021-09-29 06:30:00,43.79,43.79,43.79,43.79,100
2021-09-29 06:00:00,43.8,43.8,43.79,43.79,460
2021-09-29 05:30:00,43.79,43.79,43.79,43.79,100
2021-09-29 05:00:00,43.56,43.56,43.55,43.56,2869
2021-09-29 04:30:00,43.27,43.76,43.26,43.56,3535
2021-09-28 20:00:00,43.5,43.5,43.44,43.44,1260
2021-09-28 19:30:00,43.44,43.5,43.44,43.49,1350
2021-09-28 19:00:00,43.43,43.44,43.43,43.44,5568
2021-09-28 18:30:00,43.41,43.42,43.4,43.4,2993
2021-09-28 18:00:00,43.42,43.42,43.42,43.42,140
2021-09-28 17:30:00,43.44,43.44,43.44,43.44,838
2021-09-28 17:00:00,43.44,43.44,43.41,43.41,5937
2021-09-28 16:30:00,43.44,43.44,43.41,43.41,60059
2021-09-28 16:00:00,43.48,43.63,43.3747,43.46,1249539
2021-09-28 15:30:00,43.72,43.795,43.4838,43.49,485315
2021-09-28 15:00:00,43.54,43.77,43.425,43.72,446192
2021-09-28 14:30:00,43.445,43.55,43.3112,43.5478,472175
2021-09-28 14:00:00,43.765,43.77,43.4101,43.45,393602
2021-09-28 13:30:00,43.47,43.88,43.455,43.77,597234
2021-09-28 13:00:00,43.655,43.655,43.46,43.465,278218
2021-09-28 12:30:00,43.535,43.725,43.475,43.657,354335
2021-09-28 12:00:00,43.49,43.6144,43.405,43.535,463092
2021-09-28 11:30:00,43.76,43.79,43.38,43.49,499608
2021-09-28 11:00:00,43.575,43.89,43.48,43.75,677487
