time,open,high,low,close,volume
2021-09-29 16:30:00,44.14,44.14,44.14,44.14,9688
2021-09-29 16:00:00,44.3,44.385,44.08,44.14,274650
2021-09-29 15:30:00,44.29,44.43,44.245,44.3029,126864
2021-09-29 15:00:00,44.24,44.33,44.205,44.29,62422
2021-09-29 14:30:00,44.01,44.25,44.01,44.245,40095
2021-09-29 14:00:00,43.93,44.03,43.86,44.03,22568
2021-09-29 13:30:00,43.98,44.0,43.87,43.94,27028
2021-09-29 13:00:00,43.88,44.035,43.88,43.99,27123
2021-09-29 12:30:00,44.07,44.14,43.82,43.8618,44143
2021-09-29 12:00:00,44.04,44.05,43.85,44.05,55162
2021-09-29 11:30:00,44.145,44.18,43.98,44.04,34003
2021-09-29 11:00:00,44.08,44.18,43.83,44.15,71356
2021-09-29 10:30:00,43.95,44.195,43.94,44.05,53848
2021-09-29 10:00:00,43.93,44.0,43.54,43.92,46907
2021-09-29 09:30:00,44.04,44.04,44.04,44.04,108
2021-09-28 16:30:00,43.79,43.79,43.79,43.79,107313
2021-09-28 16:00:00,43.95,44.06,43.73,43.79,443767
2021-09-28 15:30:00,44.12,44.25,43.95,43.96,113014
2021-09-28 15:00:00,44.08,44.24,43.97,44.14,121993
2021-09-28 14:30:00,44.1,44.12,43.89,44.085,77378
2021-09-28 14:00:00,44.34,44.34,44.09,44.1,61293
2021-09-28 13:30:00,44.02,44.42,44.02,44.34,62867
2021-09-28 13:00:00,43.98,44.07,43.89,44.02,57445
2021-09-28 12:30:00,44.41,44.8,43.87,43.99,410061
2021-09-28 12:00:00,44.63,44.695,44.37,44.41,50793
2021-09-28 11:30:00,44.96,44.995,44.57,44.63,88022
2021-09-28 11:00:00,44.85,45.03,44.7,44.935,99303
2021-09-28 10:30:00,44.67,44.97,44.57,44.86,129909
2021-09-28 10:00:00,44.57,45.12,44.46,44.7,249933
2021-09-28 09:30:00,44.58,44.58,44.58,44.58,19000
2021-09-28 08:00:00,45.33,45.33,45.0,45.0,210
2021-09-28 04:30:00,44.63,44.63,44.63,44.63,125
2021-09-27 16:30:00,44.74,44.74,44.74,44.74,31562
