time,open,high,low,close,volume
2021-09-30 16:30:00,47.87,47.87,47.87,47.87,53728
2021-09-30 16:00:00,48.47,48.57,47.86,47.86,430637
2021-09-30 15:30:00,48.49,48.61,48.45,48.475,101720
2021-09-30 15:00:00,48.43,48.62,48.4,48.48,84102
2021-09-30 14:30:00,48.32,48.48,48.32,48.415,78863
2021-09-30 14:00:00,48.21,48.34,48.2,48.31,50500
2021-09-30 13:30:00,48.175,48.35,48.15,48.21,58594
2021-09-30 13:00:00,48.09,48.2,48.05,48.17,57786
2021-09-30 12:30:00,48.4,48.43,48.02,48.1,76419
2021-09-30 12:00:00,48.46,48.47,48.3,48.39,105350
2021-09-30 11:30:00,48.75,48.75,48.4,48.47,56604
2021-09-30 11:00:00,48.79,48.84,48.73,48.76,93343
2021-09-30 10:30:00,48.84,48.85,48.53,48.79,56727
2021-09-30 10:00:00,48.93,48.95,48.67,48.87,86086
2021-09-29 16:30:00,48.62,48.62,48.62,48.62,42699
2021-09-29 16:00:00,48.7,48.72,48.505,48.63,295259
2021-09-29 15:30:00,48.77,48.78,48.68,48.71,66653
2021-09-29 15:00:00,48.65,48.78,48.65,48.77,80579
2021-09-29 14:30:00,48.47,48.65,48.465,48.65,41826
2021-09-29 14:00:00,48.5,48.505,48.4,48.46,45367
2021-09-29 13:30:00,48.5,48.54,48.46,48.51,48501
2021-09-29 13:00:00,48.5,48.52,48.44,48.5,25690
2021-09-29 12:30:00,48.47,48.52,48.355,48.49,35441
2021-09-29 12:00:00,48.5,48.53,48.39,48.46,49651
2021-09-29 11:30:00,48.565,48.58,48.42,48.475,43754
2021-09-29 11:00:00,48.6,48.61,48.47,48.56,60757
2021-09-29 10:30:00,48.63,48.8,48.52,48.59,64705
2021-09-29 10:00:00,48.3,48.64,48.28,48.62,90104
2021-09-28 16:30:00,48.15,48.15,48.15,48.15,25206
2021-09-28 16:00:00,48.27,48.405,48.1,48.15,395591
2021-09-28 15:30:00,48.225,48.453,48.19,48.27,165490
2021-09-28 15:00:00,48.033,48.24,47.96,48.225,114662
2021-09-28 14:30:00,47.99,48.08,47.86,48.04,65900
2021-09-28 14:00:00,47.99,48.03,47.9,47.99,41889
2021-09-28 13:30:00,47.88,48.02,47.81,47.99,67070
2021-09-28 13:00:00,47.87,47.92,47.77,47.88,60766
2021-09-28 12:30:00,47.86,47.915,47.77,47.875,61420
2021-09-28 12:00:00,47.94,47.98,47.81,47.86,61792
2021-09-28 11:30:00,48.0,48.05,47.76,47.97,74645
