time,open,high,low,close,volume
2021-09-28 20:00:00,134.1,134.1,134.1,134.1,1871
2021-09-28 18:30:00,134.88,134.88,134.88,134.88,100
2021-09-28 17:00:00,133.95,133.95,133.95,133.95,200
2021-09-28 16:30:00,133.77,133.95,133.36,133.9,30662
2021-09-28 16:00:00,133.745,134.18,133.47,133.89,824820
2021-09-28 15:30:00,134.545,134.63,133.71,133.76,189586
2021-09-28 15:00:00,134.9,135.0,134.485,134.58,180341
2021-09-28 14:30:00,134.08,134.93,134.01,134.93,280461
2021-09-28 14:00:00,134.42,134.59,133.97,134.06,279350
2021-09-28 13:30:00,134.09,134.48,133.9,134.4,109835
2021-09-28 13:00:00,133.88,134.17,133.83,134.07,104226
2021-09-28 12:30:00,133.68,134.49,133.56,133.87,192771
2021-09-28 12:00:00,133.73,133.73,132.95,133.7,156018
2021-09-28 11:30:00,133.11,134.02,133.095,133.7,368096
2021-09-28 11:00:00,133.53,133.8,133.04,133.11,271701
2021-09-28 10:30:00,133.28,133.74,132.67,133.615,298650
2021-09-28 10:00:00,131.86,134.58,131.52,133.3,715706
2021-09-28 09:30:00,131.01,131.95,131.01,131.95,753
2021-09-28 08:30:00,130.89,130.89,130.89,130.89,300
2021-09-27 17:00:00,131.98,131.98,131.98,131.98,1237
2021-09-27 16:30:00,131.98,132.0,131.98,132.0,59658
2021-09-27 16:00:00,132.2,132.375,131.7,132.03,671960
2021-09-27 15:30:00,132.18,132.56,132.12,132.22,203592
2021-09-27 15:00:00,132.18,132.31,132.05,132.19,206720
2021-09-27 14:30:00,131.845,132.18,131.68,132.17,234599
2021-09-27 14:00:00,131.58,131.88,131.4,131.83,181180
2021-09-27 13:30:00,130.93,131.605,130.79,131.5974,201706
2021-09-27 13:00:00,131.245,131.25,130.7,130.935,135123
2021-09-27 12:30:00,131.12,131.37,130.84,131.245,110778
2021-09-27 12:00:00,130.515,131.16,130.515,131.14,175240
2021-09-27 11:30:00,130.97,131.12,130.4125,130.5,218607
2021-09-27 11:00:00,131.73,131.87,130.89,130.995,177975
2021-09-27 10:30:00,130.51,131.76,130.37,131.71,153582
2021-09-27 10:00:00,129.27,130.87,128.94,130.555,277250
2021-09-27 09:30:00,129.38,129.38,129.38,129.38,941
2021-09-27 09:00:00,129.07,129.07,129.07,129.07,300
2021-09-27 08:00:00,129.46,129.46,129.45,129.45,258
2021-09-27 07:30:00,129.95,129.95,129.45,129.57,488
2021-09-27 07:00:00,129.52,129.52,129.52,129.52,579
2021-09-27 06:00:00,129.85,129.85,129.85,129.85,175
2021-09-24 17:30:00,129.93,129.98,129.93,129.98,300
2021-09-24 16:30:00,129.9,130.08,129.9,130.08,23270
2021-09-24 16:00:00,129.81,130.02,129.72,129.95,469598
2021-09-24 15:30:00,129.58,129.98,129.45,129.81,246107
2021-09-24 15:00:00,129.43,129.605,129.265,129.57,118799
2021-09-24 14:30:00,129.14,129.46,129.13,129.46,122896
2021-09-24 14:00:00,128.92,129.23,128.695,129.13,102127
2021-09-24 13:30:00,128.735,128.955,128.65,128.91,78400
2021-09-24 13:00:00,128.75,128.92,128.69,128.73,60439
2021-09-24 12:30:00,128.29,128.925,128.29,128.71,145447
2021-09-24 12:00:00,127.82,128.32,127.7784,128.32,109140
2021-09-24 11:30:00,127.875,128.13,127.63,127.8,126837
2021-09-24 11:00:00,127.15,127.865,127.15,127.865,66071
2021-09-24 10:30:00,128.03,128.31,127.2,127.23,163583
2021-09-24 10:00:00,127.04,128.06,126.86,127.96,198167
2021-09-24 09:30:00,127.8,127.8,127.02,127.02,1371
2021-09-24 09:00:00,127.8,127.8,127.4,127.4,1567
2021-09-24 04:30:00,128.0,128.0,128.0,128.0,247
2021-09-23 16:30:00,127.89,127.89,127.89,127.89,66975
2021-09-23 16:00:00,128.115,128.47,127.89,127.94,415945
2021-09-23 15:30:00,128.01,128.23,127.885,128.08,145694
2021-09-23 15:00:00,127.96,128.1551,127.875,127.995,124332
2021-09-23 14:30:00,128.14,128.255,127.87,127.94,136630
2021-09-23 14:00:00,127.86,128.16,127.84,128.13,102257
2021-09-23 13:30:00,127.79,128.0699,127.67,127.875,82960
2021-09-23 13:00:00,127.775,128.015,127.755,127.84,69253
2021-09-23 12:30:00,128.4199,128.4199,127.65,127.7394,94004
2021-09-23 12:00:00,129.01,129.04,128.31,128.39,116261
2021-09-23 11:30:00,128.865,129.03,128.58,128.94,146715
2021-09-23 11:00:00,128.92,129.045,128.53,128.86,206140
2021-09-23 10:30:00,127.94,129.12,127.8239,128.92,287451
2021-09-23 10:00:00,126.99,128.07,126.115,127.91,363220
2021-09-23 09:30:00,126.96,127.46,126.93,126.93,2253
2021-09-23 08:30:00,127.99,127.99,127.4,127.4,611
2021-09-23 06:00:00,127.84,127.84,127.84,127.84,287
2021-09-22 18:30:00,126.66,127.18,126.4,126.4,753
2021-09-22 17:30:00,126.66,126.66,126.66,126.66,100
2021-09-22 16:30:00,126.4,126.6668,126.4,126.6668,64979
2021-09-22 16:00:00,126.5,126.64,126.27,126.39,479195
2021-09-22 15:30:00,126.3,126.89,126.27,126.5,212048
2021-09-22 15:00:00,126.565,126.73,125.862,126.33,313118
2021-09-22 14:30:00,126.26,126.91,126.11,126.54,207615
2021-09-22 14:00:00,126.4726,126.75,126.23,126.3,124321
2021-09-22 13:30:00,126.71,126.76,126.27,126.45,136623
2021-09-22 13:00:00,126.61,126.8093,126.54,126.74,132043
2021-09-22 12:30:00,126.93,126.96,126.45,126.605,200668
2021-09-22 12:00:00,127.19,127.4,126.83,126.98,235883
2021-09-22 11:30:00,126.6999,127.25,126.6,127.17,320451
2021-09-22 11:00:00,126.75,127.2,126.605,126.69,295962
2021-09-22 10:30:00,126.55,127.62,126.24,126.76,594801
2021-09-22 10:00:00,126.19,126.9,124.88,126.59,589100
2021-09-22 09:30:00,127.6999,127.6999,126.76,126.76,2252
2021-09-22 08:30:00,127.25,127.5,127.25,127.5,2306
2021-09-22 08:00:00,127.24,127.25,127.24,127.25,7994
2021-09-21 19:00:00,126.0,126.0,126.0,126.0,300
2021-09-21 16:30:00,126.76,126.76,126.76,126.76,55348
2021-09-21 16:00:00,127.0,127.0,126.69,126.74,735263
2021-09-21 15:30:00,126.73,127.02,126.56,127.01,289682
2021-09-21 15:00:00,126.7,127.09,126.57,126.73,176226
2021-09-21 14:30:00,126.855,127.21,126.69,126.71,213094
2021-09-21 14:00:00,126.77,126.92,126.6,126.8631,176431
2021-09-21 13:30:00,127.145,127.1899,126.59,126.78,417495
2021-09-21 13:00:00,127.779,127.85,127.185,127.185,121522
2021-09-21 12:30:00,127.895,128.2164,127.67,127.74,132416
2021-09-21 12:00:00,127.745,128.375,127.73,127.88,203576
2021-09-21 11:30:00,128.39,128.409,127.74,127.78,181324
2021-09-21 11:00:00,128.73,128.77,128.34,128.41,140416
2021-09-21 10:30:00,129.715,129.715,128.2558,128.715,222765
2021-09-21 10:00:00,130.01,130.4999,128.61,129.7,340285
2021-09-21 09:30:00,131.0,131.0,130.01,130.02,4796
2021-09-21 08:30:00,131.04,131.04,131.04,131.04,252
2021-09-21 08:00:00,131.06,131.06,131.0,131.0,407
2021-09-21 06:30:00,131.3,131.3,131.3,131.3,400
2021-09-20 17:00:00,130.05,130.09,130.05,130.09,969
2021-09-20 16:30:00,130.09,130.09,130.09,130.09,147498
2021-09-20 16:00:00,129.54,130.2,129.425,130.09,495428
2021-09-20 15:30:00,129.77,130.035,128.76,129.52,309687
2021-09-20 15:00:00,129.975,129.99,129.44,129.78,178669
2021-09-20 14:30:00,130.0,130.435,129.89,129.97,100142
2021-09-20 14:00:00,130.11,130.16,129.89,129.99,138317
2021-09-20 13:30:00,130.07,130.16,129.514,130.14,122390
2021-09-20 13:00:00,130.16,130.44,130.02,130.06,109363
2021-09-20 12:30:00,130.43,130.65,130.04,130.24,150980
2021-09-20 12:00:00,130.285,130.97,130.21,130.4365,227321
2021-09-20 11:30:00,131.505,131.53,130.21,130.285,155003
2021-09-20 11:00:00,130.965,131.77,130.695,131.5,266258
2021-09-20 10:30:00,131.96,131.96,130.4,130.94,243366
2021-09-20 10:00:00,131.98,132.53,131.5,132.04,357644
2021-09-20 09:30:00,132.4,132.6,131.63,131.91,5156
2021-09-20 09:00:00,132.0,132.0,132.0,132.0,1118
2021-09-20 08:30:00,132.87,132.87,131.9094,131.9094,812
2021-09-20 08:00:00,132.07,132.07,132.07,132.07,500
2021-09-17 20:00:00,133.74,133.74,133.74,133.74,1200
2021-09-17 19:30:00,133.75,133.75,133.75,133.75,150
2021-09-17 16:30:00,133.88,133.88,133.88,133.88,305629
2021-09-17 16:00:00,133.81,134.16,133.58,133.86,567470
2021-09-17 15:30:00,133.45,133.92,133.23,133.8,182348
2021-09-17 15:00:00,133.61,133.78,133.392,133.43,115136
2021-09-17 14:30:00,133.95,134.01,133.63,133.66,107205
2021-09-17 14:00:00,133.9402,134.15,133.82,133.96,118334
2021-09-17 13:30:00,134.08,134.17,133.8,133.96,74820
2021-09-17 13:00:00,134.085,134.67,134.06,134.09,124318
2021-09-17 12:30:00,133.83,134.2,133.75,134.09,76384
2021-09-17 12:00:00,134.02,134.18,133.71,133.82,149287
2021-09-17 11:30:00,134.11,134.27,133.63,133.98,108894
2021-09-17 11:00:00,134.48,134.74,134.0501,134.145,106612
2021-09-17 10:30:00,134.28,134.505,133.2,134.505,262965
2021-09-17 10:00:00,135.17,135.56,134.11,134.3499,665657
2021-09-17 09:30:00,135.96,135.96,134.99,134.99,8765
2021-09-17 08:30:00,136.0,136.0,135.75,135.75,1168
2021-09-16 20:00:00,135.7,135.7,135.7,135.7,1184
2021-09-16 19:30:00,136.12,136.12,135.56,135.56,2067
2021-09-16 19:00:00,136.1,136.1,136.1,136.1,3000
2021-09-16 17:00:00,136.0,136.0,136.0,136.0,210
2021-09-16 16:30:00,135.96,135.96,135.77,135.96,113294
2021-09-16 16:00:00,136.015,136.28,135.64,135.95,611858
2021-09-16 15:30:00,136.1599,136.56,135.98,136.02,233886
2021-09-16 15:00:00,136.31,136.41,136.02,136.16,158158
2021-09-16 14:30:00,135.93,136.34,135.74,136.339,180188
