time,open,high,low,close,volume
2021-09-28 16:30:00,256.5,256.5,256.5,256.5,9559
2021-09-28 16:00:00,256.56,257.215,255.69,256.61,156358
2021-09-28 15:30:00,257.11,257.48,256.68,256.68,19754
2021-09-28 15:00:00,256.29,257.26,256.13,257.245,18539
2021-09-28 14:30:00,255.44,256.48,255.26,256.48,24402
2021-09-28 14:00:00,256.09,256.18,255.53,255.62,18684
2021-09-28 13:30:00,255.75,256.48,255.49,256.14,19242
2021-09-28 13:00:00,255.85,255.92,255.29,255.87,23714
2021-09-28 12:30:00,256.02,256.08,255.27,255.93,20305
2021-09-28 12:00:00,255.72,256.25,255.46,256.06,29730
2021-09-28 11:30:00,256.12,256.19,255.25,255.515,24340
2021-09-28 11:00:00,255.56,256.34,254.67,256.07,25170
2021-09-28 10:30:00,256.89,256.9,254.33,255.48,41631
2021-09-28 10:00:00,260.87,260.87,256.78,257.065,29738
2021-09-27 16:30:00,262.48,262.48,262.48,262.48,14545
2021-09-27 16:00:00,262.74,263.16,262.41,262.44,114986
2021-09-27 15:30:00,262.98,263.115,262.68,262.705,21133
2021-09-27 15:00:00,263.04,263.21,262.73,262.98,15984
2021-09-27 14:30:00,262.92,263.2,262.505,262.95,30697
2021-09-27 14:00:00,261.79,262.9,261.42,262.9,21854
2021-09-27 13:30:00,260.715,261.87,260.35,261.85,54232
2021-09-27 13:00:00,261.31,261.5,260.67,260.67,22398
2021-09-27 12:30:00,261.38,262.04,261.155,261.29,49355
2021-09-27 12:00:00,261.35,261.57,261.165,261.3,22797
2021-09-27 11:30:00,262.34,262.5,261.14,261.43,49148
2021-09-27 11:00:00,261.56,262.35,261.5,262.32,29448
2021-09-27 10:30:00,262.92,262.92,261.24,261.65,33454
2021-09-27 10:00:00,264.44,265.14,262.59,262.92,23368
2021-09-24 16:30:00,265.5,265.5,265.5,265.5,5496
2021-09-24 16:00:00,265.2,266.2,265.04,265.68,113239
2021-09-24 15:30:00,264.53,265.2,264.35,265.14,26726
2021-09-24 15:00:00,264.44,264.7128,264.39,264.58,15229
2021-09-24 14:30:00,264.32,264.49,264.22,264.365,8944
2021-09-24 14:00:00,264.54,264.66,264.27,264.29,15513
2021-09-24 13:30:00,264.76,264.76,264.22,264.53,20209
2021-09-24 13:00:00,264.29,265.3397,264.29,264.73,15813
2021-09-24 12:30:00,264.7,264.72,264.27,264.44,14709
