time,open,high,low,close,volume
2021-09-29 20:00:00,27.4,27.4,27.4,27.4,1350
2021-09-29 18:30:00,27.4,27.4,27.4,27.4,1125
2021-09-29 17:30:00,27.31,27.31,27.31,27.31,200
2021-09-29 17:00:00,27.5,27.5,27.5,27.5,300
2021-09-29 16:30:00,27.31,27.31,27.31,27.31,111611
2021-09-29 16:00:00,27.545,27.545,27.3,27.31,1821932
2021-09-29 15:30:00,27.605,27.67,27.54,27.545,803255
2021-09-29 15:00:00,27.61,27.695,27.57,27.605,559221
2021-09-29 14:30:00,27.51,27.63,27.49,27.605,326572
2021-09-29 14:00:00,27.59,27.59,27.46,27.5183,355688
2021-09-29 13:30:00,27.48,27.59,27.42,27.5825,410176
2021-09-29 13:00:00,27.36,27.495,27.355,27.4722,342580
2021-09-29 12:30:00,27.43,27.46,27.27,27.365,389592
2021-09-29 12:00:00,27.46,27.49,27.34,27.43,587712
2021-09-29 11:30:00,27.61,27.638,27.43,27.455,599724
2021-09-29 11:00:00,27.66,27.66,27.465,27.61,482912
2021-09-29 10:30:00,27.565,27.765,27.515,27.66,1044001
2021-09-29 10:00:00,27.57,28.0,27.171,27.565,2749025
2021-09-29 09:30:00,28.09,28.17,27.1,27.58,59732
2021-09-29 09:00:00,28.22,28.24,28.01,28.06,16806
2021-09-29 08:30:00,28.3999,28.4,28.23,28.24,6621
2021-09-29 08:00:00,28.3,28.36,28.29,28.35,2743
2021-09-29 07:30:00,28.36,28.37,28.3,28.3,2910
2021-09-29 07:00:00,28.36,28.39,28.36,28.39,300
2021-09-29 05:30:00,28.35,28.35,28.35,28.35,410
2021-09-29 04:30:00,28.49,28.59,28.48,28.55,4647
2021-09-28 19:30:00,28.56,28.57,28.56,28.57,700
2021-09-28 17:00:00,28.5,28.5,28.5,28.5,100
2021-09-28 16:30:00,28.72,28.72,28.58,28.58,114096
2021-09-28 16:00:00,28.6,28.67,28.52,28.58,1609909
2021-09-28 15:30:00,28.695,28.75,28.591,28.605,640943
2021-09-28 15:00:00,28.69,28.7467,28.6,28.695,481118
2021-09-28 14:30:00,28.595,28.69,28.53,28.69,419540
2021-09-28 14:00:00,28.735,28.74,28.585,28.595,407460
2021-09-28 13:30:00,28.69,28.79,28.66,28.735,348031
2021-09-28 13:00:00,28.815,28.815,28.67,28.69,626216
2021-09-28 12:30:00,28.94,28.94,28.785,28.815,601053
2021-09-28 12:00:00,29.0489,29.075,28.94,28.94,630160
2021-09-28 11:30:00,29.29,29.31,28.98,29.05,1217406
2021-09-28 11:00:00,29.18,29.41,29.1594,29.285,625638
2021-09-28 10:30:00,29.17,29.335,29.08,29.17,1036659
2021-09-28 10:00:00,28.59,29.535,28.5,29.175,1869420
2021-09-28 09:30:00,28.5,28.54,28.5,28.54,1743
2021-09-28 09:00:00,28.52,28.55,28.51,28.51,700
2021-09-28 08:30:00,28.51,28.51,28.51,28.51,252
2021-09-28 08:00:00,28.5,28.51,28.5,28.51,1549
2021-09-28 07:30:00,28.58,28.58,28.5,28.5,2052
2021-09-28 07:00:00,28.51,28.51,28.51,28.51,100
2021-09-28 06:30:00,28.5,28.5,28.5,28.5,3760
2021-09-28 06:00:00,28.5,28.5,28.5,28.5,1325
2021-09-28 05:00:00,28.52,28.52,28.52,28.52,108
2021-09-28 04:30:00,28.58,28.69,28.34,28.36,518
2021-09-27 17:00:00,28.59,28.71,28.59,28.71,6587
2021-09-27 16:30:00,28.71,28.71,28.71,28.71,56305
2021-09-27 16:00:00,28.76,28.81,28.66,28.7,1368938
2021-09-27 15:30:00,28.82,28.825,28.72,28.76,394249
2021-09-27 15:00:00,28.915,28.915,28.8,28.82,251198
2021-09-27 14:30:00,28.865,28.925,28.85,28.91,219876
2021-09-27 14:00:00,28.95,28.955,28.86,28.87,243813
2021-09-27 13:30:00,28.9,28.98,28.89,28.955,355576
2021-09-27 13:00:00,28.83,28.96,28.8,28.9,688318
2021-09-27 12:30:00,28.64,28.83,28.61,28.825,475420
2021-09-27 12:00:00,28.54,28.65,28.49,28.645,606359
2021-09-27 11:30:00,28.54,28.565,28.45,28.54,371010
2021-09-27 11:00:00,28.505,28.58,28.45,28.535,525914
2021-09-27 10:30:00,28.09,28.525,28.08,28.507,768329
2021-09-27 10:00:00,27.85,28.125,27.85,28.09,793993
2021-09-27 09:00:00,27.86,27.86,27.86,27.86,267
2021-09-27 07:30:00,27.92,27.92,27.92,27.92,200
2021-09-24 17:30:00,27.78,27.78,27.78,27.78,100
2021-09-24 16:30:00,27.89,27.89,27.89,27.89,89298
2021-09-24 16:00:00,27.985,28.0,27.88,27.89,1000287
2021-09-24 15:30:00,27.98,28.0,27.94,27.98,234218
2021-09-24 15:00:00,27.94,27.99,27.925,27.99,154335
2021-09-24 14:30:00,27.96,27.9716,27.91,27.94,176632
2021-09-24 14:00:00,27.98,27.99,27.94,27.96,117246
2021-09-24 13:30:00,28.015,28.04,27.96,27.98,149105
2021-09-24 13:00:00,28.09,28.1,28.0,28.01,186046
2021-09-24 12:30:00,28.11,28.13,28.08,28.08,126260
2021-09-24 12:00:00,28.04,28.14,28.03,28.11,201046
2021-09-24 11:30:00,28.075,28.12,28.04,28.04,169336
2021-09-24 11:00:00,28.12,28.14,28.04,28.075,227838
2021-09-24 10:30:00,28.16,28.19,28.075,28.12,308457
2021-09-24 10:00:00,27.84,28.16,27.8,28.15,436973
2021-09-24 09:30:00,27.79,27.79,27.78,27.78,1163
2021-09-24 05:30:00,27.94,28.04,27.57,27.57,611
2021-09-24 04:30:00,27.9,27.9,27.9,27.9,100
2021-09-23 16:30:00,27.98,27.98,27.98,27.98,93752
2021-09-23 16:00:00,28.01,28.04,27.93,27.97,1112178
2021-09-23 15:30:00,28.0695,28.075,27.99,28.005,398502
2021-09-23 15:00:00,28.07,28.1,28.03,28.07,286383
2021-09-23 14:30:00,28.155,28.175,28.07,28.07,257575
2021-09-23 14:00:00,28.13,28.168,28.11,28.1531,296936
2021-09-23 13:30:00,28.165,28.225,28.105,28.13,261044
2021-09-23 13:00:00,28.16,28.195,28.115,28.17,217194
2021-09-23 12:30:00,28.135,28.18,28.11,28.155,278323
2021-09-23 12:00:00,28.08,28.14,28.065,28.13,258040
2021-09-23 11:30:00,28.01,28.095,27.99,28.085,329589
2021-09-23 11:00:00,27.99,28.015,27.885,28.015,537698
2021-09-23 10:30:00,28.16,28.19,27.925,27.9877,606277
2021-09-23 10:00:00,27.77,28.18,27.71,28.16,800335
2021-09-23 09:30:00,27.67,27.68,27.65,27.65,300
2021-09-23 07:30:00,27.77,27.77,27.77,27.77,100
2021-09-23 06:30:00,27.77,27.78,27.77,27.78,1082
2021-09-23 05:30:00,27.79,27.8,27.68,27.68,1104
2021-09-22 20:00:00,27.75,27.75,27.75,27.75,520
2021-09-22 17:00:00,27.6,27.6,27.6,27.6,5000
2021-09-22 16:30:00,27.59,27.6,27.5178,27.6,125024
2021-09-22 16:00:00,27.685,27.735,27.57,27.58,1578768
2021-09-22 15:30:00,27.555,27.73,27.51,27.68,475769
2021-09-22 15:00:00,27.725,27.75,27.5,27.56,499946
2021-09-22 14:30:00,27.62,27.77,27.54,27.725,452521
2021-09-22 14:00:00,27.67,27.675,27.585,27.63,246333
2021-09-22 13:30:00,27.645,27.7,27.585,27.675,255541
2021-09-22 13:00:00,27.715,27.73,27.615,27.65,312801
2021-09-22 12:30:00,27.675,27.7453,27.67,27.715,309782
2021-09-22 12:00:00,27.585,27.71,27.58,27.675,550693
2021-09-22 11:30:00,27.455,27.61,27.453,27.59,391199
2021-09-22 11:00:00,27.415,27.4699,27.365,27.45,331273
2021-09-22 10:30:00,27.525,27.54,27.41,27.415,487743
2021-09-22 10:00:00,27.25,27.54,27.19,27.52,716165
2021-09-22 09:30:00,26.99,27.21,26.99,27.21,8686
2021-09-22 09:00:00,26.9,26.9,26.9,26.9,1000
2021-09-22 08:30:00,26.92,26.92,26.92,26.92,100
2021-09-22 08:00:00,26.97,26.97,26.92,26.92,470
2021-09-22 07:30:00,26.95,26.96,26.95,26.95,502
2021-09-22 06:00:00,26.95,26.95,26.95,26.95,281
2021-09-22 05:30:00,26.9,26.91,26.9,26.91,887
2021-09-22 04:30:00,26.7,26.7,26.7,26.7,169
2021-09-21 20:00:00,26.83,26.83,26.78,26.78,1002
2021-09-21 19:30:00,26.78,26.79,26.78,26.79,500
2021-09-21 19:00:00,26.77,26.77,26.77,26.77,2000
2021-09-21 17:30:00,26.85,26.85,26.85,26.85,1000
2021-09-21 17:00:00,26.77,26.77,26.77,26.77,185
2021-09-21 16:30:00,26.83,26.83,26.8,26.8,233824
2021-09-21 16:00:00,26.93,27.025,26.81,26.81,1583015
2021-09-21 15:30:00,26.89,26.96,26.89,26.935,503856
2021-09-21 15:00:00,26.78,26.935,26.765,26.89,477241
2021-09-21 14:30:00,26.84,26.915,26.775,26.78,415631
2021-09-21 14:00:00,26.85,26.8667,26.79,26.84,435520
2021-09-21 13:30:00,26.93,26.96,26.84,26.84,297966
2021-09-21 13:00:00,27.11,27.12,26.9,26.93,318379
2021-09-21 12:30:00,27.01,27.125,26.995,27.11,503851
2021-09-21 12:00:00,26.87,27.02,26.87,27.005,821291
2021-09-21 11:30:00,26.85,26.9816,26.83,26.86,406004
2021-09-21 11:00:00,27.02,27.04,26.79,26.86,406775
2021-09-21 10:30:00,27.145,27.17,26.945,27.015,565789
2021-09-21 10:00:00,27.49,27.51,27.08,27.15,641442
2021-09-21 09:30:00,27.38,27.5,27.38,27.5,1082
2021-09-21 08:30:00,27.36,27.47,27.36,27.47,879
2021-09-21 07:30:00,27.48,27.49,27.42,27.47,2620
2021-09-21 06:00:00,27.5,27.5,27.49,27.49,600
2021-09-20 19:30:00,27.19,27.19,27.19,27.19,500
2021-09-20 18:30:00,27.2,27.2,27.2,27.2,360
2021-09-20 18:00:00,27.19,27.19,27.19,27.19,229
2021-09-20 16:30:00,27.24,27.24,27.24,27.24,141053
2021-09-20 16:00:00,27.045,27.26,27.02,27.23,1394193
2021-09-20 15:30:00,26.9,27.05,26.845,27.045,581160
2021-09-20 15:00:00,26.855,26.93,26.805,26.9,362195
2021-09-20 14:30:00,27.02,27.04,26.83,26.85,378182
2021-09-20 14:00:00,26.965,27.04,26.94,27.02,387213
2021-09-20 13:30:00,26.9,26.975,26.845,26.965,321800
2021-09-20 13:00:00,26.985,27.02,26.87,26.89,349056
2021-09-20 12:30:00,27.06,27.07,26.92,26.98,354137
2021-09-20 12:00:00,27.13,27.145,27.06,27.07,539786
2021-09-20 11:30:00,27.15,27.2,27.07,27.13,430364
2021-09-20 11:00:00,27.09,27.2,27.035,27.15,458489
2021-09-20 10:30:00,27.19,27.24,27.0,27.09,539204
2021-09-20 10:00:00,27.06,27.3,26.93,27.19,1000020
2021-09-20 09:30:00,26.97,27.16,26.95,27.07,40244
2021-09-20 09:00:00,27.01,27.01,26.93,26.96,24594
2021-09-20 08:30:00,27.23,27.23,27.08,27.08,2356
2021-09-20 08:00:00,27.21,27.21,27.16,27.16,861
2021-09-20 07:30:00,27.21,27.24,27.21,27.24,3433
2021-09-20 07:00:00,27.26,27.26,27.26,27.26,509
2021-09-20 04:30:00,27.48,27.48,27.48,27.48,110
2021-09-17 20:00:00,27.6499,27.6499,27.6499,27.6499,1000
2021-09-17 19:30:00,27.68,27.68,27.65,27.65,909
2021-09-17 19:00:00,27.66,27.66,27.66,27.66,400
2021-09-17 17:30:00,27.68,27.68,27.68,27.68,1000
2021-09-17 17:00:00,27.66,27.68,27.58,27.68,3087
2021-09-17 16:30:00,27.69,27.74,27.66,27.74,1389782
2021-09-17 16:00:00,27.645,27.76,27.62,27.68,1503175
2021-09-17 15:30:00,27.565,27.69,27.56,27.645,509452
2021-09-17 15:00:00,27.52,27.6,27.46,27.565,305251
2021-09-17 14:30:00,27.53,27.6,27.49,27.52,278268
2021-09-17 14:00:00,27.57,27.58,27.46,27.53,245394
2021-09-17 13:30:00,27.64,27.65,27.56,27.58,231975
2021-09-17 13:00:00,27.6,27.7,27.6,27.645,206183
2021-09-17 12:30:00,27.6,27.635,27.55,27.6,250751
2021-09-17 12:00:00,27.63,27.63,27.545,27.595,371980
2021-09-17 11:30:00,27.68,27.75,27.6,27.625,450032
2021-09-17 11:00:00,27.68,27.76,27.63,27.687,377382
2021-09-17 10:30:00,27.86,27.91,27.64,27.68,517221
2021-09-17 10:00:00,27.84,27.945,27.79,27.87,1149726
2021-09-17 09:30:00,28.04,28.04,27.81,27.81,5259
2021-09-17 08:30:00,28.03,28.06,28.02,28.06,960
2021-09-16 20:00:00,28.0,28.07,28.0,28.07,1884
2021-09-16 17:30:00,28.04,28.04,28.04,28.04,302
2021-09-16 16:30:00,28.04,28.04,28.04,28.04,160935
2021-09-16 16:00:00,28.065,28.14,28.025,28.05,893677
2021-09-16 15:30:00,28.105,28.16,28.065,28.065,294855
2021-09-16 15:00:00,28.02,28.13,28.015,28.105,299822
2021-09-16 14:30:00,27.995,28.07,27.99,28.015,213697
2021-09-16 14:00:00,27.95,28.005,27.91,27.995,202129
2021-09-16 13:30:00,27.99,27.99,27.935,27.9555,158530
2021-09-16 13:00:00,27.95,28.065,27.95,27.99,192636
2021-09-16 12:30:00,27.93,27.97,27.89,27.95,249500
2021-09-16 12:00:00,27.9683,27.98,27.84,27.94,391980
2021-09-16 11:30:00,27.885,28.01,27.88,27.965,371266
2021-09-16 11:00:00,28.0,28.03,27.83,27.89,307134
2021-09-16 10:30:00,28.06,28.09,27.96,28.005,327607
2021-09-16 10:00:00,27.96,28.19,27.9,28.07,541781
2021-09-16 09:30:00,27.92,27.92,27.92,27.92,479
2021-09-16 09:00:00,27.86,27.88,27.86,27.88,724
2021-09-16 08:00:00,27.83,27.85,27.82,27.82,1000
2021-09-16 07:30:00,27.93,27.93,27.93,27.93,232
2021-09-16 05:30:00,27.71,28.0,27.71,27.87,2269
2021-09-16 05:00:00,28.01,28.02,27.76,28.02,310
2021-09-15 20:00:00,28.04,28.04,28.04,28.04,100
2021-09-15 17:00:00,27.95,27.95,27.95,27.95,38308
2021-09-15 16:30:00,27.95,27.95,27.8,27.8,112137
2021-09-15 16:00:00,28.0185,28.08,27.93,27.94,1488453
2021-09-15 15:30:00,27.915,28.06,27.9026,28.015,407634
2021-09-15 15:00:00,27.8926,27.96,27.89,27.91,297518
2021-09-15 14:30:00,27.91,27.95,27.88,27.895,261474
2021-09-15 14:00:00,27.88,27.985,27.875,27.91,291999
2021-09-15 13:30:00,27.83,27.895,27.81,27.87,230717
2021-09-15 13:00:00,27.735,27.89,27.735,27.83,319452
2021-09-15 12:30:00,27.805,27.805,27.66,27.735,248173
2021-09-15 12:00:00,27.845,27.85,27.755,27.805,242307
2021-09-15 11:30:00,27.68,27.87,27.68,27.845,304748
2021-09-15 11:00:00,27.7,27.785,27.575,27.675,435747
2021-09-15 10:30:00,27.725,27.86,27.595,27.705,470568
2021-09-15 10:00:00,27.55,27.73,27.38,27.73,446271
2021-09-15 09:30:00,27.57,27.57,27.45,27.45,5418
2021-09-15 09:00:00,27.64,27.64,27.5538,27.5538,2013
2021-09-15 08:30:00,27.64,27.65,27.64,27.65,200
2021-09-15 08:00:00,27.72,27.72,27.72,27.72,488
2021-09-15 06:30:00,27.75,27.75,27.75,27.75,388
2021-09-14 20:00:00,27.62,27.62,27.62,27.62,300
2021-09-14 19:30:00,27.6,27.6,27.6,27.6,1000
2021-09-14 19:00:00,27.6,27.6,27.6,27.6,392
2021-09-14 18:30:00,27.62,27.62,27.62,27.62,150
2021-09-14 18:00:00,27.6,27.62,27.6,27.62,2100
2021-09-14 17:30:00,27.6,27.6,27.6,27.6,500
2021-09-14 17:00:00,27.65,27.66,27.65,27.66,467
2021-09-14 16:30:00,27.56,27.56,27.55,27.55,130162
2021-09-14 16:00:00,27.505,27.63,27.485,27.58,1297542
2021-09-14 15:30:00,27.59,27.59,27.4901,27.51,663007
2021-09-14 15:00:00,27.68,27.68,27.52,27.58,507978
2021-09-14 14:30:00,27.82,27.83,27.655,27.68,278360
2021-09-14 14:00:00,27.915,27.915,27.81,27.82,196446
2021-09-14 13:30:00,27.85,27.92,27.84,27.915,341636
2021-09-14 13:00:00,27.94,27.94,27.84,27.85,214127
2021-09-14 12:30:00,27.95,28.05,27.945,27.95,227705
2021-09-14 12:00:00,27.98,28.01,27.91,27.96,391457
2021-09-14 11:30:00,27.8599,27.975,27.84,27.975,267634
2021-09-14 11:00:00,27.89,27.915,27.81,27.855,379273
2021-09-14 10:30:00,28.13,28.13,27.88,27.8958,415756
2021-09-14 10:00:00,28.47,28.47,28.1,28.13,495134
