time,open,high,low,close,volume
2021-10-04 16:30:00,55.03,55.03,55.03,55.03,15921
2021-10-04 16:00:00,55.02,55.24,54.88,55.01,159126
2021-10-04 15:30:00,54.99,55.06,54.945,55.04,70181
2021-10-04 15:00:00,55.01,55.04,54.97,54.99,47135
2021-10-04 14:30:00,55.15,55.2,54.94,55.01,45732
2021-10-04 14:00:00,55.26,55.26,55.13,55.15,43187
2021-10-04 13:30:00,55.22,55.31,55.16,55.2,22200
2021-10-04 13:00:00,55.29,55.301,55.13,55.21,21651
2021-10-04 12:30:00,55.36,55.39,55.27,55.27,31425
2021-10-04 12:00:00,55.22,55.415,55.09,55.38,26809
2021-10-04 11:30:00,55.4,55.42,55.17,55.2,34968
2021-10-04 11:00:00,55.615,55.63,55.32,55.45,49081
2021-10-04 10:30:00,56.06,56.09,55.58,55.62,37477
2021-10-04 10:00:00,55.36,56.03,55.36,56.03,30504
2021-10-01 16:30:00,55.27,55.27,55.27,55.27,30023
2021-10-01 16:00:00,55.51,55.51,55.22,55.27,155486
2021-10-01 15:30:00,55.48,55.64,55.48,55.515,53414
2021-10-01 15:00:00,55.519,55.54,55.39,55.47,37622
2021-10-01 14:30:00,55.31,55.5366,55.31,55.52,35162
2021-10-01 14:00:00,55.06,55.34,55.05,55.3,30263
2021-10-01 13:30:00,55.01,55.1,54.98,55.04,24528
2021-10-01 13:00:00,54.94,55.08,54.94,55.01,28336
2021-10-01 12:30:00,54.92,54.96,54.8,54.95,36766
2021-10-01 12:00:00,54.69,55.015,54.69,54.93,39580
2021-10-01 11:30:00,54.37,54.75,54.37,54.69,38150
2021-10-01 11:00:00,54.49,54.7,54.26,54.39,56346
2021-10-01 10:30:00,54.425,54.7,54.38,54.45,57177
2021-10-01 10:00:00,54.27,54.545,54.07,54.42,49132
2021-09-30 16:30:00,53.93,53.93,53.93,53.93,31662
2021-09-30 16:00:00,54.28,54.435,53.91,53.92,260704
2021-09-30 15:30:00,54.28,54.47,54.2,54.28,69129
2021-09-30 15:00:00,54.22,54.51,54.215,54.3,51832
2021-09-30 14:30:00,54.19,54.34,54.15,54.22,53050
2021-09-30 14:00:00,54.05,54.18,53.92,54.18,31684
2021-09-30 13:30:00,54.11,54.27,54.04,54.06,34642
2021-09-30 13:00:00,53.97,54.18,53.91,54.1,38346
2021-09-30 12:30:00,54.36,54.39,53.99,53.99,42605
2021-09-30 12:00:00,54.635,54.635,54.31,54.35,42247
2021-09-30 11:30:00,54.59,54.68,54.55,54.635,27683
2021-09-30 11:00:00,54.65,54.815,54.57,54.605,29391
2021-09-30 10:30:00,54.73,54.91,54.64,54.66,79066
2021-09-30 10:00:00,54.58,54.99,54.495,54.75,45533
2021-09-29 16:30:00,54.34,54.34,54.34,54.34,10092
2021-09-29 16:00:00,54.39,54.435,54.3,54.34,149447
2021-09-29 15:30:00,54.39,54.415,54.24,54.4,45507
2021-09-29 15:00:00,54.37,54.45,54.31,54.37,60272
2021-09-29 14:30:00,54.34,54.41,54.29,54.37,28791
2021-09-29 14:00:00,54.31,54.32,54.23,54.32,30686
2021-09-29 13:30:00,54.18,54.32,54.16,54.3179,31807
2021-09-29 13:00:00,54.21,54.26,54.13,54.19,33817
2021-09-29 12:30:00,54.29,54.32,54.14,54.215,26696
2021-09-29 12:00:00,54.51,54.57,54.24,54.26,30528
2021-09-29 11:30:00,54.37,54.59,54.28,54.51,53236
2021-09-29 11:00:00,54.115,54.38,54.04,54.38,63333
2021-09-29 10:30:00,53.84,54.17,53.78,54.14,42635
2021-09-29 10:00:00,53.44,53.86,53.39,53.84,32036
2021-09-28 16:30:00,53.38,53.38,53.38,53.38,10698
2021-09-28 16:00:00,53.55,53.61,53.3,53.38,152221
2021-09-28 15:30:00,53.74,53.83,53.56,53.56,46626
2021-09-28 15:00:00,53.6,53.79,53.51,53.74,34704
2021-09-28 14:30:00,53.5,53.62,53.37,53.6,30186
2021-09-28 14:00:00,53.61,53.61,53.46,53.5,25178
2021-09-28 13:30:00,53.39,53.655,53.35,53.63,30941
2021-09-28 13:00:00,53.51,53.52,53.365,53.365,31688
2021-09-28 12:30:00,53.63,53.63,53.44,53.5,43992
2021-09-28 12:00:00,53.78,53.78,53.61,53.63,27317
2021-09-28 11:30:00,53.98,54.01,53.65,53.75,32308
2021-09-28 11:00:00,53.75,54.08,53.73,53.98,35922
2021-09-28 10:30:00,54.19,54.26,53.68,53.76,51094
2021-09-28 10:00:00,54.11,54.52,54.02,54.22,36192
2021-09-27 16:30:00,53.92,53.92,53.92,53.92,52771
2021-09-27 16:00:00,54.035,54.05,53.86,53.92,124612
2021-09-27 15:30:00,54.08,54.12,54.03,54.035,33920
2021-09-27 15:00:00,54.18,54.18,54.09,54.09,28972
2021-09-27 14:30:00,54.16,54.19,54.14,54.18,24172
2021-09-27 14:00:00,54.08,54.17,54.07,54.15,20284
2021-09-27 13:30:00,54.23,54.31,54.06,54.08,23623
2021-09-27 13:00:00,54.23,54.25,54.16,54.24,25831
2021-09-27 12:30:00,54.15,54.235,54.13,54.23,23241
2021-09-27 12:00:00,54.11,54.17,54.065,54.15,27425
2021-09-27 11:30:00,54.13,54.16,54.04,54.12,26463
2021-09-27 11:00:00,54.07,54.19,54.01,54.1,29808
2021-09-27 10:30:00,54.04,54.18,54.0,54.08,24589
2021-09-27 10:00:00,53.49,54.05,53.49,54.04,38110
2021-09-24 16:30:00,52.96,52.96,52.96,52.96,11375
2021-09-24 16:00:00,53.1,53.16,52.95,52.97,177034
2021-09-24 15:30:00,53.14,53.14,53.03,53.09,37931
2021-09-24 15:00:00,53.15,53.17,53.1,53.13,26995
2021-09-24 14:30:00,53.14,53.17,53.12,53.14,21579
2021-09-24 14:00:00,53.145,53.2,53.12,53.13,22728
2021-09-24 13:30:00,53.21,53.215,53.11,53.145,18503
2021-09-24 13:00:00,53.29,53.29,53.21,53.21,15320
2021-09-24 12:30:00,53.295,53.34,53.22,53.3,24212
2021-09-24 12:00:00,53.25,53.31,53.22,53.3,25795
2021-09-24 11:30:00,53.29,53.32,53.23,53.26,26180
2021-09-24 11:00:00,53.32,53.33,53.18,53.29,24250
2021-09-24 10:30:00,53.34,53.43,53.29,53.35,30232
2021-09-24 10:00:00,52.99,53.36,52.97,53.33,35735
2021-09-23 16:30:00,52.94,52.94,52.94,52.94,21570
2021-09-23 16:00:00,53.07,53.08,52.885,52.94,116217
2021-09-23 15:30:00,53.2,53.22,53.02,53.07,42772
2021-09-23 15:00:00,53.35,53.365,53.17,53.19,31430
