time,open,high,low,close,volume
2021-10-04 17:00:00,146.62,146.62,146.62,146.62,2170
2021-10-04 16:30:00,146.62,146.62,146.62,146.62,57630
2021-10-04 16:00:00,146.33,146.92,146.02,146.63,515312
2021-10-04 15:30:00,146.9,147.43,146.24,146.355,115686
2021-10-04 15:00:00,146.52,146.94,146.39,146.87,85963
2021-10-04 14:30:00,146.62,147.03,146.25,146.54,97740
2021-10-04 14:00:00,146.24,146.91,146.22,146.61,71923
2021-10-04 13:30:00,146.34,146.96,145.89,146.2,136652
2021-10-04 13:00:00,146.88,146.95,146.21,146.39,87320
2021-10-04 12:30:00,146.57,147.23,146.26,146.9,81515
2021-10-04 12:00:00,146.48,146.76,145.75,146.611,114657
2021-10-04 11:30:00,146.83,147.2,146.1,146.47,110131
2021-10-04 11:00:00,147.72,147.76,146.08,146.92,208731
2021-10-04 10:30:00,148.67,149.02,147.58,147.78,205103
2021-10-04 10:00:00,150.87,151.48,148.41,148.81,287864
2021-10-04 09:30:00,151.0,151.0,150.17,150.51,2962
2021-10-04 09:00:00,151.41,151.99,151.41,151.5,1108
2021-10-04 08:30:00,152.5,152.5,152.5,152.5,100
2021-10-04 08:00:00,150.59,150.89,150.59,150.81,1468
2021-10-01 20:00:00,152.71,152.71,152.7,152.71,6596
2021-10-01 17:30:00,152.7,152.7,152.7,152.7,700
2021-10-01 16:30:00,152.71,152.71,152.13,152.51,31624
2021-10-01 16:00:00,153.435,153.56,152.38,152.63,721519
2021-10-01 15:30:00,153.64,153.945,153.38,153.435,101599
2021-10-01 15:00:00,153.65,153.92,153.39,153.64,71855
2021-10-01 14:30:00,153.34,153.81,153.34,153.71,78916
2021-10-01 14:00:00,153.09,153.57,153.0524,153.28,70140
2021-10-01 13:30:00,152.69,153.31,152.45,153.09,63344
2021-10-01 13:00:00,152.83,153.33,152.51,152.6,59702
2021-10-01 12:30:00,153.44,153.465,152.511,152.85,84370
2021-10-01 12:00:00,153.3,153.49,153.031,153.37,54433
2021-10-01 11:30:00,152.73,153.51,152.06,153.24,108835
2021-10-01 11:00:00,151.25,152.88,151.12,152.73,113034
2021-10-01 10:30:00,152.95,153.13,151.21,151.35,97383
2021-10-01 10:00:00,154.6,154.69,151.8591,153.02,136827
2021-09-30 16:30:00,153.49,153.49,153.49,153.49,77333
2021-09-30 16:00:00,154.14,154.77,153.27,153.5,364511
2021-09-30 15:30:00,154.35,154.8,153.91,154.19,67734
2021-09-30 15:00:00,154.36,154.78,154.24,154.33,42717
2021-09-30 14:30:00,154.075,154.74,154.065,154.37,50332
2021-09-30 14:00:00,153.8,154.15,153.55,154.03,45521
2021-09-30 13:30:00,153.44,154.26,153.41,153.88,55582
2021-09-30 13:00:00,153.29,153.85,153.09,153.54,62248
2021-09-30 12:30:00,153.71,153.79,152.96,153.36,50119
2021-09-30 12:00:00,154.97,155.04,153.21,153.83,61570
2021-09-30 11:30:00,153.89,155.28,153.89,154.98,65959
2021-09-30 11:00:00,154.11,154.72,153.68,154.13,55098
2021-09-30 10:30:00,154.385,155.44,154.18,154.3,71722
2021-09-30 10:00:00,154.7,155.76,154.3,154.529,117504
2021-09-30 09:30:00,154.19,154.4,154.19,154.39,602
2021-09-30 08:00:00,156.869,156.87,156.869,156.87,400
2021-09-30 04:30:00,152.0,152.0,152.0,152.0,648
2021-09-29 16:30:00,153.07,153.1,153.06,153.1,18349
2021-09-29 16:00:00,154.345,154.45,152.92,153.07,389779
2021-09-29 15:30:00,154.93,155.07,154.33,154.33,82517
2021-09-29 15:00:00,154.62,155.01,154.44,154.89,121949
2021-09-29 14:30:00,154.56,154.88,154.27,154.65,214571
2021-09-29 14:00:00,154.15,154.6,153.57,154.59,144446
2021-09-29 13:30:00,154.35,154.72,154.02,154.17,95943
2021-09-29 13:00:00,153.97,154.57,153.9,154.385,73611
2021-09-29 12:30:00,154.225,154.57,153.64,153.98,92324
2021-09-29 12:00:00,155.34,155.4,154.07,154.23,135688
2021-09-29 11:30:00,156.31,156.35,155.36,155.36,88852
2021-09-29 11:00:00,155.92,156.625,155.14,156.25,143575
2021-09-29 10:30:00,157.39,157.48,155.8904,155.8904,79423
2021-09-29 10:00:00,157.95,158.66,155.58,157.33,195561
