time,open,high,low,close,volume
2021-10-06 18:30:00,46.46,46.46,46.46,46.46,11988
2021-10-06 18:00:00,46.5,46.5,46.5,46.5,126
2021-10-06 17:30:00,46.45,46.45,46.45,46.45,96352
2021-10-06 17:00:00,46.6,46.6,46.56,46.59,2051
2021-10-06 16:30:00,46.45,46.45,46.45,46.45,157958
2021-10-06 16:00:00,46.44,46.575,46.4308,46.46,800126
2021-10-06 15:30:00,46.34,46.4399,46.3,46.435,280273
2021-10-06 15:00:00,46.31,46.4265,46.28,46.345,265304
2021-10-06 14:30:00,46.05,46.32,46.0,46.32,217583
2021-10-06 14:00:00,45.94,46.0799,45.94,46.05,272470
2021-10-06 13:30:00,45.855,45.945,45.76,45.94,184814
2021-10-06 13:00:00,45.76,45.8961,45.73,45.8489,245905
2021-10-06 12:30:00,45.92,45.9399,45.7169,45.7655,314646
2021-10-06 12:00:00,45.8478,45.93,45.7735,45.915,222582
2021-10-06 11:30:00,45.92,45.98,45.8332,45.84,240340
2021-10-06 11:00:00,46.02,46.065,45.78,45.915,323997
2021-10-06 10:30:00,45.98,46.07,45.82,46.01,353391
2021-10-06 10:00:00,45.8,46.09,45.72,45.98,543529
2021-10-06 09:30:00,45.82,45.85,45.81,45.81,22419
2021-10-06 09:00:00,45.85,45.85,45.82,45.82,16112
2021-10-06 08:30:00,45.9,46.0,45.81,45.85,13027
2021-10-06 08:00:00,45.81,45.9,45.81,45.88,1866
2021-10-06 07:30:00,46.0,46.0,45.85,45.85,1938
2021-10-06 06:00:00,45.72,45.73,45.72,45.73,732
2021-10-06 05:30:00,45.94,45.94,45.92,45.92,401
2021-10-05 20:00:00,46.16,46.17,46.16,46.1699,1298
2021-10-05 19:30:00,46.21,46.21,46.18,46.18,1313
2021-10-05 18:30:00,46.2,46.2,46.2,46.2,1000
2021-10-05 18:00:00,46.4,46.4,46.2,46.2,326394
2021-10-05 17:00:00,46.2,46.3,46.17,46.18,4377
2021-10-05 16:30:00,46.17,46.2,46.16,46.2,151457
2021-10-05 16:00:00,46.405,46.46,46.16,46.16,1598901
2021-10-05 15:30:00,46.51,46.5462,46.39,46.41,440504
2021-10-05 15:00:00,46.495,46.565,46.48,46.515,246483
2021-10-05 14:30:00,46.4,46.505,46.365,46.49,239076
2021-10-05 14:00:00,46.33,46.44,46.29,46.4,223626
2021-10-05 13:30:00,46.3,46.379,46.265,46.325,215854
2021-10-05 13:00:00,46.26,46.315,46.225,46.3,194623
2021-10-05 12:30:00,46.41,46.4382,46.235,46.26,274996
2021-10-05 12:00:00,46.48,46.51,46.36,46.408,328965
2021-10-05 11:30:00,46.34,46.53,46.315,46.485,347631
2021-10-05 11:00:00,46.54,46.605,46.3427,46.3427,429909
2021-10-05 10:30:00,46.35,46.54,46.34,46.532,496347
2021-10-05 10:00:00,46.54,46.62,46.15,46.3386,792149
2021-10-05 09:30:00,46.66,46.66,46.62,46.65,2642
2021-10-05 09:00:00,46.62,46.67,46.61,46.67,2069
2021-10-05 08:30:00,46.63,46.63,46.6,46.63,6290
2021-10-05 08:00:00,46.58,46.6,46.58,46.6,292
2021-10-05 07:30:00,46.53,46.56,46.53,46.56,370
2021-10-05 07:00:00,46.6,46.6,46.6,46.6,300
2021-10-05 06:00:00,46.61,46.61,46.61,46.61,106
2021-10-04 20:00:00,46.55,46.56,46.55,46.55,1300
2021-10-04 19:30:00,46.56,46.56,46.5,46.5,415
2021-10-04 19:00:00,46.5,46.5,46.5,46.5,100
2021-10-04 18:30:00,46.55,46.55,46.55,46.55,100
2021-10-04 17:00:00,46.5,46.5,46.5,46.5,237
2021-10-04 16:30:00,46.5,46.5,46.4,46.45,649091
2021-10-04 16:00:00,46.37,46.56,46.36,46.5,1266903
2021-10-04 15:30:00,46.285,46.395,46.24,46.3649,481468
2021-10-04 15:00:00,46.225,46.3,46.18,46.28,289529
2021-10-04 14:30:00,46.18,46.28,46.14,46.23,358730
2021-10-04 14:00:00,46.18,46.23,46.14,46.19,263808
2021-10-04 13:30:00,46.22,46.31,46.15,46.17,290506
2021-10-04 13:00:00,46.111,46.31,46.111,46.23,313854
2021-10-04 12:30:00,46.17,46.2169,46.09,46.11,315857
2021-10-04 12:00:00,45.99,46.22,45.83,46.17,422444
2021-10-04 11:30:00,46.11,46.31,45.96,46.0,484213
2021-10-04 11:00:00,46.21,46.22,46.0038,46.12,698707
2021-10-04 10:30:00,46.22,46.48,46.18,46.21,713067
2021-10-04 10:00:00,45.97,46.41,45.89,46.22,1088550
2021-10-04 09:30:00,46.0,46.13,45.99,46.11,3938
2021-10-04 09:00:00,45.95,46.0,45.95,46.0,12062
2021-10-04 08:30:00,45.91,45.95,45.9099,45.94,6491
2021-10-04 08:00:00,45.92,45.92,45.9,45.9,527
2021-10-04 07:30:00,45.86,46.0,45.86,45.91,1878
2021-10-04 07:00:00,45.89,45.89,45.89,45.89,182
2021-10-04 06:00:00,46.0,46.0,46.0,46.0,240
2021-10-04 05:30:00,45.9,45.9,45.9,45.9,116
2021-10-04 05:00:00,45.86,45.86,45.86,45.86,857
2021-10-04 04:30:00,45.86,46.0,45.86,46.0,503
2021-10-01 19:00:00,45.86,45.86,45.86,45.86,336
2021-10-01 18:30:00,45.99,46.05,45.99,46.05,1882
2021-10-01 18:00:00,46.0,46.0,46.0,46.0,205
2021-10-01 17:30:00,46.1,46.1,46.1,46.1,500
2021-10-01 17:00:00,46.0,46.0,46.0,46.0,10109
2021-10-01 16:30:00,46.01,46.08,45.86,46.08,206426
2021-10-01 16:00:00,46.03,46.0732,45.79,45.88,1359517
2021-10-01 15:30:00,45.99,46.09,45.98,46.025,593788
2021-10-01 15:00:00,45.885,45.985,45.84,45.977,606726
2021-10-01 14:30:00,45.975,45.99,45.88,45.885,518116
2021-10-01 14:00:00,45.7838,46.03,45.7838,45.975,684764
2021-10-01 13:30:00,45.78,45.84,45.74,45.787,465795
2021-10-01 13:00:00,45.705,45.87,45.705,45.7855,781429
2021-10-01 12:30:00,45.59,45.81,45.532,45.701,577479
2021-10-01 12:00:00,45.38,45.64,45.355,45.585,459250
2021-10-01 11:30:00,45.38,45.51,45.25,45.38,475618
2021-10-01 11:00:00,45.17,45.41,45.07,45.385,675616
2021-10-01 10:30:00,45.36,45.58,44.89,45.175,1792135
2021-10-01 10:00:00,45.47,45.79,45.18,45.3492,1706031
2021-10-01 09:30:00,45.56,45.6199,45.46,45.46,21224
2021-10-01 09:00:00,45.64,45.64,45.57,45.57,71427
2021-10-01 08:30:00,45.46,45.62,45.4,45.62,10723
2021-10-01 08:00:00,45.46,45.64,45.46,45.59,5011
2021-10-01 07:30:00,45.4,45.46,45.34,45.46,3431
2021-10-01 07:00:00,45.39,45.39,45.39,45.39,1521
2021-10-01 06:30:00,45.39,45.39,45.39,45.39,249
2021-10-01 06:00:00,45.43,45.44,45.43,45.44,744
2021-10-01 05:30:00,45.34,45.44,45.34,45.44,370
2021-10-01 05:00:00,45.35,45.44,45.35,45.35,3921
2021-10-01 04:30:00,45.64,45.64,45.4,45.4,2927
2021-09-30 20:00:00,45.7,45.73,45.69,45.69,1957
2021-09-30 19:30:00,45.73,45.73,45.55,45.55,1341
2021-09-30 19:00:00,45.76,45.76,45.73,45.73,1323
2021-09-30 18:30:00,45.69,45.76,45.69,45.75,2477
2021-09-30 18:00:00,45.69,45.76,45.52,45.69,7464
2021-09-30 17:30:00,45.62,45.76,45.6,45.6,312729
2021-09-30 17:00:00,45.6699,45.68,45.6,45.62,5123
2021-09-30 16:30:00,45.98,45.98,45.52,45.62,288588
2021-09-30 16:00:00,45.865,45.96,45.51,45.52,2550703
2021-09-30 15:30:00,45.845,46.01,45.845,45.8664,1039739
2021-09-30 15:00:00,45.99,46.13,45.84,45.845,1138886
2021-09-30 14:30:00,45.735,46.0,45.72,45.9997,869300
2021-09-30 14:00:00,45.6569,45.73,45.52,45.73,796546
2021-09-30 13:30:00,45.525,45.74,45.44,45.65,1022480
2021-09-30 13:00:00,45.69,45.73,45.37,45.53,1745843
2021-09-30 12:30:00,46.13,46.16,45.645,45.7,1221626
2021-09-30 12:00:00,46.56,46.59,46.1101,46.13,1139409
2021-09-30 11:30:00,46.58,46.77,46.415,46.57,1061424
2021-09-30 11:00:00,47.015,47.03,46.44,46.5879,1670628
