time,open,high,low,close,volume
2021-10-06 20:00:00,99.35,99.35,99.35,99.35,601
2021-10-06 19:30:00,99.3,99.3,99.3,99.3,140
2021-10-06 18:00:00,99.2,99.2,99.08,99.09,4180
2021-10-06 17:30:00,99.15,99.3,99.02,99.1,29970
2021-10-06 17:00:00,99.1,99.2,99.1,99.16,881
2021-10-06 16:30:00,99.1,99.2,99.0,99.1,148077
2021-10-06 16:00:00,99.22,99.255,98.83,99.1,1120011
2021-10-06 15:30:00,98.93,99.27,98.91,99.238,311659
2021-10-06 15:00:00,99.185,99.28,98.915,98.92,315475
2021-10-06 14:30:00,98.9,99.46,98.83,99.18,410682
2021-10-06 14:00:00,98.4,98.9217,98.38,98.89,358603
2021-10-06 13:30:00,97.99,98.38,97.69,98.38,268918
2021-10-06 13:00:00,97.58,98.085,97.505,97.97,313273
2021-10-06 12:30:00,97.945,98.1,97.41,97.58,344555
2021-10-06 12:00:00,97.37,98.02,97.22,97.945,537727
2021-10-06 11:30:00,97.82,98.1014,97.33,97.34,354108
2021-10-06 11:00:00,97.71,98.11,97.23,97.82,431432
2021-10-06 10:30:00,97.72,98.015,97.235,97.74,620552
2021-10-06 10:00:00,98.215,99.34,97.6,97.75,437783
2021-10-06 09:30:00,98.02,98.62,97.98,98.45,5876
2021-10-06 09:00:00,98.19,98.24,98.13,98.13,1970
2021-10-06 08:30:00,97.67,98.19,97.36,98.19,10106
2021-10-06 08:00:00,97.71,97.77,97.6,97.77,1008
2021-10-06 07:30:00,97.66,97.66,97.44,97.44,25393
2021-10-05 19:30:00,99.5,99.5,99.5,99.5,100
2021-10-05 17:30:00,99.3,99.35,99.3,99.35,1518
2021-10-05 17:00:00,99.1999,99.1999,99.1999,99.1999,100
2021-10-05 16:30:00,99.23,99.28,99.2,99.2,363527
2021-10-05 16:00:00,99.58,99.6,99.07,99.19,1084852
2021-10-05 15:30:00,99.35,99.73,99.3,99.57,307224
2021-10-05 15:00:00,99.38,99.46,99.225,99.33,256230
2021-10-05 14:30:00,99.4999,99.6,99.2,99.39,506172
2021-10-05 14:00:00,99.4,99.5,99.27,99.5,211460
2021-10-05 13:30:00,98.93,99.43,98.9,99.39,298151
2021-10-05 13:00:00,98.6,98.95,98.44,98.92,413285
2021-10-05 12:30:00,98.73,98.99,98.465,98.61,402765
2021-10-05 12:00:00,98.99,98.99,98.47,98.72,478696
2021-10-05 11:30:00,99.24,99.3,98.9,98.985,762316
2021-10-05 11:00:00,99.06,99.4599,98.86,99.22,601402
2021-10-05 10:30:00,97.82,99.06,97.82,99.05,1250980
2021-10-05 10:00:00,98.22,98.27,97.47,97.8,882507
2021-10-05 09:30:00,98.19,98.48,98.09,98.48,7442
2021-10-05 09:00:00,98.11,98.19,98.0,98.19,7350
2021-10-05 08:30:00,98.0,98.16,98.0,98.1,2104
2021-10-05 08:00:00,98.35,98.4,98.35,98.4,5783
2021-10-05 07:30:00,98.0,98.4,98.0,98.34,21832
2021-10-05 07:00:00,98.0,98.0,97.85,97.85,4049
2021-10-05 06:00:00,98.0,98.0,98.0,98.0,1004
2021-10-04 20:00:00,97.1,97.1,97.1,97.1,170
2021-10-04 19:00:00,97.0,97.0,97.0,97.0,200
2021-10-04 17:30:00,97.19,97.19,97.11,97.11,198737
2021-10-04 17:00:00,97.17,97.49,97.15,97.3,4720
2021-10-04 16:30:00,97.15,97.3,97.15,97.3,905194
2021-10-04 16:00:00,97.05,97.425,96.97,97.15,1603978
2021-10-04 15:30:00,97.2,97.41,97.05,97.06,486826
2021-10-04 15:00:00,97.1,97.255,97.0,97.18,472447
2021-10-04 14:30:00,97.4,97.65,97.055,97.11,681585
2021-10-04 14:00:00,97.35,97.532,97.28,97.4,246375
2021-10-04 13:30:00,97.4,97.63,97.22,97.35,328050
2021-10-04 13:00:00,97.61,97.66,97.25,97.41,321984
2021-10-04 12:30:00,97.89,97.95,97.57,97.62,510877
2021-10-04 12:00:00,97.685,97.93,97.36,97.91,747754
2021-10-04 11:30:00,98.22,98.29,97.58,97.68,423375
2021-10-04 11:00:00,98.77,98.86,97.77,98.24,467903
2021-10-04 10:30:00,100.33,100.51,98.7,98.8,458434
2021-10-04 10:00:00,99.05,100.44,98.71,100.38,564252
2021-10-04 09:30:00,99.41,99.41,99.11,99.11,301
2021-10-04 09:00:00,98.5901,99.1,98.5901,99.1,3767
2021-10-04 08:30:00,98.98,99.03,98.93,99.03,1290
2021-10-04 08:00:00,98.78,98.8,98.78,98.79,729
2021-10-04 07:30:00,98.9,98.9,98.52,98.52,900
2021-10-04 06:30:00,98.66,98.66,98.66,98.66,101
2021-10-04 05:30:00,98.81,98.82,98.81,98.82,304
2021-10-01 20:00:00,99.21,99.24,99.21,99.24,412
2021-10-01 18:00:00,99.24,99.24,99.06,99.145,801
2021-10-01 17:30:00,99.22,99.22,99.22,99.22,200
2021-10-01 17:00:00,99.25,99.25,99.25,99.25,252
2021-10-01 16:30:00,99.05,99.3499,99.05,99.3499,128633
2021-10-01 16:00:00,99.41,99.44,98.94,99.05,1085731
2021-10-01 15:30:00,99.52,99.905,99.4,99.4,410568
2021-10-01 15:00:00,99.36,99.59,99.27,99.515,302157
2021-10-01 14:30:00,99.24,99.405,99.18,99.37,367329
2021-10-01 14:00:00,98.86,99.36,98.7701,99.23,304760
2021-10-01 13:30:00,98.72,98.99,98.6,98.83,234828
2021-10-01 13:00:00,98.71,98.9,98.64,98.71,275671
2021-10-01 12:30:00,98.54,98.74,98.4,98.7086,324253
2021-10-01 12:00:00,98.525,98.81,98.45,98.52,369033
2021-10-01 11:30:00,97.97,98.79,97.96,98.53,546489
2021-10-01 11:00:00,97.35,97.97,97.16,97.96,539461
2021-10-01 10:30:00,98.11,98.54,97.06,97.37,798474
2021-10-01 10:00:00,97.93,98.42,97.51,98.075,687802
2021-10-01 09:30:00,97.79,98.15,97.31,97.89,30159
2021-10-01 09:00:00,97.9,97.92,97.61,97.64,2631
2021-10-01 08:30:00,97.5199,97.9799,97.37,97.82,1994
2021-10-01 08:00:00,97.69,98.35,97.69,97.7,3341
