time,open,high,low,close,volume
2021-09-30 18:30:00,57.99,57.99,57.98,57.99,1612
2021-09-30 17:00:00,57.91,57.91,57.9,57.9,421
2021-09-30 16:30:00,57.99,57.99,57.91,57.91,109088
2021-09-30 16:00:00,58.46,58.63,57.93,57.99,506229
2021-09-30 15:30:00,58.4,58.68,58.28,58.46,117843
2021-09-30 15:00:00,58.32,58.68,58.3152,58.41,84475
2021-09-30 14:30:00,58.32,58.5,58.22,58.32,91043
2021-09-30 14:00:00,58.0399,58.36,57.97,58.299,71762
2021-09-30 13:30:00,58.23,58.62,58.0,58.04,120097
2021-09-30 13:00:00,58.07,58.4,58.02,58.22,92137
2021-09-30 12:30:00,58.51,58.609,58.0,58.07,120417
2021-09-30 12:00:00,58.89,58.89,58.42,58.46,94903
2021-09-30 11:30:00,58.21,58.93,58.1501,58.8978,128158
2021-09-30 11:00:00,58.35,58.52,58.18,58.24,96912
2021-09-30 10:30:00,58.615,58.72,58.3009,58.38,82014
2021-09-30 10:00:00,59.02,59.02,58.51,58.6,114080
2021-09-30 09:30:00,58.89,58.89,58.89,58.89,367
2021-09-30 08:30:00,59.3199,59.3199,59.3199,59.3199,100
2021-09-29 16:30:00,58.81,58.81,58.81,58.81,40359
2021-09-29 16:00:00,59.035,59.17,58.79,58.81,362163
2021-09-29 15:30:00,59.02,59.15,58.97,59.04,122584
2021-09-29 15:00:00,59.04,59.14,58.97,59.01,97731
2021-09-29 14:30:00,58.91,59.16,58.88,59.05,98850
2021-09-29 14:00:00,58.96,58.96,58.73,58.92,83919
2021-09-29 13:30:00,59.03,59.1,58.88,58.96,81518
2021-09-29 13:00:00,59.0052,59.1481,58.92,59.04,101102
2021-09-29 12:30:00,59.225,59.38,58.98,59.005,104575
2021-09-29 12:00:00,59.3156,59.3156,58.96,59.23,122796
2021-09-29 11:30:00,59.22,59.41,59.08,59.29,157041
2021-09-29 11:00:00,59.08,59.46,58.84,59.2,169122
