time,open,high,low,close,volume
2021-09-30 19:30:00,17.47,17.47,17.47,17.47,115
2021-09-30 16:30:00,17.47,17.5,17.22,17.44,197376
2021-09-30 16:00:00,17.56,17.625,17.4,17.44,2405701
2021-09-30 15:30:00,17.62,17.665,17.545,17.56,647773
2021-09-30 15:00:00,17.63,17.69,17.62,17.62,87200
2021-09-30 14:30:00,17.71,17.73,17.605,17.625,196281
2021-09-30 14:00:00,17.625,17.71,17.555,17.7,170353
2021-09-30 13:30:00,17.65,17.71,17.585,17.625,217317
2021-09-30 13:00:00,17.63,17.6963,17.61,17.6482,212623
2021-09-30 12:30:00,17.79,17.81,17.64,17.64,179004
2021-09-30 12:00:00,18.0,18.0,17.78,17.785,255925
2021-09-30 11:30:00,17.95,18.05,17.935,18.01,230048
2021-09-30 11:00:00,18.0,18.06,17.92,17.95,348451
2021-09-30 10:30:00,17.94,18.08,17.92,18.01,354456
2021-09-30 10:00:00,18.0,18.07,17.84,17.94,397793
2021-09-30 07:30:00,18.0,18.0,17.98,17.99,768
2021-09-29 17:00:00,17.92,17.92,17.92,17.92,250
2021-09-29 16:30:00,17.89,17.89,17.89,17.89,50625
2021-09-29 16:00:00,17.96,17.995,17.87,17.9,498881
2021-09-29 15:30:00,17.93,17.98,17.885,17.97,130350
2021-09-29 15:00:00,17.92,17.96,17.915,17.93,137745
2021-09-29 14:30:00,17.83,17.93,17.83,17.915,89738
2021-09-29 14:00:00,17.82,17.84,17.78,17.84,242902
2021-09-29 13:30:00,17.78,17.84,17.755,17.825,198024
2021-09-29 13:00:00,17.81,17.84,17.77,17.77,138519
2021-09-29 12:30:00,17.805,17.85,17.79,17.81,81159
2021-09-29 12:00:00,17.82,17.84,17.76,17.81,86327
2021-09-29 11:30:00,17.83,17.87,17.79,17.82,155688
2021-09-29 11:00:00,17.78,17.83,17.69,17.82,216583
2021-09-29 10:30:00,17.77,17.82,17.71,17.79,213818
2021-09-29 10:00:00,17.58,17.77,17.49,17.765,283743
2021-09-29 09:30:00,17.6,17.61,17.48,17.59,1708
2021-09-28 17:00:00,17.61,17.61,17.61,17.61,497
2021-09-28 16:30:00,17.6,17.6,17.6,17.6,55464
2021-09-28 16:00:00,17.57,17.64,17.49,17.6,1512203
2021-09-28 15:30:00,17.655,17.69,17.575,17.575,221888
2021-09-28 15:00:00,17.64,17.67,17.58,17.655,506197
2021-09-28 14:30:00,17.74,17.74,17.6,17.635,504901
2021-09-28 14:00:00,17.785,17.79,17.715,17.74,224494
2021-09-28 13:30:00,17.6836,17.8,17.67,17.785,180766
2021-09-28 13:00:00,17.71,17.73,17.68,17.69,130085
2021-09-28 12:30:00,17.79,17.79,17.7,17.715,204530
2021-09-28 12:00:00,17.78,17.8,17.71,17.795,289692
