time,open,high,low,close,volume
2021-09-30 16:30:00,45.92,45.97,45.92,45.97,38093
2021-09-30 16:00:00,46.365,46.47,45.9,45.9,519269
2021-09-30 15:30:00,46.32,46.52,46.26,46.36,130194
2021-09-30 15:00:00,46.31,46.54,46.3,46.3,130218
2021-09-30 14:30:00,46.501,46.58,46.29,46.32,97000
2021-09-30 14:00:00,46.45,46.55,46.3333,46.5,64478
2021-09-30 13:30:00,46.52,46.67,46.44,46.46,64177
2021-09-30 13:00:00,46.45,46.6,46.43,46.5,71974
2021-09-30 12:30:00,46.82,46.84,46.43,46.48,112721
2021-09-30 12:00:00,47.09,47.09,46.81,46.825,81234
2021-09-30 11:30:00,47.15,47.2,47.04,47.1,69243
2021-09-30 11:00:00,47.12,47.29,47.075,47.15,91379
2021-09-30 10:30:00,47.72,47.72,47.065,47.13,86439
2021-09-30 10:00:00,48.1,48.155,47.58,47.76,80811
2021-09-29 17:00:00,47.68,47.68,47.68,47.68,404
2021-09-29 16:30:00,47.92,47.92,47.92,47.92,38842
2021-09-29 16:00:00,48.1,48.16,47.86,47.94,263389
2021-09-29 15:30:00,48.19,48.25,48.09,48.09,100060
2021-09-29 15:00:00,48.245,48.26,48.16,48.19,63714
2021-09-29 14:30:00,48.21,48.2625,48.13,48.25,83969
2021-09-29 14:00:00,48.16,48.24,48.035,48.21,86313
2021-09-29 13:30:00,48.04,48.26,48.0,48.16,86412
2021-09-29 13:00:00,47.98,48.05,47.89,48.02,71041
2021-09-29 12:30:00,48.11,48.14,47.97,47.97,70928
2021-09-29 12:00:00,48.15,48.18,48.04,48.14,79853
2021-09-29 11:30:00,48.19,48.3,48.12,48.16,105553
2021-09-29 11:00:00,48.05,48.256,48.05,48.21,75431
2021-09-29 10:30:00,47.62,48.12,47.6,48.09,109448
2021-09-29 10:00:00,47.38,48.01,47.38,47.62,150937
2021-09-29 09:30:00,47.75,47.85,47.72,47.85,3833
2021-09-29 09:00:00,47.73,47.73,47.73,47.73,100
2021-09-29 08:30:00,47.24,47.34,47.24,47.34,200
2021-09-28 16:30:00,47.19,47.19,47.19,47.19,41912
2021-09-28 16:00:00,47.34,47.42,47.17,47.18,452208
2021-09-28 15:30:00,47.49,47.6,47.34,47.36,113404
2021-09-28 15:00:00,47.3,47.54,47.23,47.5059,101928
2021-09-28 14:30:00,47.28,47.34,47.14,47.31,104172
2021-09-28 14:00:00,47.37,47.395,47.26,47.29,93690
2021-09-28 13:30:00,47.26,47.44,47.15,47.38,143450
2021-09-28 13:00:00,47.11,47.31,47.08,47.26,125627
2021-09-28 12:30:00,47.06,47.23,46.875,47.12,128468
2021-09-28 12:00:00,47.28,47.31,47.04,47.07,111975
2021-09-28 11:30:00,47.71,47.76,47.2,47.3,155618
2021-09-28 11:00:00,47.5174,47.81,47.43,47.69,119498
2021-09-28 10:30:00,47.68,47.7,47.37,47.5475,183741
2021-09-28 10:00:00,47.84,48.43,47.62,47.7,184019
2021-09-28 09:30:00,47.86,47.86,47.86,47.86,200
2021-09-27 16:30:00,48.34,48.34,48.34,48.34,41140
2021-09-27 16:00:00,48.36,48.48,48.3,48.34,926834
2021-09-27 15:30:00,48.28,48.375,48.16,48.35,206383
2021-09-27 15:00:00,48.19,48.31,48.13,48.27,180557
2021-09-27 14:30:00,48.14,48.28,48.14,48.19,142159
2021-09-27 14:00:00,48.02,48.21,47.99,48.15,128498
2021-09-27 13:30:00,48.02,48.085,47.95,48.02,139930
2021-09-27 13:00:00,48.08,48.16,48.01,48.02,162121
2021-09-27 12:30:00,47.79,48.08,47.78,48.08,180217
2021-09-27 12:00:00,47.83,47.9,47.74,47.8,93945
2021-09-27 11:30:00,47.66,47.84,47.62,47.83,117202
2021-09-27 11:00:00,47.59,47.7,47.525,47.65,122641
2021-09-27 10:30:00,47.6,47.9447,47.53,47.6,151967
2021-09-27 10:00:00,47.25,47.79,46.87,47.62,329854
