time,open,high,low,close,volume
2021-10-05 16:30:00,35.91,35.91,35.91,35.91,20152
2021-10-05 16:00:00,35.91,36.0,35.9,35.9,140464
2021-10-05 15:30:00,35.96,35.97,35.883,35.91,29745
2021-10-05 15:00:00,35.98,36.02,35.96,35.97,32258
2021-10-05 14:30:00,35.955,35.98,35.9003,35.98,25401
2021-10-05 14:00:00,35.89,35.99,35.89,35.945,23781
2021-10-05 13:30:00,35.8,35.88,35.7638,35.88,21183
2021-10-05 13:00:00,35.91,35.91,35.795,35.8,23781
2021-10-05 12:30:00,35.93,36.02,35.91,35.91,19558
2021-10-05 12:00:00,35.99,36.0,35.89,35.93,22758
2021-10-05 11:30:00,35.885,36.02,35.83,35.99,40143
2021-10-05 11:00:00,35.61,35.89,35.56,35.885,48897
2021-10-05 10:30:00,35.38,35.63,35.38,35.595,112489
2021-10-05 10:00:00,35.53,35.67,35.34,35.37,48019
2021-10-04 16:30:00,35.46,35.46,35.46,35.46,14424
2021-10-04 16:00:00,35.31,35.535,35.3,35.46,289813
2021-10-04 15:30:00,35.26,35.335,35.21,35.305,80273
2021-10-04 15:00:00,35.305,35.35,35.23,35.245,71975
2021-10-04 14:30:00,35.22,35.355,35.22,35.32,50724
2021-10-04 14:00:00,35.21,35.3,35.21,35.22,42199
2021-10-04 13:30:00,35.18,35.23,35.13,35.2,40654
2021-10-04 13:00:00,35.27,35.27,35.09,35.18,36337
2021-10-04 12:30:00,35.18,35.335,35.17,35.27,37360
2021-10-04 12:00:00,35.14,35.2,35.05,35.16,56679
2021-10-04 11:30:00,35.12,35.3,35.1,35.14,50238
2021-10-04 11:00:00,35.35,35.4,35.1,35.12,67407
2021-10-04 10:30:00,35.52,35.61,35.335,35.38,61138
2021-10-04 10:00:00,35.59,35.81,35.43,35.54,88199
2021-10-01 16:30:00,35.63,35.63,35.63,35.63,29450
2021-10-01 16:00:00,35.73,35.77,35.57,35.64,214835
2021-10-01 15:30:00,35.8,35.87,35.74,35.74,55985
2021-10-01 15:00:00,35.75,35.81,35.72,35.795,50020
2021-10-01 14:30:00,35.64,35.745,35.64,35.745,46723
2021-10-01 14:00:00,35.54,35.69,35.54,35.62,42853
2021-10-01 13:30:00,35.5,35.63,35.46,35.55,37349
2021-10-01 13:00:00,35.45,35.53,35.42,35.5,36534
2021-10-01 12:30:00,35.46,35.5,35.4,35.44,42992
2021-10-01 12:00:00,35.46,35.56,35.42,35.45,62938
2021-10-01 11:30:00,35.17,35.46,35.17,35.44,67747
2021-10-01 11:00:00,35.02,35.23,34.99,35.2,73845
2021-10-01 10:30:00,35.04,35.095,34.78,35.01,99684
2021-10-01 10:00:00,35.52,35.61,35.03,35.06,118361
2021-10-01 07:30:00,35.29,35.29,35.29,35.29,400
2021-09-30 16:30:00,35.33,35.33,35.33,35.33,35026
2021-09-30 16:00:00,35.585,35.68,35.31,35.325,261932
2021-09-30 15:30:00,35.69,35.7461,35.561,35.585,72256
2021-09-30 15:00:00,35.71,35.79,35.68,35.68,47989
2021-09-30 14:30:00,35.61,35.75,35.61,35.7,89820
2021-09-30 14:00:00,35.53,35.62,35.515,35.61,29854
2021-09-30 13:30:00,35.52,35.64,35.51,35.54,45175
2021-09-30 13:00:00,35.51,35.59,35.4891,35.5196,45369
2021-09-30 12:30:00,35.69,35.69,35.4775,35.52,38914
2021-09-30 12:00:00,35.805,35.82,35.67,35.7,42861
2021-09-30 11:30:00,36.02,36.02,35.765,35.81,41729
2021-09-30 11:00:00,36.19,36.19,35.96,36.02,43366
2021-09-30 10:30:00,36.2,36.21,36.0141,36.2,42325
2021-09-30 10:00:00,36.16,36.31,36.09,36.18,57356
2021-09-29 16:30:00,36.05,36.05,36.05,36.05,15702
2021-09-29 16:00:00,36.085,36.1,35.95,36.05,153724
2021-09-29 15:30:00,36.09,36.11,36.01,36.085,44022
2021-09-29 15:00:00,36.12,36.2,36.07,36.09,73106
2021-09-29 14:30:00,36.05,36.18,36.04,36.12,34737
2021-09-29 14:00:00,36.025,36.0668,35.99,36.04,32282
2021-09-29 13:30:00,36.12,36.12,36.04,36.055,19186
2021-09-29 13:00:00,36.1,36.17,36.075,36.1269,29515
2021-09-29 12:30:00,36.165,36.165,36.06,36.095,26043
2021-09-29 12:00:00,36.17,36.22,36.13,36.1825,24015
2021-09-29 11:30:00,36.08,36.2,36.03,36.17,21493
2021-09-29 11:00:00,36.06,36.09,35.93,36.06,42656
2021-09-29 10:30:00,35.93,36.09,35.93,36.05,33740
2021-09-29 10:00:00,35.78,36.0,35.74,35.93,53214
2021-09-29 07:30:00,35.68,35.68,35.68,35.68,200
2021-09-28 16:30:00,35.68,35.68,35.68,35.68,17831
2021-09-28 16:00:00,35.71,35.855,35.63,35.69,221204
2021-09-28 15:30:00,35.74,35.83,35.72,35.72,67443
2021-09-28 15:00:00,35.74,35.795,35.675,35.76,57521
2021-09-28 14:30:00,35.58,35.76,35.57,35.75,52934
2021-09-28 14:00:00,35.6,35.67,35.57,35.59,44431
2021-09-28 13:30:00,35.52,35.64,35.4403,35.61,41516
2021-09-28 13:00:00,35.48,35.54,35.4,35.51,48223
2021-09-28 12:30:00,35.56,35.569,35.45,35.5,53075
2021-09-28 12:00:00,35.56,35.62,35.47,35.59,77530
2021-09-28 11:30:00,35.74,35.75,35.5475,35.55,76424
2021-09-28 11:00:00,35.78,35.83,35.59,35.69,166309
2021-09-28 10:30:00,35.92,35.925,35.53,35.79,71552
2021-09-28 10:00:00,36.23,36.465,35.812,35.905,73556
2021-09-27 16:30:00,36.58,36.58,36.58,36.58,45083
2021-09-27 16:00:00,36.64,36.66,36.51,36.58,198518
2021-09-27 15:30:00,36.71,36.77,36.63,36.63,56709
2021-09-27 15:00:00,36.81,36.815,36.71,36.71,38436
2021-09-27 14:30:00,36.765,36.8101,36.7,36.805,45326
2021-09-27 14:00:00,36.725,36.78,36.66,36.76,25632
2021-09-27 13:30:00,36.68,36.745,36.66,36.74,46031
2021-09-27 13:00:00,36.77,36.83,36.64,36.685,33290
2021-09-27 12:30:00,36.78,36.855,36.77,36.77,28934
2021-09-27 12:00:00,36.92,36.93,36.76,36.79,32160
2021-09-27 11:30:00,37.15,37.22,36.9,36.93,58127
2021-09-27 11:00:00,37.07,37.25,37.03,37.13,58946
2021-09-27 10:30:00,37.09,37.18,37.01,37.06,32013
2021-09-27 10:00:00,37.37,37.37,36.99,37.11,56280
2021-09-24 16:30:00,37.49,37.49,37.49,37.49,12924
2021-09-24 16:00:00,37.46,37.5,37.425,37.48,142219
2021-09-24 15:30:00,37.46,37.5,37.425,37.45,26249
2021-09-24 15:00:00,37.36,37.46,37.36,37.46,36714
2021-09-24 14:30:00,37.46,37.47,37.325,37.36,43178
2021-09-24 14:00:00,37.38,37.47,37.365,37.46,19232
2021-09-24 13:30:00,37.38,37.39,37.345,37.38,18148
2021-09-24 13:00:00,37.31,37.38,37.28,37.38,18807
2021-09-24 12:30:00,37.31,37.39,37.25,37.31,44337
2021-09-24 12:00:00,37.28,37.405,37.24,37.32,34047
2021-09-24 11:30:00,37.3,37.438,37.25,37.29,40147
2021-09-24 11:00:00,37.38,37.4091,37.22,37.31,37745
2021-09-24 10:30:00,37.43,37.5,37.39,37.415,27351
2021-09-24 10:00:00,37.48,37.53,37.32,37.37,21876
2021-09-23 17:00:00,37.76,37.76,37.76,37.76,365
2021-09-23 16:30:00,37.53,37.53,37.53,37.53,18219
2021-09-23 16:00:00,37.62,37.64,37.5,37.54,169612
2021-09-23 15:30:00,37.64,37.685,37.59,37.629,42557
2021-09-23 15:00:00,37.61,37.65,37.59,37.635,38311
2021-09-23 14:30:00,37.68,37.79,37.6,37.6088,48418
2021-09-23 14:00:00,37.64,37.72,37.64,37.68,38398
2021-09-23 13:30:00,37.6,37.7,37.6,37.635,33445
2021-09-23 13:00:00,37.5757,37.625,37.56,37.61,32110
2021-09-23 12:30:00,37.505,37.59,37.49,37.575,40101
2021-09-23 12:00:00,37.53,37.56,37.44,37.505,39694
2021-09-23 11:30:00,37.615,37.63,37.475,37.51,38452
2021-09-23 11:00:00,37.58,37.66,37.5,37.615,36570
2021-09-23 10:30:00,37.76,37.79,37.57,37.6,39567
2021-09-23 10:00:00,37.76,37.92,37.56,37.81,35206
2021-09-22 16:30:00,37.54,37.54,37.3902,37.3902,29629
2021-09-22 16:00:00,37.57,37.64,37.47,37.54,297909
2021-09-22 15:30:00,37.52,37.625,37.51,37.58,92560
2021-09-22 15:00:00,37.55,37.5949,37.45,37.53,70945
2021-09-22 14:30:00,37.59,37.73,37.5,37.55,68831
2021-09-22 14:00:00,37.57,37.64,37.57,37.6,32451
2021-09-22 13:30:00,37.57,37.58,37.506,37.58,22246
2021-09-22 13:00:00,37.63,37.65,37.55,37.57,22504
2021-09-22 12:30:00,37.62,37.67,37.585,37.63,23971
2021-09-22 12:00:00,37.54,37.66,37.53,37.61,45283
2021-09-22 11:30:00,37.56,37.595,37.49,37.54,36708
2021-09-22 11:00:00,37.4,37.58,37.38,37.54,41012
2021-09-22 10:30:00,37.39,37.43,37.3,37.395,39529
2021-09-22 10:00:00,37.53,37.55,37.225,37.36,38351
2021-09-21 16:30:00,37.39,37.39,37.39,37.39,27646
2021-09-21 16:00:00,37.545,37.61,37.39,37.39,298026
2021-09-21 15:30:00,37.57,37.6,37.53,37.54,69327
2021-09-21 15:00:00,37.48,37.61,37.43,37.56,59009
2021-09-21 14:30:00,37.5,37.569,37.46,37.48,37208
2021-09-21 14:00:00,37.52,37.58,37.46,37.51,47183
2021-09-21 13:30:00,37.51,37.61,37.48,37.52,48671
2021-09-21 13:00:00,37.62,37.62,37.49,37.5,49120
2021-09-21 12:30:00,37.67,37.74,37.62,37.63,40938
2021-09-21 12:00:00,37.57,37.705,37.57,37.67,44929
2021-09-21 11:30:00,37.38,37.61,37.37,37.55,41246
2021-09-21 11:00:00,37.55,37.55,37.3,37.38,59560
2021-09-21 10:30:00,37.45,37.59,37.28,37.56,64062
2021-09-21 10:00:00,37.24,37.55,37.19,37.445,42931
2021-09-20 16:30:00,37.08,37.08,37.08,37.08,30205
2021-09-20 16:00:00,36.93,37.155,36.905,37.07,325062
2021-09-20 15:30:00,36.87,36.93,36.75,36.93,61929
2021-09-20 15:00:00,36.929,36.95,36.825,36.875,72213
2021-09-20 14:30:00,37.05,37.05,36.91,36.915,62035
2021-09-20 14:00:00,36.92,37.06,36.91,37.04,49920
2021-09-20 13:30:00,36.87,36.94,36.815,36.925,52661
2021-09-20 13:00:00,36.94,37.0,36.88,36.89,42391
2021-09-20 12:30:00,36.885,36.9487,36.84,36.9487,39896
2021-09-20 12:00:00,37.095,37.095,36.87,36.885,53534
2021-09-20 11:30:00,37.05,37.18,37.01,37.09,65931
2021-09-20 11:00:00,37.1,37.19,37.02,37.06,49795
2021-09-20 10:30:00,36.95,37.075,36.83,37.075,62459
2021-09-20 10:00:00,36.77,37.03,36.5,36.97,80600
2021-09-17 16:30:00,37.14,37.14,37.14,37.14,274137
2021-09-17 16:00:00,37.36,37.37,36.71,37.13,512043
2021-09-17 15:30:00,37.4,37.41,37.32,37.36,95538
2021-09-17 15:00:00,37.5153,37.53,37.385,37.4,79035
2021-09-17 14:30:00,37.42,37.58,37.41,37.52,68985
2021-09-17 14:00:00,37.475,37.51,37.35,37.415,43784
2021-09-17 13:30:00,37.69,37.69,37.45,37.48,43363
2021-09-17 13:00:00,37.6,37.71,37.6,37.69,52008
2021-09-17 12:30:00,37.53,37.6125,37.5,37.59,53907
2021-09-17 12:00:00,37.51,37.525,37.38,37.525,42326
2021-09-17 11:30:00,37.43,37.5201,37.34,37.5,45074
2021-09-17 11:00:00,37.57,37.61,37.381,37.45,45118
2021-09-17 10:30:00,37.6,37.725,37.55,37.58,43789
2021-09-17 10:00:00,37.57,37.89,37.47,37.63,294794
2021-09-17 06:30:00,37.66,37.66,37.66,37.66,400
2021-09-16 16:30:00,37.63,37.65,37.63,37.65,24165
2021-09-16 16:00:00,37.7,37.785,37.63,37.64,298046
2021-09-16 15:30:00,37.73,37.83,37.701,37.7082,97232
2021-09-16 15:00:00,37.59,37.73,37.511,37.72,76481
2021-09-16 14:30:00,37.55,37.64,37.53,37.585,66598
2021-09-16 14:00:00,37.53,37.58,37.445,37.545,59687
2021-09-16 13:30:00,37.48,37.55,37.45,37.525,50006
2021-09-16 13:00:00,37.4703,37.575,37.47,37.49,62357
2021-09-16 12:30:00,37.46,37.505,37.39,37.475,45966
2021-09-16 12:00:00,37.47,37.48,37.395,37.46,62438
2021-09-16 11:30:00,37.3701,37.485,37.335,37.47,58366
2021-09-16 11:00:00,37.51,37.535,37.315,37.38,78798
2021-09-16 10:30:00,37.65,37.67,37.47,37.52,82146
2021-09-16 10:00:00,37.27,37.79,37.22,37.65,122833
2021-09-15 17:30:00,37.25,37.25,37.25,37.25,100
2021-09-15 17:00:00,37.4,37.4,37.36,37.36,5000
2021-09-15 16:30:00,37.2,37.2,37.2,37.2,95457
2021-09-15 16:00:00,37.18,37.29,37.15,37.21,295924
2021-09-15 15:30:00,37.22,37.26,37.14,37.18,106260
2021-09-15 15:00:00,37.295,37.35,37.2,37.21,82737
2021-09-15 14:30:00,37.41,37.415,37.27,37.295,63594
2021-09-15 14:00:00,37.42,37.47,37.4,37.41,61235
2021-09-15 13:30:00,37.225,37.455,37.225,37.415,71534
2021-09-15 13:00:00,37.47,37.47,37.2,37.23,109213
2021-09-15 12:30:00,37.37,37.5099,37.35,37.46,65085
2021-09-15 12:00:00,37.49,37.49,37.37,37.37,62059
2021-09-15 11:30:00,37.49,37.55,37.441,37.485,80926
2021-09-15 11:00:00,37.445,37.54,37.39,37.48,93812
