time,open,high,low,close,volume
2021-10-05 18:30:00,75.9,75.9,75.9,75.9,211
2021-10-05 18:00:00,75.25,75.25,75.25,75.25,100
2021-10-05 17:00:00,75.9,75.9,75.9,75.9,32181
2021-10-05 16:30:00,75.9,76.175,75.75,75.75,303797
2021-10-05 16:00:00,76.15,76.2,75.83,75.91,1037880
2021-10-05 15:30:00,76.27,76.37,76.09,76.16,299778
2021-10-05 15:00:00,76.28,76.35,76.16,76.26,187823
2021-10-05 14:30:00,76.31,76.355,76.135,76.3,264468
2021-10-05 14:00:00,76.29,76.37,76.2,76.31,178161
2021-10-05 13:30:00,76.1,76.3,76.02,76.27,158687
2021-10-05 13:00:00,75.91,76.11,75.76,76.1,197927
2021-10-05 12:30:00,76.38,76.46,75.78,75.9,471829
2021-10-05 12:00:00,76.31,76.41,76.155,76.39,300720
2021-10-05 11:30:00,76.32,76.47,76.15,76.31,1134558
2021-10-05 11:00:00,76.32,76.56,76.125,76.29,783098
2021-10-05 10:30:00,75.08,76.33,75.04,76.29,658464
2021-10-05 10:00:00,73.66,75.13,73.66,75.07,700505
2021-10-05 09:30:00,73.88,75.09,73.88,74.88,2564
2021-10-05 08:30:00,73.23,73.23,73.23,73.23,596
2021-10-04 17:30:00,73.38,73.38,73.07,73.2,204518
2021-10-04 17:00:00,73.38,73.38,73.38,73.38,625
2021-10-04 16:30:00,73.23,73.23,73.23,73.23,113017
2021-10-04 16:00:00,73.45,73.55,72.92,73.24,1521317
2021-10-04 15:30:00,73.48,73.65,73.36,73.44,202444
2021-10-04 15:00:00,73.465,73.51,73.31,73.46,145359
2021-10-04 14:30:00,73.52,73.64,73.38,73.44,168384
2021-10-04 14:00:00,73.43,73.61,73.35,73.52,189487
2021-10-04 13:30:00,73.5,73.65,73.32,73.43,129574
2021-10-04 13:00:00,73.54,73.59,73.29,73.5041,133980
2021-10-04 12:30:00,73.79,73.82,73.47,73.5301,144116
