time,open,high,low,close,volume
2021-10-05 16:30:00,207.62,207.62,207.62,207.62,46423
2021-10-05 16:00:00,207.32,207.83,206.95,207.62,192297
2021-10-05 15:30:00,208.08,208.16,207.44,207.44,22646
2021-10-05 15:00:00,208.31,208.41,208.09,208.15,7701
2021-10-05 14:30:00,208.08,208.27,207.88,208.2,11848
2021-10-05 14:00:00,208.13,208.355,207.92,208.19,11805
2021-10-05 13:30:00,208.17,208.28,207.67,208.0,13975
2021-10-05 13:00:00,209.02,209.17,208.25,208.25,11764
2021-10-05 12:30:00,209.43,209.64,209.1,209.11,5525
2021-10-05 12:00:00,209.85,209.87,209.12,209.35,13265
2021-10-05 11:30:00,210.11,210.22,209.82,209.82,14850
2021-10-05 11:00:00,209.37,210.2,208.65,209.98,15811
2021-10-05 10:30:00,208.2297,209.42,208.2297,209.29,17711
2021-10-05 10:00:00,206.97,208.88,206.22,208.33,43535
2021-10-04 16:30:00,206.02,206.02,206.02,206.02,82452
2021-10-04 16:00:00,206.02,206.87,205.78,206.02,128009
2021-10-04 15:30:00,205.92,206.56,205.81,205.995,31701
2021-10-04 15:00:00,205.73,206.01,205.38,205.91,21500
2021-10-04 14:30:00,205.18,206.09,205.18,205.62,19617
2021-10-04 14:00:00,205.67,205.86,205.2,205.2,15399
2021-10-04 13:30:00,205.28,205.85,205.2,205.44,11134
2021-10-04 13:00:00,205.6,205.83,204.95,205.5,13830
2021-10-04 12:30:00,205.36,205.81,204.985,205.52,14062
2021-10-04 12:00:00,205.255,205.64,203.92,205.5,30598
2021-10-04 11:30:00,204.99,205.735,204.67,205.24,16592
2021-10-04 11:00:00,206.75,207.08,204.85,205.17,24980
2021-10-04 10:30:00,207.78,207.95,206.955,207.19,15251
2021-10-04 10:00:00,206.33,208.17,206.33,207.78,25468
2021-10-01 16:30:00,207.6,207.6,207.6,207.6,9294
2021-10-01 16:00:00,208.34,208.66,207.41,207.67,126587
2021-10-01 15:30:00,208.07,208.97,207.945,208.39,28391
2021-10-01 15:00:00,207.95,208.24,207.91,208.23,15064
2021-10-01 14:30:00,208.2,208.34,208.0,208.01,17125
2021-10-01 14:00:00,207.36,208.45,207.36,208.19,30896
2021-10-01 13:30:00,207.1,207.48,206.92,207.28,10031
2021-10-01 13:00:00,206.815,207.49,206.815,207.23,9943
2021-10-01 12:30:00,207.59,207.59,206.82,206.82,26464
2021-10-01 12:00:00,206.44,207.31,206.44,207.0,20311
2021-10-01 11:30:00,205.96,206.83,205.055,206.43,17574
2021-10-01 11:00:00,204.1,206.13,204.085,206.13,21005
2021-10-01 10:30:00,203.0,204.62,202.81,204.11,31808
2021-10-01 10:00:00,205.16,205.65,202.03,203.135,38297
2021-09-30 16:30:00,204.28,204.28,204.28,204.28,14104
2021-09-30 16:00:00,206.81,207.16,204.25,204.34,126673
2021-09-30 15:30:00,207.15,207.52,206.6441,206.87,15498
2021-09-30 15:00:00,206.905,207.485,206.905,207.24,15395
