time,open,high,low,close,volume
2021-10-05 17:00:00,645.28,645.28,645.28,645.28,2985
2021-10-05 16:30:00,645.28,645.28,645.28,645.28,43918
2021-10-05 16:00:00,647.92,649.28,645.09,645.1,26623
2021-10-05 15:30:00,648.85,649.6,647.83,647.92,4651
2021-10-05 15:00:00,649.63,649.63,648.35,648.35,4809
2021-10-05 14:30:00,648.69,649.21,647.895,648.76,4327
2021-10-05 14:00:00,646.8,648.26,646.405,648.21,2239
2021-10-05 13:30:00,646.88,647.85,645.92,646.58,2724
2021-10-05 13:00:00,644.95,647.295,644.95,647.295,2618
2021-10-05 12:30:00,648.49,648.49,644.3,644.8,1821
2021-10-05 12:00:00,647.11,647.78,644.845,647.1,6685
2021-10-05 11:30:00,650.1,651.07,646.96,647.495,8222
2021-10-05 11:00:00,651.0,651.1275,649.13,649.69,9967
2021-10-05 10:30:00,648.01,651.45,648.01,651.055,7394
2021-10-05 10:00:00,646.46,646.76,642.105,644.21,3702
2021-10-04 17:00:00,644.01,644.01,644.01,644.01,3637
2021-10-04 16:30:00,644.01,644.01,644.01,644.01,2134
2021-10-04 16:00:00,645.3106,646.29,642.645,643.61,39571
2021-10-04 15:30:00,644.865,645.85,643.63,644.485,10233
2021-10-04 15:00:00,642.86,645.19,642.37,644.73,12740
2021-10-04 14:30:00,642.75,644.18,641.68,642.81,6589
2021-10-04 14:00:00,642.0,643.47,641.68,641.9498,4748
2021-10-04 13:30:00,642.0,642.86,641.11,641.78,8681
2021-10-04 13:00:00,641.06,644.53,641.06,642.66,12447
2021-10-04 12:30:00,639.91,641.12,639.37,640.94,9917
2021-10-04 12:00:00,637.54,638.89,636.57,638.65,5311
2021-10-04 11:30:00,638.95,641.32,637.91,638.72,11282
2021-10-04 11:00:00,643.56,643.56,637.2,638.83,20420
2021-10-04 10:30:00,650.555,651.94,644.52,644.52,12537
2021-10-04 10:00:00,653.61,653.61,649.33,651.0,17883
2021-10-01 18:30:00,652.93,652.93,652.93,652.93,600
2021-10-01 17:00:00,652.93,652.93,652.93,652.93,526
2021-10-01 16:30:00,652.93,652.93,652.82,652.93,32994
