time,open,high,low,close,volume
2021-10-06 17:00:00,81.86,81.86,81.86,81.86,5548
2021-10-06 16:30:00,81.86,81.86,81.86,81.86,48057
2021-10-06 16:00:00,81.52,81.91,81.37,81.86,152667
2021-10-06 15:30:00,81.36,81.54,81.29,81.54,37823
2021-10-06 15:00:00,81.75,81.78,81.37,81.37,40106
2021-10-06 14:30:00,81.58,81.84,81.41,81.78,71429
2021-10-06 14:00:00,81.38,81.68,81.38,81.56,42426
2021-10-06 13:30:00,80.99,81.35,80.77,81.35,53101
2021-10-06 13:00:00,80.94,81.16,80.845,80.93,23777
2021-10-06 12:30:00,81.36,81.37,80.865,80.895,34894
2021-10-06 12:00:00,80.81,81.37,80.76,81.37,30634
2021-10-06 11:30:00,81.36,81.53,80.79,80.85,42422
2021-10-06 11:00:00,81.27,81.72,81.2,81.36,55790
2021-10-06 10:30:00,80.53,81.15,80.19,81.08,46258
2021-10-06 10:00:00,81.675,81.675,80.51,80.555,82744
2021-10-06 09:30:00,81.3,81.3,81.2,81.2,1094
2021-10-06 09:00:00,82.333,82.333,82.333,82.333,121
2021-10-05 17:00:00,82.31,82.31,82.31,82.31,3667
2021-10-05 16:30:00,82.31,82.31,82.31,82.31,19916
2021-10-05 16:00:00,82.46,82.58,82.26,82.31,179790
2021-10-05 15:30:00,82.73,82.735,82.45,82.46,45759
2021-10-05 15:00:00,82.755,82.865,82.67,82.74,38324
2021-10-05 14:30:00,82.82,82.91,82.64,82.76,33399
2021-10-05 14:00:00,82.85,82.875,82.72,82.82,28541
2021-10-05 13:30:00,82.86,82.98,82.7729,82.85,101949
2021-10-05 13:00:00,82.8,82.9,82.68,82.88,22869
2021-10-05 12:30:00,82.84,83.0,82.76,82.81,31550
2021-10-05 12:00:00,83.04,83.08,82.72,82.84,40275
2021-10-05 11:30:00,83.21,83.3,82.93,83.04,59696
2021-10-05 11:00:00,82.61,83.24,82.56,83.19,63880
2021-10-05 10:30:00,81.9,82.67,81.9,82.58,79764
2021-10-05 10:00:00,81.86,82.19,81.47,81.9,67305
2021-10-05 08:30:00,81.37,81.37,81.37,81.37,108
2021-10-04 17:00:00,81.37,81.37,81.37,81.37,2035
2021-10-04 16:30:00,81.37,81.37,81.37,81.37,37576
2021-10-04 16:00:00,81.17,81.39,81.03,81.36,208901
2021-10-04 15:30:00,81.275,81.51,81.01,81.19,74572
2021-10-04 15:00:00,81.31,81.42,81.165,81.27,49900
2021-10-04 14:30:00,81.42,81.57,81.23,81.32,54651
2021-10-04 14:00:00,81.56,81.64,81.41,81.455,37181
2021-10-04 13:30:00,81.39,81.69,81.28,81.48,36008
2021-10-04 13:00:00,81.59,81.6,81.24,81.4,36912
2021-10-04 12:30:00,81.675,81.72,81.5,81.59,43189
2021-10-04 12:00:00,81.53,81.82,81.21,81.73,45502
2021-10-04 11:30:00,81.63,81.75,81.38,81.51,39711
2021-10-04 11:00:00,82.31,82.35,81.53,81.675,74348
2021-10-04 10:30:00,83.18,83.35,82.22,82.37,48035
2021-10-04 10:00:00,83.81,83.81,82.87,83.29,107418
2021-10-01 17:00:00,84.14,84.14,84.14,84.14,4561
2021-10-01 16:30:00,84.14,84.14,84.14,84.14,30734
2021-10-01 16:00:00,84.25,84.51,83.98,84.09,332798
2021-10-01 15:30:00,84.08,84.5,84.08,84.24,77060
2021-10-01 15:00:00,83.945,84.13,83.83,84.07,62687
2021-10-01 14:30:00,83.805,84.05,83.801,83.93,48706
2021-10-01 14:00:00,83.73,84.03,83.71,83.8,46485
2021-10-01 13:30:00,83.44,83.835,83.34,83.725,51581
2021-10-01 13:00:00,83.53,83.58,83.35,83.44,57129
2021-10-01 12:30:00,83.69,83.85,83.51,83.54,59261
2021-10-01 12:00:00,83.281,83.765,83.281,83.66,96722
2021-10-01 11:30:00,82.85,83.4,82.58,83.25,63846
2021-10-01 11:00:00,82.26,82.93,82.2019,82.85,76275
2021-10-01 10:30:00,82.61,82.61,82.03,82.26,94541
2021-10-01 10:00:00,82.66,82.8,81.94,82.565,127098
2021-10-01 09:30:00,82.63,82.63,82.63,82.63,126
2021-10-01 08:30:00,82.07,82.07,82.07,82.07,100
2021-09-30 20:00:00,82.0,82.0,82.0,82.0,2500
2021-09-30 18:00:00,82.0,82.0,82.0,82.0,122
2021-09-30 17:00:00,82.25,82.25,82.25,82.25,1289
2021-09-30 16:30:00,82.25,82.25,82.25,82.25,36709
2021-09-30 16:00:00,83.1,83.21,82.23,82.28,266629
2021-09-30 15:30:00,83.22,83.465,83.09,83.09,52566
2021-09-30 15:00:00,83.19,83.45,83.18,83.28,48026
2021-09-30 14:30:00,83.16,83.4,83.07,83.2,47780
2021-09-30 14:00:00,82.97,83.14,82.81,83.12,30178
2021-09-30 13:30:00,83.3,83.4073,82.98,82.98,83717
2021-09-30 13:00:00,82.98,83.3,82.91,83.3,71193
2021-09-30 12:30:00,83.34,83.36,82.83,83.01,47126
2021-09-30 12:00:00,83.83,83.83,83.24,83.3412,48073
2021-09-30 11:30:00,83.655,83.98,83.6,83.82,45240
2021-09-30 11:00:00,83.46,83.9,83.32,83.71,76758
2021-09-30 10:30:00,84.0427,84.14,83.46,83.53,93201
2021-09-30 10:00:00,84.8,85.1,83.86,84.07,93164
2021-09-30 09:30:00,84.4,84.4,84.4,84.4,310
2021-09-29 17:00:00,84.31,84.31,84.31,84.31,2300
2021-09-29 16:30:00,84.31,84.31,84.26,84.31,11272
2021-09-29 16:00:00,84.36,84.415,84.18,84.31,294278
2021-09-29 15:30:00,84.79,84.86,84.29,84.36,125637
2021-09-29 15:00:00,85.01,85.06,84.74,84.78,81475
2021-09-29 14:30:00,84.71,85.12,84.68,84.99,61580
2021-09-29 14:00:00,84.7,84.73,84.47,84.71,99878
2021-09-29 13:30:00,84.59,84.83,84.54,84.7,50838
2021-09-29 13:00:00,84.365,84.75,84.35,84.62,43059
2021-09-29 12:30:00,84.24,84.42,84.08,84.34,45194
2021-09-29 12:00:00,84.39,84.42,84.1,84.27,53753
2021-09-29 11:30:00,84.77,84.77,84.37,84.39,55036
2021-09-29 11:00:00,84.64,84.8,84.23,84.68,64000
2021-09-29 10:30:00,85.07,85.2,84.6,84.62,67711
2021-09-29 10:00:00,84.62,85.42,84.62,84.99,74675
2021-09-28 19:00:00,84.04,84.04,84.04,84.04,300
2021-09-28 17:30:00,84.3,84.3,84.3,84.3,200
2021-09-28 16:30:00,84.36,84.36,84.36,84.36,22532
2021-09-28 16:00:00,84.92,85.04,84.305,84.36,256802
2021-09-28 15:30:00,85.43,85.61,84.93,84.93,110472
2021-09-28 15:00:00,85.09,85.5,84.9,85.445,70270
2021-09-28 14:30:00,84.88,85.165,84.691,85.15,54776
2021-09-28 14:00:00,85.155,85.25,84.85,84.85,47347
2021-09-28 13:30:00,84.75,85.21,84.69,85.15,60987
2021-09-28 13:00:00,84.71,84.82,84.545,84.76,49485
2021-09-28 12:30:00,84.525,84.8429,84.325,84.76,52962
2021-09-28 12:00:00,83.86,84.58,83.68,84.52,91051
2021-09-28 11:30:00,84.56,84.56,83.74,83.895,105617
2021-09-28 11:00:00,84.27,84.66,84.01,84.45,83039
2021-09-28 10:30:00,85.29,85.29,84.13,84.3,148759
2021-09-28 10:00:00,85.68,86.15,85.06,85.31,121135
2021-09-28 09:30:00,85.5001,85.5001,85.5001,85.5001,100
2021-09-28 07:00:00,85.58,85.58,85.58,85.58,116
2021-09-27 17:00:00,86.63,86.63,86.63,86.63,171
2021-09-27 16:30:00,86.63,86.63,86.63,86.63,54309
2021-09-27 16:00:00,86.47,86.7,86.34,86.63,380723
2021-09-27 15:30:00,86.7,86.73,86.38,86.47,131315
2021-09-27 15:00:00,86.75,86.8,86.67,86.7,75046
2021-09-27 14:30:00,86.48,86.83,86.475,86.75,69045
2021-09-27 14:00:00,86.44,86.48,86.25,86.47,75799
2021-09-27 13:30:00,86.56,86.675,86.31,86.42,186372
2021-09-27 13:00:00,86.69,86.83,86.525,86.57,94306
2021-09-27 12:30:00,86.64,86.86,86.58,86.72,41169
2021-09-27 12:00:00,86.83,86.945,86.52,86.66,65151
2021-09-27 11:30:00,87.01,87.18,86.76,86.82,79221
2021-09-27 11:00:00,87.24,87.26,86.93,87.0,83202
