time,open,high,low,close,volume
2021-10-08 16:30:00,205.94,205.94,205.94,205.94,7337
2021-10-08 16:00:00,206.82,206.86,205.75,205.94,87668
2021-10-08 15:30:00,207.46,207.475,206.72,206.835,25020
2021-10-08 15:00:00,207.96,207.99,207.29,207.42,15354
2021-10-08 14:30:00,206.74,207.92,206.72,207.92,41377
2021-10-08 14:00:00,207.03,207.04,206.64,206.74,33346
2021-10-08 13:30:00,208.13,208.13,207.04,207.185,13716
2021-10-08 13:00:00,208.24,208.62,208.18,208.33,8475
2021-10-08 12:30:00,207.98,208.455,207.98,208.29,11467
2021-10-08 12:00:00,208.03,208.03,207.75,207.93,11025
2021-10-08 11:30:00,207.72,208.15,207.53,207.93,20214
2021-10-08 11:00:00,209.3,209.3,207.82,207.82,10541
2021-10-08 10:30:00,209.78,210.3,209.34,209.34,13631
2021-10-08 10:00:00,209.98,210.96,209.17,209.6,21483
2021-10-08 06:00:00,208.89,208.89,208.89,208.89,200
2021-10-07 16:30:00,209.63,209.655155,209.63,209.655155,7640
2021-10-07 16:00:00,210.595,210.61,209.41,209.64,85829
2021-10-07 15:30:00,210.575,210.68,210.42,210.63,32905
2021-10-07 15:00:00,211.03,211.03,210.65,210.65,13676
2021-10-07 14:30:00,211.58,211.58,210.97,211.0,15357
2021-10-07 14:00:00,211.875,211.875,211.405,211.6,11815
2021-10-07 13:30:00,211.92,211.97,211.72,211.83,11701
2021-10-07 13:00:00,211.6,211.975,211.6,211.95,9841
2021-10-07 12:30:00,211.9,211.95,211.62,211.62,13000
2021-10-07 12:00:00,211.55,211.925,211.45,211.85,11285
2021-10-07 11:30:00,211.98,212.43,211.4,211.4,12008
2021-10-07 11:00:00,212.2183,212.41,211.86,211.98,20343
2021-10-07 10:30:00,211.85,212.81,211.83,212.12,16537
2021-10-07 10:00:00,209.67,211.85,209.24,211.7,27651
2021-10-06 17:00:00,208.19,208.19,208.19,208.19,910
2021-10-06 16:30:00,208.19,208.19,208.1599,208.1599,13905
2021-10-06 16:00:00,207.39,208.59,207.2,208.09,121366
2021-10-06 15:30:00,207.4,207.71,207.04,207.43,35098
2021-10-06 15:00:00,207.75,208.185,207.555,207.555,22633
2021-10-06 14:30:00,207.23,207.75,206.95,207.75,34699
2021-10-06 14:00:00,206.4,207.05,206.32,206.98,23610
2021-10-06 13:30:00,205.15,206.44,204.95,206.33,76084
2021-10-06 13:00:00,205.62,205.68,205.0,205.06,21651
2021-10-06 12:30:00,206.55,206.55,205.52,205.79,28666
2021-10-06 12:00:00,206.1,206.9,205.86,206.7,30539
2021-10-06 11:30:00,206.91,207.05,206.18,206.18,18482
2021-10-06 11:00:00,207.54,207.98,206.92,207.035,27220
2021-10-06 10:30:00,205.89,207.445,205.15,207.445,22663
2021-10-06 10:00:00,205.03,206.755,205.03,205.97,33948
2021-10-05 16:30:00,206.63,206.63,206.63,206.63,12064
2021-10-05 16:00:00,206.9,207.05,206.52,206.63,70837
2021-10-05 15:30:00,207.1,207.53,206.88,207.0,13260
2021-10-05 15:00:00,207.275,207.45,207.07,207.19,15207
2021-10-05 14:30:00,207.91,208.01,207.09,207.22,17893
2021-10-05 14:00:00,207.79,208.07,207.57,207.87,6484
2021-10-05 13:30:00,207.51,207.92,207.39,207.74,8689
2021-10-05 13:00:00,207.88,207.93,207.44,207.45,8646
2021-10-05 12:30:00,207.82,208.15,207.73,207.92,6180
2021-10-05 12:00:00,207.82,208.15,207.53,207.83,9315
2021-10-05 11:30:00,207.63,208.35,207.43,207.7,12432
2021-10-05 11:00:00,207.42,207.69,206.76,207.69,13113
2021-10-05 10:30:00,205.79,207.47,205.7,207.46,16856
2021-10-05 10:00:00,205.74,206.34,204.94,205.65,18276
2021-10-04 16:30:00,205.35,205.35,205.35,205.35,10958
2021-10-04 16:00:00,204.75,205.36,204.39,205.35,127479
2021-10-04 15:30:00,205.14,205.35,204.485,204.7,33831
2021-10-04 15:00:00,204.76,205.25,204.67,205.11,23225
2021-10-04 14:30:00,204.59,205.15,204.44,204.77,43820
2021-10-04 14:00:00,204.94,205.25,204.41,204.45,24410
