time,open,high,low,close,volume
2021-10-08 16:30:00,154.72,154.72,154.72,154.72,84769
2021-10-08 16:00:00,155.15,155.18,154.605,154.75,396676
2021-10-08 15:30:00,154.86,155.17,154.83,155.15,99393
2021-10-08 15:00:00,154.8,154.96,154.78,154.86,89045
2021-10-08 14:30:00,154.28,154.79,154.265,154.785,61983
2021-10-08 14:00:00,154.09,154.27,154.04,154.27,46961
2021-10-08 13:30:00,153.88,154.12,153.81,154.1,52887
2021-10-08 13:00:00,153.94,154.1637,153.83,153.87,52726
2021-10-08 12:30:00,154.08,154.15,153.91,153.95,33042
2021-10-08 12:00:00,153.9814,154.285,153.955,154.09,56264
2021-10-08 11:30:00,153.575,154.0,153.37,153.99,66720
2021-10-08 11:00:00,153.29,153.98,153.29,153.57,114920
2021-10-08 10:30:00,153.82,154.12,153.251,153.251,65865
2021-10-08 10:00:00,153.9,154.17,153.5,153.845,96379
2021-10-08 09:00:00,154.08,154.08,154.08,154.08,130
2021-10-07 16:30:00,153.99,153.99,153.99,153.99,16485
2021-10-07 16:00:00,154.02,154.15,153.79,154.01,428456
2021-10-07 15:30:00,153.42,154.06,153.36,154.011,93736
2021-10-07 15:00:00,153.88,153.94,153.41,153.43,82888
2021-10-07 14:30:00,153.9175,153.93,153.7,153.875,74847
2021-10-07 14:00:00,153.935,153.96,153.76,153.915,66369
2021-10-07 13:30:00,153.62,153.94,153.58,153.94,87071
2021-10-07 13:00:00,153.59,153.68,153.52,153.63,81433
2021-10-07 12:30:00,153.42,153.62,153.35,153.56,67319
2021-10-07 12:00:00,153.525,153.61,153.22,153.4147,63650
2021-10-07 11:30:00,153.55,153.69,153.34,153.52,80722
2021-10-07 11:00:00,153.06,153.52,152.87,153.505,87262
2021-10-07 10:30:00,153.4,153.895,153.02,153.03,88019
2021-10-07 10:00:00,152.24,153.94,152.24,153.365,166250
2021-10-07 09:30:00,152.4,152.4,151.71,151.71,850
2021-10-07 08:30:00,151.6,151.6,151.6,151.6,202
2021-10-06 16:30:00,151.28,151.28,151.2787,151.2787,57637
2021-10-06 16:00:00,151.32,151.46,151.1,151.29,365780
2021-10-06 15:30:00,150.95,151.35,150.83,151.33,107314
2021-10-06 15:00:00,150.99,151.3147,150.9,150.91,58735
2021-10-06 14:30:00,150.63,151.05,150.41,150.99,93474
2021-10-06 14:00:00,150.37,150.84,150.37,150.6,55159
2021-10-06 13:30:00,149.77,150.36,149.705,150.345,48677
2021-10-06 13:00:00,149.62,149.86,149.57,149.76,42682
2021-10-06 12:30:00,149.84,149.84,149.43,149.6,43897
2021-10-06 12:00:00,149.5204,149.82,149.365,149.82,59045
2021-10-06 11:30:00,149.92,150.17,149.48,149.55,105226
2021-10-06 11:00:00,150.2,150.48,149.68,149.9296,83244
2021-10-06 10:30:00,148.845,150.36,148.66,150.17,109277
2021-10-06 10:00:00,149.0,149.34,148.665,148.82,77523
2021-10-06 09:00:00,148.24,148.24,148.14,148.14,511
2021-10-06 07:00:00,148.3,148.3,148.3,148.3,305
2021-10-05 16:30:00,149.85,149.85,149.85,149.85,42427
2021-10-05 16:00:00,150.145,150.28,149.74,149.88,238540
2021-10-05 15:30:00,150.26,150.33,150.1,150.18,57018
2021-10-05 15:00:00,150.38,150.45,150.25,150.3,73158
2021-10-05 14:30:00,150.27,150.35,150.1,150.35,49484
2021-10-05 14:00:00,150.17,150.45,150.15,150.26,43597
2021-10-05 13:30:00,150.02,150.21,149.97,150.15,34315
2021-10-05 13:00:00,150.09,150.15,149.79,150.01,39135
2021-10-05 12:30:00,150.08,150.34,150.05,150.13,44170
2021-10-05 12:00:00,150.16,150.291,149.994,150.11,40382
2021-10-05 11:30:00,149.95,150.3,149.8,150.159,88961
2021-10-05 11:00:00,149.85,149.98,149.57,149.94,56241
2021-10-05 10:30:00,149.0613,149.84,149.0613,149.84,58191
2021-10-05 10:00:00,149.08,149.24,148.25,149.07,67999
2021-10-05 08:30:00,148.83,148.83,148.83,148.83,172
2021-10-04 16:30:00,148.83,148.83,148.83,148.83,30493
2021-10-04 16:00:00,148.91,149.31,148.53,148.85,318395
2021-10-04 15:30:00,148.7,148.97,148.64,148.9,86624
2021-10-04 15:00:00,148.645,148.77,148.5,148.68,51585
2021-10-04 14:30:00,148.49,148.75,148.49,148.65,68157
2021-10-04 14:00:00,148.51,148.63,148.42,148.48,63955
2021-10-04 13:30:00,148.42,148.68,148.36,148.49,76144
2021-10-04 13:00:00,148.39,148.51,148.215,148.41,54395
2021-10-04 12:30:00,148.42,148.73,148.31,148.43,52596
2021-10-04 12:00:00,148.3516,148.625,147.9,148.46,70683
