time,open,high,low,close,volume
2021-10-08 16:30:00,63.47,63.47,63.47,63.47,5523
2021-10-08 16:00:00,63.535,63.62,63.37,63.46,158049
2021-10-08 15:30:00,63.36,63.545,63.35,63.53,36397
2021-10-08 15:00:00,63.36,63.4,63.28,63.35,24110
2021-10-08 14:30:00,63.21,63.41,63.16,63.365,36939
2021-10-08 14:00:00,63.08,63.19,63.04,63.19,22658
2021-10-08 13:30:00,63.37,63.4,63.01,63.09,31040
2021-10-08 13:00:00,63.35,63.45,63.28,63.34,32480
2021-10-08 12:30:00,63.5,63.56,63.32,63.32,35428
2021-10-08 12:00:00,63.679,63.679,63.47,63.53,45481
2021-10-08 11:30:00,63.71,63.74,63.55,63.65,29859
2021-10-08 11:00:00,63.515,63.85,63.49,63.7,32772
2021-10-08 10:30:00,63.67,63.91,63.54,63.54,25145
2021-10-08 10:00:00,62.93,63.67,62.84,63.56,82572
2021-10-08 09:00:00,63.0,63.0,63.0,63.0,100
2021-10-07 16:30:00,63.07,63.07,63.07,63.07,20311
2021-10-07 16:00:00,62.83,63.26,62.83,63.07,281077
2021-10-07 15:30:00,62.71,63.0,62.6588,62.89,44332
2021-10-07 15:00:00,62.93,62.96,62.71,62.73,35502
2021-10-07 14:30:00,63.01,63.01,62.89,62.94,32386
2021-10-07 14:00:00,62.94,63.25,62.75,63.01,110924
2021-10-07 13:30:00,63.0,63.04,62.9243,62.94,51946
2021-10-07 13:00:00,63.03,63.12,62.865,63.0,39362
2021-10-07 12:30:00,63.33,63.34,63.08,63.08,26538
2021-10-07 12:00:00,63.63,63.66,63.24,63.3337,42303
2021-10-07 11:30:00,63.57,63.68,63.47,63.64,48539
2021-10-07 11:00:00,63.6,63.835,63.46,63.58,82091
2021-10-07 10:30:00,63.65,63.73,63.47,63.61,33914
2021-10-07 10:00:00,63.37,63.77,63.11,63.63,82263
2021-10-07 08:30:00,62.87,62.87,62.87,62.87,1000
2021-10-07 08:00:00,63.37,63.46,63.37,63.46,500
2021-10-06 16:30:00,62.8,62.84,62.8,62.8,25833
2021-10-06 16:00:00,62.82,62.88,62.53,62.8,226181
2021-10-06 15:30:00,62.8,62.92,62.75,62.84,58620
2021-10-06 15:00:00,62.83,62.99,62.76,62.77,55223
2021-10-06 14:30:00,62.61,62.94,62.53,62.82,44657
2021-10-06 14:00:00,62.42,62.63,62.42,62.55,38240
2021-10-06 13:30:00,62.45,62.45,62.1,62.41,36000
2021-10-06 13:00:00,62.1,62.49,62.1,62.43,30751
2021-10-06 12:30:00,62.44,62.445,62.04,62.12,47376
2021-10-06 12:00:00,61.85,62.41,61.76,62.41,41304
2021-10-06 11:30:00,61.71,62.18,61.71,61.855,71039
2021-10-06 11:00:00,61.76,62.025,61.25,61.61,81363
2021-10-06 10:30:00,62.35,62.35,61.67,61.725,67590
2021-10-06 10:00:00,62.98,63.05,62.2078,62.35,101471
2021-10-06 09:30:00,63.39,63.39,63.39,63.39,400
2021-10-05 16:30:00,63.46,63.46,63.46,63.46,87364
2021-10-05 16:00:00,63.72,63.78,63.38,63.43,264187
2021-10-05 15:30:00,63.69,63.855,63.66,63.73,104147
2021-10-05 15:00:00,63.72,63.78,63.615,63.71,82968
2021-10-05 14:30:00,63.73,63.82,63.65,63.72,60117
2021-10-05 14:00:00,63.7,63.76,63.62,63.735,48496
2021-10-05 13:30:00,63.65,63.7,63.57,63.69,45135
2021-10-05 13:00:00,63.41,63.67,63.31,63.65,49999
2021-10-05 12:30:00,63.93,63.94,63.29,63.42,66165
2021-10-05 12:00:00,64.06,64.06,63.82,63.93,56898
2021-10-05 11:30:00,64.34,64.375,64.06,64.075,68928
2021-10-05 11:00:00,64.41,64.65,64.295,64.34,79559
