time,open,high,low,close,volume
2021-09-30 18:15:00,88.2,88.2,88.2,88.2,100
2021-09-30 16:10:00,88.2,88.2,88.2,88.2,7472
2021-09-30 16:05:00,88.2,88.2,88.2,88.2,23337
2021-09-30 16:00:00,88.28,88.36,88.09,88.19,189643
2021-09-30 15:55:00,88.39,88.5,88.22,88.295,76034
2021-09-30 15:50:00,88.625,88.65,88.49,88.51,30125
2021-09-30 15:45:00,88.9,88.91,88.61,88.625,39019
2021-09-30 15:40:00,88.9,88.9,88.84,88.9,47144
2021-09-30 15:35:00,88.87,89.05,88.85,88.93,28101
2021-09-30 15:30:00,88.87,88.955,88.75,88.875,43456
2021-09-30 15:25:00,88.775,88.9399,88.74,88.88,33528
2021-09-30 15:20:00,88.75,88.845,88.74,88.755,15517
2021-09-30 15:15:00,88.6,88.74,88.6,88.74,10339
2021-09-30 15:10:00,88.57,88.59,88.54,88.58,11557
2021-09-30 15:05:00,88.545,88.625,88.53,88.53,8473
2021-09-30 15:00:00,88.58,88.62,88.54,88.57,10259
2021-09-30 14:55:00,88.6,88.69,88.595,88.61,5331
2021-09-30 14:50:00,88.62,88.635,88.6,88.615,4285
2021-09-30 14:45:00,88.55,88.72,88.545,88.66,5810
2021-09-30 14:40:00,88.51,88.54,88.51,88.53,4120
2021-09-30 14:35:00,88.48,88.51,88.435,88.51,4284
2021-09-30 14:30:00,88.39,88.45,88.365,88.43,5423
2021-09-30 14:25:00,88.41,88.41,88.33,88.38,7645
2021-09-30 14:20:00,88.5,88.5,88.39,88.44,4811
2021-09-30 14:15:00,88.49,88.51,88.4,88.5,4921
2021-09-30 14:10:00,88.43,88.53,88.43,88.53,3501
2021-09-30 14:05:00,88.39,88.47,88.37,88.425,6018
2021-09-30 14:00:00,88.43,88.43,88.33,88.33,2179
2021-09-30 13:55:00,88.41,88.4891,88.36,88.4891,3239
2021-09-30 13:50:00,88.275,88.38,88.275,88.38,1428
2021-09-30 13:45:00,88.2,88.23,88.14,88.23,5992
2021-09-30 13:40:00,88.29,88.3,88.22,88.23,6512
2021-09-30 13:35:00,88.33,88.35,88.3,88.325,2082
2021-09-30 13:30:00,88.405,88.42,88.31,88.38,5658
2021-09-30 13:25:00,88.47,88.52,88.42,88.435,4149
2021-09-30 13:20:00,88.57,88.625,88.44,88.49,6550
2021-09-30 13:15:00,88.61,88.645,88.58,88.58,4681
2021-09-30 13:10:00,88.52,88.69,88.48,88.69,5823
2021-09-30 13:05:00,88.46,88.59,88.45,88.555,21735
2021-09-30 13:00:00,88.5,88.52,88.43,88.46,31583
2021-09-30 12:55:00,88.36,88.49,88.36,88.49,16983
2021-09-30 12:50:00,88.3,88.37,88.3,88.35,5274
2021-09-30 12:45:00,88.3,88.3234,88.25,88.3234,6866
2021-09-30 12:40:00,88.27,88.42,88.27,88.3217,2701
2021-09-30 12:35:00,88.24,88.28,88.16,88.24,8504
2021-09-30 12:30:00,88.16,88.315,88.16,88.235,10872
2021-09-30 12:25:00,88.05,88.16,88.02,88.16,13485
2021-09-30 12:20:00,87.98,88.05,87.95,88.05,6396
2021-09-30 12:15:00,88.03,88.07,87.93,88.03,10386
2021-09-30 12:10:00,88.15,88.155,87.98,87.98,4092
2021-09-30 12:05:00,88.34,88.41,88.21,88.23,7668
2021-09-30 12:00:00,88.36,88.38,88.34,88.35,2054
2021-09-30 11:55:00,88.31,88.41,88.29,88.41,10350
2021-09-30 11:50:00,88.38,88.44,88.25,88.25,6215
2021-09-30 11:45:00,88.595,88.595,88.39,88.39,5198
2021-09-30 11:40:00,88.6,88.7,88.6,88.61,4379
2021-09-30 11:35:00,88.88,88.94,88.6533,88.6533,5216
2021-09-30 11:30:00,88.99,89.01,88.86,88.97,19021
2021-09-30 11:25:00,88.95,89.0114,88.85,88.99,62959
2021-09-30 11:20:00,89.06,89.07,88.96,88.99,10438
2021-09-30 11:15:00,88.9099,89.09,88.87,88.99,5561
2021-09-30 11:10:00,88.81,88.91,88.76,88.91,21785
2021-09-30 11:05:00,88.9,88.91,88.725,88.81,9496
