time,open,high,low,close,volume
2021-09-30 20:00:00,77.75,77.75,77.75,77.75,146
2021-09-30 19:35:00,77.56,77.56,77.56,77.56,208
2021-09-30 19:25:00,77.4,77.57,77.4,77.57,581
2021-09-30 18:15:00,77.68,77.68,77.68,77.68,200
2021-09-30 17:20:00,77.52,77.52,77.52,77.52,503
2021-09-30 17:10:00,77.5,77.5,77.5,77.5,100
2021-09-30 17:05:00,77.65,77.65,77.65,77.65,723
2021-09-30 17:00:00,77.65,77.65,77.65,77.65,734
2021-09-30 16:50:00,77.6,77.61,77.6,77.61,1429
2021-09-30 16:45:00,77.66,77.66,77.66,77.66,1636
2021-09-30 16:40:00,77.65,77.65,77.65,77.65,176
2021-09-30 16:15:00,77.55,77.55,77.39,77.55,6196
2021-09-30 16:10:00,77.39,77.55,77.39,77.55,63308
2021-09-30 16:05:00,77.39,77.57,77.39,77.39,126591
2021-09-30 16:00:00,77.59,77.625,77.35,77.41,519105
2021-09-30 15:55:00,77.87,77.88,77.42,77.59,276175
2021-09-30 15:50:00,77.9,77.93,77.81,77.88,98137
2021-09-30 15:45:00,77.92,77.96,77.85,77.9,86767
2021-09-30 15:40:00,78.07,78.08,77.9,77.93,76814
2021-09-30 15:35:00,77.88,78.13,77.88,78.08,61698
2021-09-30 15:30:00,77.99,78.01,77.87,77.89,46166
2021-09-30 15:25:00,78.0,78.055,77.98,77.99,54046
2021-09-30 15:20:00,78.01,78.09,77.97,78.02,43687
2021-09-30 15:15:00,77.98,78.09,77.96,78.0048,51755
2021-09-30 15:10:00,77.89,78.015,77.87,77.96,52086
2021-09-30 15:05:00,77.96,78.01,77.83,77.88,47033
2021-09-30 15:00:00,78.025,78.03,77.96,77.96,46261
2021-09-30 14:55:00,78.01,78.11,78.0,78.02,48429
2021-09-30 14:50:00,78.06,78.06,77.97,78.01,38396
2021-09-30 14:45:00,77.93,78.1,77.93,78.07,42628
2021-09-30 14:40:00,77.9886,78.03,77.87,77.93,59078
2021-09-30 14:35:00,77.93,78.01,77.9,78.01,35974
2021-09-30 14:30:00,77.965,77.965,77.87,77.92,42234
2021-09-30 14:25:00,77.91,77.97,77.905,77.96,45812
2021-09-30 14:20:00,78.0,78.0,77.89,77.9,39191
2021-09-30 14:15:00,77.91,78.03,77.9,78.0,69346
2021-09-30 14:10:00,77.73,77.925,77.73,77.92,52450
2021-09-30 14:05:00,77.7,77.78,77.69,77.72,47329
2021-09-30 14:00:00,77.75,77.79,77.69,77.7,37740
2021-09-30 13:55:00,77.68,77.8,77.67,77.74,36581
2021-09-30 13:50:00,77.58,77.6825,77.58,77.67,253057
2021-09-30 13:45:00,77.5367,77.61,77.5367,77.58,34207
2021-09-30 13:40:00,77.4199,77.6,77.37,77.53,39385
2021-09-30 13:35:00,77.4799,77.48,77.39,77.41,39732
2021-09-30 13:30:00,77.5,77.55,77.47,77.48,46389
2021-09-30 13:25:00,77.65,77.65,77.47,77.495,48067
2021-09-30 13:20:00,77.652,77.755,77.5852,77.66,49657
2021-09-30 13:15:00,77.85,77.87,77.65,77.65,35362
2021-09-30 13:10:00,77.79,77.85,77.75,77.85,59128
2021-09-30 13:05:00,77.7,77.79,77.6303,77.78,40136
2021-09-30 13:00:00,77.7282,77.77,77.66,77.69,38609
2021-09-30 12:55:00,77.79,77.85,77.715,77.73,49822
2021-09-30 12:50:00,77.71,77.81,77.7,77.79,49999
2021-09-30 12:45:00,77.685,77.75,77.61,77.71,55869
2021-09-30 12:40:00,77.56,77.7,77.545,77.69,69141
2021-09-30 12:35:00,77.38,77.59,77.34,77.58,70082
2021-09-30 12:30:00,77.43,77.5,77.37,77.37,44835
2021-09-30 12:25:00,77.5301,77.61,77.36,77.42,48232
2021-09-30 12:20:00,77.51,77.58,77.48,77.53,194551
2021-09-30 12:15:00,77.41,77.51,77.385,77.51,63969
2021-09-30 12:10:00,77.61,77.64,77.39,77.41,86133
2021-09-30 12:05:00,77.82,77.82,77.582,77.6,61977
2021-09-30 12:00:00,77.785,77.87,77.76,77.815,88975
2021-09-30 11:55:00,77.55,77.81,77.51,77.79,123445
2021-09-30 11:50:00,77.68,77.74,77.53,77.55,50631
2021-09-30 11:45:00,77.69,77.74,77.62,77.68,63124
2021-09-30 11:40:00,77.73,77.77,77.635,77.7,62235
2021-09-30 11:35:00,77.88,78.03,77.75,77.75,76377
2021-09-30 11:30:00,77.92,77.98,77.86,77.88,59290
2021-09-30 11:25:00,77.96,78.0299,77.92,77.92,43703
2021-09-30 11:20:00,77.86,78.07,77.86,77.95,47143
2021-09-30 11:15:00,77.83,77.91,77.785,77.85,52883
2021-09-30 11:10:00,77.87,77.937,77.73,77.84,71323
2021-09-30 11:05:00,77.77,77.95,77.77,77.8797,54073
2021-09-30 11:00:00,77.645,77.78,77.55,77.75,63195
2021-09-30 10:55:00,77.8,77.85,77.64,77.645,55028
2021-09-30 10:50:00,77.87,77.94,77.765,77.82,50014
2021-09-30 10:45:00,77.83,77.91,77.695,77.88,47863
2021-09-30 10:40:00,77.89,77.96,77.78,77.82,95560
2021-09-30 10:35:00,77.64,77.9,77.64,77.9,95410
2021-09-30 10:30:00,77.54,77.68,77.52,77.64,50953
2021-09-30 10:25:00,77.53,77.59,77.43,77.53,93016
2021-09-30 10:20:00,77.4,77.62,77.34,77.53,259771
2021-09-30 10:15:00,77.61,77.61,77.26,77.38,316859
2021-09-30 10:10:00,77.63,77.64,77.45,77.64,83020
2021-09-30 10:05:00,77.63,77.73,77.4773,77.638,90692
2021-09-30 10:00:00,78.05,78.09,77.68,77.68,105815
2021-09-30 09:55:00,77.49,78.05,77.49,78.05,158120
2021-09-30 09:50:00,77.5,77.52,77.0,77.47,127861
2021-09-30 09:45:00,77.71,77.87,77.44,77.5,68060
2021-09-30 09:40:00,77.93,77.96,77.58,77.68,138320
2021-09-30 09:35:00,77.56,78.41,77.53,77.9,257839
2021-09-30 09:30:00,77.36,77.58,77.04,77.58,3657
2021-09-30 09:15:00,77.88,77.88,77.65,77.65,256
2021-09-30 08:05:00,77.99,77.99,77.99,77.99,105
2021-09-30 07:05:00,77.99,77.99,77.99,77.99,345
2021-09-29 19:55:00,77.65,77.65,77.65,77.65,300
2021-09-29 19:05:00,77.65,77.65,77.65,77.65,264
2021-09-29 16:50:00,77.49,77.49,77.49,77.49,280
2021-09-29 16:15:00,77.38,77.38,77.38,77.38,6373
2021-09-29 16:10:00,77.38,77.38,77.38,77.38,201
2021-09-29 16:05:00,77.38,77.38,77.38,77.38,78861
2021-09-29 16:00:00,77.425,77.425,77.3,77.39,393442
2021-09-29 15:55:00,77.57,77.58,77.39,77.42,154413
2021-09-29 15:50:00,77.625,77.68,77.555,77.585,105060
2021-09-29 15:45:00,77.67,77.72,77.61,77.625,121066
2021-09-29 15:40:00,77.665,77.725,77.64,77.66,88499
2021-09-29 15:35:00,77.76,77.78,77.64,77.66,100529
2021-09-29 15:30:00,77.76,77.8,77.72,77.76,81333
2021-09-29 15:25:00,77.7906,77.82,77.73,77.75,91409
2021-09-29 15:20:00,77.92,77.94,77.7883,77.8,57585
2021-09-29 15:15:00,77.81,77.93,77.81,77.92,70725
2021-09-29 15:10:00,77.77,77.8905,77.755,77.815,73331
2021-09-29 15:05:00,77.73,77.81,77.7283,77.765,86991
2021-09-29 15:00:00,77.69,77.75,77.63,77.74,63870
2021-09-29 14:55:00,77.59,77.68,77.59,77.68,65232
2021-09-29 14:50:00,77.73,77.75,77.57,77.6,63250
2021-09-29 14:45:00,77.895,77.895,77.68,77.7329,68309
2021-09-29 14:40:00,77.94,77.98,77.88,77.91,58021
2021-09-29 14:35:00,77.9,77.99,77.895,77.94,65759
2021-09-29 14:30:00,77.93,77.94,77.81,77.89,63667
2021-09-29 14:25:00,77.98,78.02,77.91,77.93,49541
2021-09-29 14:20:00,78.04,78.04,77.97,77.99,64618
2021-09-29 14:15:00,77.99,78.06,77.93,78.03,105111
2021-09-29 14:10:00,77.79,78.0,77.79,77.98,89081
2021-09-29 14:05:00,77.824,77.83,77.74,77.79,56549
2021-09-29 14:00:00,77.89,77.915,77.74,77.825,54129
2021-09-29 13:55:00,77.81,77.91,77.79,77.885,76913
2021-09-29 13:50:00,77.955,77.98,77.79,77.81,72760
2021-09-29 13:45:00,77.885,77.99,77.86,77.96,67311
2021-09-29 13:40:00,77.93,78.005,77.835,77.89,119873
2021-09-29 13:35:00,77.89,77.99,77.81,77.95,97163
2021-09-29 13:30:00,77.91,77.92,77.82,77.89,95417
2021-09-29 13:25:00,77.925,78.01,77.88,77.91,57271
2021-09-29 13:20:00,77.87,78.02,77.85,77.93,53698
2021-09-29 13:15:00,77.84,77.9,77.79,77.87,56142
2021-09-29 13:10:00,77.87,77.895,77.7,77.85,59948
2021-09-29 13:05:00,77.94,78.04,77.87,77.87,72561
2021-09-29 13:00:00,77.91,78.03,77.86,77.93,109463
2021-09-29 12:55:00,77.89,78.0,77.83,77.905,68869
2021-09-29 12:50:00,78.12,78.13,77.8,77.91,184048
2021-09-29 12:45:00,78.1,78.1515,78.07,78.12,93933
2021-09-29 12:40:00,78.22,78.22,78.06,78.1,87611
2021-09-29 12:35:00,78.12,78.23,78.11,78.22,51369
2021-09-29 12:30:00,77.945,78.14,77.91,78.11,73112
2021-09-29 12:25:00,78.115,78.15,77.87,77.945,73348
2021-09-29 12:20:00,78.05,78.18,77.975,78.12,71279
2021-09-29 12:15:00,77.98,78.1089,77.95,78.04,79814
2021-09-29 12:10:00,78.08,78.16,77.95,77.97,63575
2021-09-29 12:05:00,78.03,78.08,77.96,78.07,72089
2021-09-29 12:00:00,77.85,78.02,77.82,78.02,64503
2021-09-29 11:55:00,78.1,78.12,77.8,77.84,82458
2021-09-29 11:50:00,78.24,78.24,78.04,78.08,77987
2021-09-29 11:45:00,78.55,78.55,78.26,78.26,73576
2021-09-29 11:40:00,78.71,78.71,78.38,78.55,165917
2021-09-29 11:35:00,78.71,78.79,78.63,78.72,114736
2021-09-29 11:30:00,78.7,78.82,78.66,78.7,185105
2021-09-29 11:25:00,78.46,78.71,78.37,78.7001,133715
2021-09-29 11:20:00,78.22,78.47,78.135,78.45,102868
2021-09-29 11:15:00,78.55,78.56,78.07,78.22,225964
2021-09-29 11:10:00,78.82,78.82,78.55,78.55,85446
2021-09-29 11:05:00,78.61,78.93,78.59,78.817,113516
2021-09-29 11:00:00,78.58,78.69,78.51,78.6,72845
2021-09-29 10:55:00,78.85,78.85,78.52,78.585,122139
2021-09-29 10:50:00,78.79,78.85,78.62,78.835,162473
2021-09-29 10:45:00,78.79,78.89,78.66,78.79,197609
2021-09-29 10:40:00,78.59,78.81,78.5,78.81,288133
