time,open,high,low,close,volume
2021-09-30 19:50:00,167.94,168.0,167.94,168.0,1800
2021-09-30 19:45:00,167.84,167.89,167.84,167.89,501
2021-09-30 19:10:00,167.53,167.53,167.53,167.53,200
2021-09-30 19:05:00,167.6,167.6,167.6,167.6,598
2021-09-30 19:00:00,167.53,167.53,167.53,167.53,100
2021-09-30 18:05:00,167.46,167.47,167.42,167.47,620
2021-09-30 17:30:00,167.38,167.38,167.38,167.38,202
2021-09-30 17:25:00,167.38,167.38,167.38,167.38,555
2021-09-30 17:20:00,167.21,167.21,167.21,167.21,256
2021-09-30 17:00:00,167.35,167.46,167.35,167.46,648
2021-09-30 16:55:00,167.19,167.35,167.19,167.35,1554
2021-09-30 16:45:00,167.31,167.31,167.19,167.19,988
2021-09-30 16:30:00,167.51,167.51,167.5,167.5,380
2021-09-30 16:25:00,167.53,167.53,167.53,167.53,4775
2021-09-30 16:10:00,167.53,167.53,167.53,167.53,26719
2021-09-30 16:05:00,167.53,167.53,167.53,167.53,64021
2021-09-30 16:00:00,167.74,167.82,167.41,167.41,224055
2021-09-30 15:55:00,167.65,168.0,167.64,167.74,93298
2021-09-30 15:50:00,168.4299,168.4299,167.83,167.84,80406
2021-09-30 15:45:00,168.51,168.59,168.37,168.42,38952
2021-09-30 15:40:00,168.83,168.9,168.515,168.52,48040
2021-09-30 15:35:00,168.71,168.97,168.6,168.83,42786
2021-09-30 15:30:00,168.9,169.07,168.75,168.75,38516
2021-09-30 15:25:00,169.08,169.12,168.86,168.99,18094
2021-09-30 15:20:00,169.35,169.58,169.05,169.05,29867
2021-09-30 15:15:00,169.11,169.34,169.11,169.34,14885
2021-09-30 15:10:00,169.23,169.34,169.095,169.11,42623
2021-09-30 15:05:00,169.18,169.28,168.92,169.09,19035
2021-09-30 15:00:00,169.36,169.4,169.15,169.15,21388
2021-09-30 14:55:00,169.549,169.73,169.38,169.38,18351
2021-09-30 14:50:00,169.44,169.565,169.39,169.49,21622
2021-09-30 14:45:00,169.215,169.46,169.12,169.45,32608
2021-09-30 14:40:00,169.39,169.39,169.07,169.215,14400
2021-09-30 14:35:00,169.04,169.38,169.04,169.34,11695
