time,open,high,low,close,volume
2021-09-30 16:10:00,87.0,87.0503,87.0,87.0,16493
2021-09-30 16:05:00,87.0,87.0,87.0,87.0,34304
2021-09-30 16:00:00,87.03,87.1,86.9,87.0,104568
2021-09-30 15:55:00,87.19,87.32,86.41,87.03,104887
2021-09-30 15:50:00,87.48,87.48,87.34,87.34,21300
2021-09-30 15:45:00,87.64,87.65,87.48,87.52,14497
2021-09-30 15:40:00,87.81,87.81,87.64,87.64,10945
2021-09-30 15:35:00,87.755,87.85,87.755,87.83,10413
2021-09-30 15:30:00,87.8,87.81,87.71,87.75,6549
2021-09-30 15:25:00,87.88,87.885,87.79,87.81,7703
2021-09-30 15:20:00,87.93,87.945,87.88,87.89,9380
2021-09-30 15:15:00,87.9,87.93,87.89,87.9,7348
2021-09-30 15:10:00,87.78,87.82,87.75,87.82,6824
2021-09-30 15:05:00,87.68,87.79,87.68,87.73,10488
2021-09-30 15:00:00,87.83,87.83,87.68,87.68,6770
2021-09-30 14:55:00,87.92,87.95,87.84,87.84,8640
2021-09-30 14:50:00,87.89,87.92,87.86,87.9,8161
2021-09-30 14:45:00,87.8,87.93,87.8,87.9,13981
2021-09-30 14:40:00,87.93,87.94,87.81,87.81,5475
2021-09-30 14:35:00,87.87,87.94,87.86,87.9,8400
2021-09-30 14:30:00,87.82,87.93,87.79,87.87,11006
2021-09-30 14:25:00,87.7501,87.79,87.7501,87.78,5775
2021-09-30 14:20:00,87.89,87.89,87.77,87.78,4122
2021-09-30 14:15:00,87.91,87.935,87.865,87.895,6073
2021-09-30 14:10:00,87.92,87.97,87.88,87.935,7179
2021-09-30 14:05:00,87.82,87.98,87.82,87.94,3549
2021-09-30 14:00:00,87.7,87.81,87.7,87.79,3953
2021-09-30 13:55:00,87.64,87.72,87.61,87.72,10909
2021-09-30 13:50:00,87.645,87.71,87.59,87.6,8616
2021-09-30 13:45:00,87.78,87.8026,87.58,87.645,14996
2021-09-30 13:40:00,87.7,87.77,87.68,87.735,4628
2021-09-30 13:35:00,87.82,87.86,87.72,87.72,7680
2021-09-30 13:30:00,87.78,87.85,87.77,87.82,6671
2021-09-30 13:25:00,87.895,87.9,87.83,87.83,4530
2021-09-30 13:20:00,87.82,87.99,87.8,87.87,5626
2021-09-30 13:15:00,87.89,87.89,87.78,87.78,3237
2021-09-30 13:10:00,87.94,87.94,87.88,87.91,8536
2021-09-30 13:05:00,87.88,87.94,87.83,87.91,6697
2021-09-30 13:00:00,87.81,87.87,87.8,87.87,2821
2021-09-30 12:55:00,87.85,87.89,87.78,87.835,5824
2021-09-30 12:50:00,87.78,87.85,87.74,87.83,5532
2021-09-30 12:45:00,87.89,87.895,87.78,87.78,4212
2021-09-30 12:40:00,87.79,87.93,87.79,87.89,5899
2021-09-30 12:35:00,87.74,87.75,87.65,87.74,3578
2021-09-30 12:30:00,87.77,87.83,87.74,87.75,4667
2021-09-30 12:25:00,87.76,87.84,87.7,87.745,5081
2021-09-30 12:20:00,87.64,87.76,87.62,87.73,7299
2021-09-30 12:15:00,87.615,87.66,87.58,87.6,5815
2021-09-30 12:10:00,87.76,87.78,87.585,87.585,4308
2021-09-30 12:05:00,87.93,87.94,87.79,87.79,5984
2021-09-30 12:00:00,87.94,87.94,87.855,87.915,2777
2021-09-30 11:55:00,87.92,87.99,87.84,87.94,7195
2021-09-30 11:50:00,88.06,88.07,87.87,87.925,7392
2021-09-30 11:45:00,88.22,88.22,88.04,88.045,3881
2021-09-30 11:40:00,88.24,88.295,88.21,88.235,4971
2021-09-30 11:35:00,88.37,88.39,88.29,88.29,4730
2021-09-30 11:30:00,88.315,88.37,88.315,88.36,3711
2021-09-30 11:25:00,88.455,88.455,88.285,88.285,4614
2021-09-30 11:20:00,88.4439,88.52,88.44,88.455,8425
2021-09-30 11:15:00,88.33,88.405,88.32,88.405,4466
2021-09-30 11:10:00,88.36,88.409,88.295,88.37,5927
2021-09-30 11:05:00,88.28,88.36,88.22,88.36,6074
2021-09-30 11:00:00,88.23,88.32,88.15,88.3,8552
2021-09-30 10:55:00,88.26,88.295,88.25,88.25,2377
2021-09-30 10:50:00,88.36,88.36,88.28,88.28,6095
2021-09-30 10:45:00,88.57,88.57,88.36,88.4,8017
2021-09-30 10:40:00,88.63,88.63,88.51,88.51,4369
2021-09-30 10:35:00,88.53,88.63,88.5,88.63,4899
2021-09-30 10:30:00,88.74,88.74,88.54,88.565,4681
2021-09-30 10:25:00,88.6,88.62,88.5,88.62,3865
2021-09-30 10:20:00,88.42,88.63,88.42,88.58,4557
2021-09-30 10:15:00,88.535,88.54,88.37,88.38,3367
2021-09-30 10:10:00,88.54,88.56,88.47,88.54,4117
2021-09-30 10:05:00,88.81,88.82,88.68,88.68,3572
2021-09-30 10:00:00,88.66,88.85,88.59,88.85,6131
2021-09-30 09:55:00,88.56,88.66,88.53,88.66,9494
2021-09-30 09:50:00,88.54,88.69,88.49,88.53,11796
2021-09-30 09:45:00,88.85,88.85,88.43,88.43,9379
2021-09-30 09:40:00,88.745,88.82,88.6,88.815,2359
2021-09-30 09:35:00,88.58,89.0,88.55,88.8,11542
2021-09-29 16:05:00,88.44,88.44,88.44,88.44,10982
2021-09-29 16:00:00,88.32,88.48,88.29,88.44,68570
2021-09-29 15:55:00,88.53,88.54,88.29,88.33,32502
2021-09-29 15:50:00,88.53,88.57,88.4903,88.57,9454
2021-09-29 15:45:00,88.6,88.62,88.51,88.53,10444
2021-09-29 15:40:00,88.695,88.73,88.63,88.65,10119
2021-09-29 15:35:00,88.67,88.72,88.64,88.72,6770
2021-09-29 15:30:00,88.685,88.77,88.68,88.68,4669
2021-09-29 15:25:00,88.7,88.72,88.68,88.685,3832
2021-09-29 15:20:00,88.6,88.72,88.58,88.72,5815
2021-09-29 15:15:00,88.57,88.61,88.5639,88.61,2777
2021-09-29 15:10:00,88.48,88.58,88.48,88.55,8141
2021-09-29 15:05:00,88.63,88.63,88.47,88.47,4361
2021-09-29 15:00:00,88.64,88.64,88.575,88.6,3507
2021-09-29 14:55:00,88.65,88.66,88.57,88.66,7906
2021-09-29 14:50:00,88.68,88.7,88.61,88.61,6381
2021-09-29 14:45:00,88.6,88.68,88.58,88.67,6143
2021-09-29 14:40:00,88.56,88.62,88.56,88.61,2873
2021-09-29 14:35:00,88.495,88.6,88.495,88.6,4179
2021-09-29 14:30:00,88.489,88.51,88.48,88.495,2819
2021-09-29 14:25:00,88.425,88.46,88.4186,88.445,5618
2021-09-29 14:20:00,88.4398,88.46,88.39,88.435,5718
2021-09-29 14:15:00,88.38,88.45,88.38,88.45,5457
2021-09-29 14:10:00,88.2,88.36,88.19,88.34,11068
2021-09-29 14:05:00,88.08,88.19,88.08,88.18,17377
2021-09-29 14:00:00,88.08,88.14,88.0,88.03,31896
2021-09-29 13:55:00,88.11,88.15,88.07,88.08,8004
2021-09-29 13:50:00,88.17,88.18,88.105,88.13,4467
2021-09-29 13:45:00,88.14,88.16,88.12,88.16,2433
2021-09-29 13:40:00,88.24,88.265,88.125,88.18,7064
2021-09-29 13:35:00,88.14,88.26,88.13,88.26,10520
2021-09-29 13:30:00,88.08,88.16,88.08,88.14,4710
2021-09-29 13:25:00,88.24,88.24,88.07,88.11,7798
2021-09-29 13:20:00,88.0,88.205,87.99,88.205,8204
2021-09-29 13:15:00,88.065,88.08,88.03,88.03,5254
2021-09-29 13:10:00,88.12,88.12,88.04,88.06,2160
2021-09-29 13:05:00,88.08,88.13,88.08,88.1,2235
2021-09-29 13:00:00,88.15,88.16,88.095,88.095,3789
2021-09-29 12:55:00,88.07,88.17,88.065,88.14,5653
2021-09-29 12:50:00,88.05,88.07,88.05,88.07,2157
2021-09-29 12:45:00,88.07,88.13,88.03,88.09,3311
2021-09-29 12:40:00,88.09,88.13,88.045,88.06,3453
2021-09-29 12:35:00,88.09,88.13,88.065,88.11,4158
2021-09-29 12:30:00,88.06,88.19,88.05,88.07,8995
2021-09-29 12:25:00,88.075,88.09,88.05,88.05,4922
2021-09-29 12:20:00,88.02,88.09,87.94,88.09,6409
2021-09-29 12:15:00,88.11,88.11,88.02,88.03,3957
2021-09-29 12:10:00,88.16,88.16,88.11,88.12,4702
2021-09-29 12:05:00,88.22,88.22,88.11,88.15,4897
2021-09-29 12:00:00,88.17,88.26,88.17,88.25,2551
2021-09-29 11:55:00,88.14,88.245,88.13,88.15,8039
2021-09-29 11:50:00,88.06,88.17,88.04,88.14,3472
2021-09-29 11:45:00,88.05,88.09,88.04,88.04,4239
2021-09-29 11:40:00,88.145,88.19,88.04,88.04,8160
2021-09-29 11:35:00,88.0625,88.19,88.05,88.16,6193
2021-09-29 11:30:00,88.085,88.085,88.03,88.03,7869
2021-09-29 11:25:00,88.02,88.095,87.97,88.08,12908
2021-09-29 11:20:00,87.97,88.04,87.97,87.985,3473
2021-09-29 11:15:00,87.955,87.98,87.86,87.91,2848
2021-09-29 11:10:00,87.91,87.97,87.91,87.96,2606
2021-09-29 11:05:00,87.905,88.09,87.905,87.93,6884
2021-09-29 11:00:00,87.72,87.89,87.68,87.87,17591
2021-09-29 10:55:00,87.92,87.95,87.71,87.72,8476
2021-09-29 10:50:00,88.02,88.02,87.9,87.94,6175
2021-09-29 10:45:00,88.08,88.08,87.95,87.96,3804
2021-09-29 10:40:00,88.21,88.21,88.05,88.05,3322
2021-09-29 10:35:00,88.37,88.39,88.17,88.2,6186
2021-09-29 10:30:00,88.33,88.5,88.31,88.415,14211
2021-09-29 10:25:00,88.34,88.37,88.3,88.315,3499
2021-09-29 10:20:00,88.335,88.335,88.29,88.29,2878
2021-09-29 10:15:00,88.44,88.445,88.33,88.37,6184
2021-09-29 10:10:00,88.44,88.485,88.36,88.395,3570
2021-09-29 10:05:00,88.485,88.67,88.45,88.45,6712
2021-09-29 10:00:00,88.385,88.47,88.385,88.46,4301
2021-09-29 09:55:00,88.365,88.545,88.32,88.36,7724
2021-09-29 09:50:00,88.24,88.45,88.09,88.435,9558
2021-09-29 09:45:00,88.34,88.42,88.19,88.19,8217
2021-09-29 09:40:00,88.5,88.5,88.17,88.28,9004
2021-09-29 09:35:00,88.83,88.94,88.5,88.52,9668
2021-09-28 16:05:00,88.73,88.73,88.7,88.7,7241
2021-09-28 16:00:00,88.58,88.75,88.53,88.75,61309
2021-09-28 15:55:00,88.605,88.62,88.51,88.59,37936
2021-09-28 15:50:00,88.84,88.91,88.62,88.63,20892
2021-09-28 15:45:00,88.825,88.98,88.81,88.86,13518
2021-09-28 15:40:00,88.74,88.96,88.71,88.81,13544
2021-09-28 15:35:00,88.76,88.8,88.73,88.76,18307
2021-09-28 15:30:00,88.76,88.79,88.72,88.76,8410
2021-09-28 15:25:00,88.89,88.94,88.79,88.8,8146
2021-09-28 15:20:00,88.85,88.94,88.83,88.88,8004
2021-09-28 15:15:00,88.95,88.95,88.83,88.83,7145
2021-09-28 15:10:00,88.86,88.97,88.86,88.9553,5122
2021-09-28 15:05:00,88.81,88.89,88.77,88.89,9110
2021-09-28 15:00:00,88.94,88.97,88.82,88.82,10587
2021-09-28 14:55:00,89.08,89.08,88.9,88.94,6323
2021-09-28 14:50:00,88.9,89.09,88.89,89.08,8110
2021-09-28 14:45:00,88.79,88.88,88.79,88.82,4951
2021-09-28 14:40:00,88.86,88.86,88.76,88.79,5691
2021-09-28 14:35:00,89.01,89.01,88.89,88.89,4246
2021-09-28 14:30:00,88.98,89.03,88.94,89.03,6282
2021-09-28 14:25:00,89.0,89.02,88.9626,89.0,2837
2021-09-28 14:20:00,88.79,88.99,88.79,88.99,3136
2021-09-28 14:15:00,88.86,88.86,88.76,88.79,4943
2021-09-28 14:10:00,88.86,88.91,88.86,88.9,6022
2021-09-28 14:05:00,88.84,88.9,88.83,88.9,3414
2021-09-28 14:00:00,88.85,88.89,88.83,88.88,2462
2021-09-28 13:55:00,88.86,88.89,88.8264,88.86,3785
2021-09-28 13:50:00,88.95,88.96,88.86,88.88,3460
2021-09-28 13:45:00,88.94,89.05,88.94,88.99,6218
2021-09-28 13:40:00,88.95,88.95,88.89,88.93,4510
2021-09-28 13:35:00,89.05,89.05,88.95,88.98,2927
2021-09-28 13:30:00,89.04,89.14,89.04,89.07,5212
2021-09-28 13:25:00,89.0,89.04,88.97,89.04,3208
2021-09-28 13:20:00,88.94,88.99,88.94,88.99,1464
2021-09-28 13:15:00,88.86,88.94,88.84,88.94,4181
2021-09-28 13:10:00,88.82,88.89,88.785,88.89,4548
2021-09-28 13:05:00,88.8,88.845,88.67,88.845,4733
2021-09-28 13:00:00,88.81,88.83,88.76,88.81,3715
2021-09-28 12:55:00,88.67,88.83,88.66,88.8,7340
2021-09-28 12:50:00,88.67,88.72,88.66,88.69,3418
2021-09-28 12:45:00,88.75,88.75,88.66,88.66,3044
2021-09-28 12:40:00,88.85,88.86,88.79,88.79,2863
2021-09-28 12:35:00,88.84,88.855,88.775,88.82,5157
2021-09-28 12:30:00,88.98,88.99,88.88,88.88,3242
2021-09-28 12:25:00,89.01,89.01,88.95,88.95,2679
2021-09-28 12:20:00,89.01,89.06,89.01,89.04,4525
2021-09-28 12:15:00,88.85,89.03,88.85,89.01,4968
2021-09-28 12:10:00,88.95,88.955,88.89,88.91,4624
2021-09-28 12:05:00,89.11,89.11,88.955,88.955,3129
2021-09-28 12:00:00,89.27,89.27,89.105,89.15,5948
2021-09-28 11:55:00,89.31,89.33,89.23,89.3,10437
2021-09-28 11:50:00,89.02,89.33,89.02,89.33,15123
2021-09-28 11:45:00,88.97,89.03,88.95,89.0,4981
2021-09-28 11:40:00,88.98,89.03,88.95,88.97,2729
2021-09-28 11:35:00,88.92,88.95,88.89,88.95,4982
2021-09-28 11:30:00,89.05,89.12,88.97,88.97,6040
2021-09-28 11:25:00,88.89,89.06,88.89,89.04,4716
2021-09-28 11:20:00,88.97,88.99,88.83,88.91,7619
2021-09-28 11:15:00,89.08,89.08,88.98,89.01,4141
2021-09-28 11:10:00,89.04,89.1,89.02,89.05,5106
2021-09-28 11:05:00,89.25,89.3,89.04,89.04,2751
2021-09-28 11:00:00,89.25,89.25,89.11,89.19,7811
2021-09-28 10:55:00,89.25,89.42,89.19,89.34,5063
2021-09-28 10:50:00,89.2,89.3,89.2,89.26,3737
2021-09-28 10:45:00,89.22,89.239,89.18,89.19,4563
2021-09-28 10:40:00,88.965,89.32,88.965,89.24,11189
2021-09-28 10:35:00,89.11,89.16,88.94,88.94,6953
2021-09-28 10:30:00,89.095,89.14,89.02,89.135,7050
2021-09-28 10:25:00,89.04,89.1,88.98,89.1,4916
2021-09-28 10:20:00,88.97,89.05,88.84,89.04,5879
2021-09-28 10:15:00,89.12,89.14,88.95,88.9995,10287
2021-09-28 10:10:00,89.04,89.12,88.97,89.06,8946
2021-09-28 10:05:00,89.365,89.365,88.99,89.06,7303
2021-09-28 10:00:00,89.4369,89.4369,89.34,89.41,4594
2021-09-28 09:55:00,89.5,89.5,89.31,89.43,8387
2021-09-28 09:50:00,89.77,89.77,89.37,89.525,5145
2021-09-28 09:45:00,89.63,90.05,89.61,89.79,7272
2021-09-28 09:40:00,89.43,89.63,89.41,89.565,3723
2021-09-28 09:35:00,90.09,90.09,89.29,89.47,9877
2021-09-27 16:05:00,89.71,89.71,89.71,89.71,12564
2021-09-27 16:00:00,89.59,89.75,89.59,89.71,60367
2021-09-27 15:55:00,89.64,89.645,89.57,89.57,33791
2021-09-27 15:50:00,89.79,89.81,89.695,89.695,18534
2021-09-27 15:45:00,89.72,89.81,89.7,89.81,22095
2021-09-27 15:40:00,89.72,89.73,89.68,89.72,9605
2021-09-27 15:35:00,89.745,89.8,89.72,89.74,15467
2021-09-27 15:30:00,89.8,89.81,89.73,89.73,10574
2021-09-27 15:25:00,89.8,89.86,89.8,89.81,10245
2021-09-27 15:20:00,89.87,89.87,89.79,89.8,8301
2021-09-27 15:15:00,89.93,89.93,89.87,89.87,5612
2021-09-27 15:10:00,89.93,89.95,89.9,89.95,5247
2021-09-27 15:05:00,89.93,89.98,89.92,89.925,6679
2021-09-27 15:00:00,89.91,89.93,89.86,89.93,11814
2021-09-27 14:55:00,89.9179,89.9179,89.82,89.91,9765
2021-09-27 14:50:00,90.045,90.045,89.9094,89.9094,5345
2021-09-27 14:45:00,90.08,90.09,90.045,90.06,6093
2021-09-27 14:40:00,90.12,90.12,90.06,90.11,5171
2021-09-27 14:35:00,90.13,90.16,90.08,90.1,6203
2021-09-27 14:30:00,90.06,90.14,90.06,90.14,5042
