time,open,high,low,close,volume
2021-09-30 16:10:00,114.22,114.22,114.22,114.22,1200
2021-09-30 16:05:00,114.22,114.22,114.22,114.22,19131
2021-09-30 16:00:00,114.18,114.5,114.105,114.15,73981
2021-09-30 15:55:00,114.81,114.81,113.62,114.08,70399
2021-09-30 15:50:00,115.035,115.035,114.81,114.93,9080
2021-09-30 15:45:00,115.325,115.325,115.035,115.035,8905
2021-09-30 15:40:00,115.46,115.51,115.2901,115.2901,7458
2021-09-30 15:35:00,115.395,115.51,115.26,115.5,6118
2021-09-30 15:30:00,115.42,115.47,115.31,115.41,3716
2021-09-30 15:25:00,115.528,115.535,115.41,115.41,7924
2021-09-30 15:20:00,115.57,115.73,115.47,115.59,11637
2021-09-30 15:15:00,115.49,115.57,115.48,115.55,4151
2021-09-30 15:10:00,115.36,115.46,115.34,115.46,3857
2021-09-30 15:05:00,115.48,115.5,115.24,115.26,2892
2021-09-30 15:00:00,115.62,115.62,115.495,115.515,2976
2021-09-30 14:55:00,115.8,115.8762,115.7,115.7,2898
2021-09-30 14:50:00,115.645,115.78,115.6,115.78,3367
2021-09-30 14:45:00,115.415,115.685,115.415,115.685,3229
2021-09-30 14:40:00,115.485,115.485,115.43,115.45,1776
2021-09-30 14:35:00,115.31,115.47,115.265,115.47,3108
2021-09-30 14:30:00,115.13,115.26,115.09,115.25,5378
2021-09-30 14:25:00,115.3,115.3,115.17,115.17,4942
2021-09-30 14:20:00,115.57,115.6,115.25,115.25,4361
2021-09-30 14:15:00,115.61,115.645,115.545,115.59,10654
2021-09-30 14:10:00,115.55,115.73,115.505,115.7,4647
2021-09-30 14:05:00,115.36,115.73,115.36,115.58,4090
2021-09-30 14:00:00,115.34,115.37,115.29,115.37,3605
2021-09-30 13:55:00,115.27,115.35,115.27,115.3205,2986
2021-09-30 13:50:00,115.12,115.25,115.12,115.25,3354
2021-09-30 13:45:00,115.19,115.24,115.08,115.08,2381
2021-09-30 13:40:00,114.97,115.19,114.97,115.16,5535
2021-09-30 13:35:00,115.12,115.16,114.97,114.97,4095
2021-09-30 13:30:00,115.255,115.32,115.255,115.31,2095
2021-09-30 13:25:00,115.6,115.6,115.435,115.435,1503
2021-09-30 13:20:00,115.4948,115.66,115.47,115.62,3701
2021-09-30 13:15:00,115.63,115.64,115.47,115.52,2600
2021-09-30 13:10:00,115.51,115.64,115.51,115.64,1209
2021-09-30 13:05:00,115.44,115.54,115.41,115.52,2959
2021-09-30 13:00:00,115.5,115.54,115.28,115.46,3241
2021-09-30 12:55:00,115.61,115.67,115.58,115.62,4474
2021-09-30 12:50:00,115.36,115.63,115.31,115.63,2246
2021-09-30 12:45:00,115.4125,115.45,115.37,115.44,3217
2021-09-30 12:40:00,115.33,115.45,115.3169,115.43,4868
2021-09-30 12:35:00,115.27,115.41,115.1,115.3,5706
2021-09-30 12:30:00,115.49,115.58,115.35,115.375,3814
2021-09-30 12:25:00,115.58,115.645,115.49,115.49,6557
2021-09-30 12:20:00,115.495,115.59,115.45,115.59,3243
2021-09-30 12:15:00,115.41,115.59,115.37,115.48,6112
2021-09-30 12:10:00,115.915,115.93,115.54,115.54,2163
2021-09-30 12:05:00,115.95,116.01,115.9,115.97,4953
2021-09-30 12:00:00,116.09,116.09,115.91,115.99,1510
2021-09-30 11:55:00,115.97,116.08,115.84,116.08,8218
2021-09-30 11:50:00,115.9344,115.945,115.74,115.92,12386
2021-09-30 11:45:00,115.87,116.0122,115.78,115.92,8328
2021-09-30 11:40:00,116.07,116.1,115.91,116.01,4164
2021-09-30 11:35:00,116.38,116.38,116.12,116.1482,3256
2021-09-30 11:30:00,116.22,116.33,116.22,116.31,5113
2021-09-30 11:25:00,116.44,116.49,116.17,116.17,2487
2021-09-30 11:20:00,116.58,116.67,116.45,116.45,4809
2021-09-30 11:15:00,116.43,116.55,116.41,116.55,4520
2021-09-30 11:10:00,116.42,116.44,116.34,116.44,4241
2021-09-30 11:05:00,116.36,116.57,116.32,116.51,3669
2021-09-30 11:00:00,116.53,116.55,116.37,116.435,4425
2021-09-30 10:55:00,116.49,116.64,116.49,116.57,3829
2021-09-30 10:50:00,116.62,116.67,116.55,116.67,2209
2021-09-30 10:45:00,117.03,117.03,116.72,116.79,3327
2021-09-30 10:40:00,116.965,117.02,116.79,116.955,5415
2021-09-30 10:35:00,116.72,117.1,116.68,117.03,14012
2021-09-30 10:30:00,116.93,116.93,116.67,116.67,1886
2021-09-30 10:25:00,117.13,117.13,116.88,116.88,1353
2021-09-30 10:20:00,116.87,117.24,116.84,117.22,5360
2021-09-30 10:15:00,117.34,117.44,116.94,116.94,2943
2021-09-30 10:10:00,117.77,117.87,117.345,117.39,5590
2021-09-30 10:05:00,117.5,117.81,117.45,117.79,22273
2021-09-30 10:00:00,117.5,117.575,117.48,117.52,8313
2021-09-30 09:55:00,117.38,117.57,117.302,117.57,6522
2021-09-30 09:50:00,117.06,117.43,117.06,117.42,4127
2021-09-30 09:45:00,116.75,117.16,116.67,117.09,6176
2021-09-30 09:40:00,116.46,116.64,116.405,116.52,2957
2021-09-30 09:35:00,117.05,117.12,116.38,116.61,8550
2021-09-29 16:05:00,116.35,116.35,116.35,116.35,4646
2021-09-29 16:00:00,116.34,116.36,116.25,116.29,29395
2021-09-29 15:55:00,116.54,116.59,116.32,116.32,12576
2021-09-29 15:50:00,116.65,116.69,116.52,116.52,7118
2021-09-29 15:45:00,116.7,116.73,116.65,116.73,1846
2021-09-29 15:40:00,116.9,116.9,116.75,116.76,4165
2021-09-29 15:35:00,116.94,116.96,116.88,116.89,2739
2021-09-29 15:30:00,116.9,116.99,116.86,116.94,2689
2021-09-29 15:25:00,116.94,116.94,116.88,116.89,1678
2021-09-29 15:20:00,116.95,117.02,116.95,116.95,2563
2021-09-29 15:15:00,116.79,116.875,116.74,116.875,692
2021-09-29 15:10:00,116.77,116.81,116.72,116.74,2074
2021-09-29 15:05:00,116.98,116.98,116.76,116.77,2372
2021-09-29 15:00:00,116.92,116.96,116.89,116.96,2644
2021-09-29 14:55:00,116.96,117.02,116.955,117.02,815
2021-09-29 14:50:00,117.08,117.08,116.93,116.93,1570
2021-09-29 14:45:00,117.09,117.09,117.0001,117.09,3878
2021-09-29 14:40:00,117.05,117.15,117.03,117.15,2476
2021-09-29 14:35:00,116.84,116.98,116.81,116.98,2121
2021-09-29 14:30:00,116.85,116.85,116.8,116.82,2002
2021-09-29 14:25:00,116.895,116.895,116.84,116.885,724
2021-09-29 14:20:00,116.809,116.9,116.8,116.88,1665
2021-09-29 14:15:00,116.65,116.79,116.6,116.79,4403
2021-09-29 14:10:00,116.55,116.6,116.5,116.6,2772
2021-09-29 14:05:00,116.62,116.63,116.555,116.555,4270
2021-09-29 14:00:00,116.62,116.63,116.52,116.59,8972
2021-09-29 13:55:00,116.76,116.8,116.62,116.6275,3147
2021-09-29 13:50:00,116.61,116.68,116.53,116.64,1970
2021-09-29 13:45:00,116.68,116.69,116.59,116.68,4753
2021-09-29 13:40:00,116.735,116.7421,116.69,116.69,4480
2021-09-29 13:35:00,116.87,116.87,116.78,116.78,1187
2021-09-29 13:30:00,116.88,116.91,116.88,116.91,318
2021-09-29 13:25:00,116.82,116.89,116.81,116.87,2082
2021-09-29 13:20:00,116.63,116.83,116.59,116.81,2229
2021-09-29 13:15:00,116.7,116.7,116.6,116.63,2405
2021-09-29 13:10:00,116.73,116.74,116.6,116.65,3428
2021-09-29 13:05:00,116.849,116.849,116.74,116.78,2200
2021-09-29 13:00:00,116.78,116.85,116.78,116.82,2200
2021-09-29 12:55:00,116.59,116.78,116.58,116.78,2497
2021-09-29 12:50:00,116.64,116.64,116.51,116.56,3450
2021-09-29 12:45:00,116.69,116.73,116.59,116.615,5152
2021-09-29 12:40:00,116.75,116.78,116.615,116.615,3579
2021-09-29 12:35:00,116.68,116.8,116.68,116.8,2078
2021-09-29 12:30:00,116.66,116.69,116.64,116.68,2109
2021-09-29 12:25:00,116.72,116.78,116.6,116.63,4193
2021-09-29 12:20:00,116.82,116.82,116.71,116.76,3391
2021-09-29 12:15:00,116.95,117.0,116.82,116.87,1630
2021-09-29 12:10:00,117.06,117.06,117.06,117.06,348
2021-09-29 12:05:00,117.03,117.09,116.93,116.94,1784
2021-09-29 12:00:00,117.02,117.02,116.94,117.02,1608
