time,open,high,low,close,volume
2021-09-30 19:00:00,41.87,41.87,41.87,41.87,100
2021-09-30 18:30:00,41.88,41.88,41.88,41.88,222
2021-09-30 17:55:00,42.1,42.1,42.1,42.1,100
2021-09-30 16:10:00,41.81,41.81,41.81,41.81,7648
2021-09-30 16:05:00,41.81,41.81,41.81,41.81,24477
2021-09-30 16:00:00,41.88,41.9,41.8,41.8,244115
2021-09-30 15:55:00,41.99,42.0,41.85,41.875,156412
2021-09-30 15:50:00,41.99,42.02,41.97,42.0,64131
2021-09-30 15:45:00,42.05,42.0659,41.97,42.0,40434
2021-09-30 15:40:00,42.13,42.13,42.045,42.05,43606
2021-09-30 15:35:00,42.06,42.15,42.04,42.13,42421
2021-09-30 15:30:00,42.075,42.1,42.05,42.07,28787
2021-09-30 15:25:00,42.13,42.16,42.075,42.075,30391
2021-09-30 15:20:00,42.17,42.22,42.14,42.14,27714
2021-09-30 15:15:00,42.15,42.195,42.145,42.165,18613
2021-09-30 15:10:00,42.16,42.175,42.13,42.15,16949
2021-09-30 15:05:00,42.15,42.2,42.145,42.16,16439
2021-09-30 15:00:00,42.195,42.22,42.15,42.16,19645
2021-09-30 14:55:00,42.205,42.23,42.175,42.2,28503
2021-09-30 14:50:00,42.14,42.2101,42.14,42.2,37338
2021-09-30 14:45:00,42.04,42.14,42.04,42.14,27980
2021-09-30 14:40:00,42.055,42.08,42.04,42.04,18805
2021-09-30 14:35:00,41.98,42.06,41.98,42.05,26716
2021-09-30 14:30:00,41.94,41.995,41.94,41.98,25557
2021-09-30 14:25:00,41.94,41.96,41.915,41.945,34874
2021-09-30 14:20:00,42.0,42.0,41.935,41.935,11941
2021-09-30 14:15:00,41.995,42.02,41.97,42.005,19673
2021-09-30 14:10:00,41.9433,42.02,41.9433,42.0,23997
2021-09-30 14:05:00,41.91,41.955,41.905,41.94,30053
2021-09-30 14:00:00,41.94,41.94,41.895,41.91,21364
2021-09-30 13:55:00,41.975,41.98,41.94,41.95,31852
2021-09-30 13:50:00,41.965,41.99,41.96,41.975,12999
2021-09-30 13:45:00,41.945,41.97,41.94,41.965,21435
2021-09-30 13:40:00,41.93,41.95,41.9075,41.945,18454
2021-09-30 13:35:00,41.94,41.96,41.93,41.94,10624
2021-09-30 13:30:00,42.005,42.005,41.93,41.94,30629
2021-09-30 13:25:00,42.03,42.05,42.01,42.01,13381
2021-09-30 13:20:00,42.02,42.035,41.975,42.03,19797
2021-09-30 13:15:00,42.04,42.04,42.005,42.025,13831
2021-09-30 13:10:00,42.05,42.055,42.02,42.045,13997
2021-09-30 13:05:00,42.01,42.055,42.0063,42.055,14382
2021-09-30 13:00:00,42.02,42.02,41.985,42.005,12706
2021-09-30 12:55:00,42.07,42.07,42.02,42.025,13338
2021-09-30 12:50:00,42.04,42.08,42.03,42.08,9208
2021-09-30 12:45:00,42.09,42.1,42.03,42.04,9371
2021-09-30 12:40:00,42.04,42.115,42.04,42.095,25445
2021-09-30 12:35:00,41.98,42.04,41.96,42.04,16388
2021-09-30 12:30:00,42.0,42.02,41.965,41.98,38987
2021-09-30 12:25:00,42.05,42.05,41.98,42.0,26996
2021-09-30 12:20:00,42.04,42.045,42.01,42.0446,9562
2021-09-30 12:15:00,42.07,42.08,42.03,42.04,20351
2021-09-30 12:10:00,42.12,42.14,42.07,42.07,12033
2021-09-30 12:05:00,42.13,42.18,42.1,42.11,21485
2021-09-30 12:00:00,42.1,42.12,42.06,42.12,17804
2021-09-30 11:55:00,41.9731,42.105,41.9731,42.105,22575
2021-09-30 11:50:00,42.022,42.06,41.97,41.97,40300
2021-09-30 11:45:00,42.07,42.08,41.995,42.02,36316
2021-09-30 11:40:00,42.09,42.12,42.08,42.08,27472
2021-09-30 11:35:00,42.18,42.195,42.085,42.095,52406
2021-09-30 11:30:00,42.17,42.19,42.155,42.18,23696
2021-09-30 11:25:00,42.24,42.24,42.16,42.16,19259
2021-09-30 11:20:00,42.245,42.27,42.23,42.235,21915
2021-09-30 11:15:00,42.215,42.2425,42.21,42.2425,10917
2021-09-30 11:10:00,42.23,42.23,42.165,42.2,14577
2021-09-30 11:05:00,42.25,42.28,42.19,42.23,19382
2021-09-30 11:00:00,42.17,42.255,42.14,42.255,17239
2021-09-30 10:55:00,42.18,42.21,42.16,42.17,23863
2021-09-30 10:50:00,42.135,42.22,42.13,42.2,17573
2021-09-30 10:45:00,42.32,42.32,42.135,42.135,79296
2021-09-30 10:40:00,42.31,42.34,42.28,42.33,47269
2021-09-30 10:35:00,42.325,42.3512,42.31,42.32,18387
2021-09-30 10:30:00,42.39,42.39,42.285,42.325,20996
2021-09-30 10:25:00,42.4,42.425,42.38,42.385,16500
2021-09-30 10:20:00,42.24,42.42,42.235,42.4,20197
2021-09-30 10:15:00,42.29,42.32,42.2,42.225,43600
2021-09-30 10:10:00,42.43,42.435,42.2921,42.2921,54606
2021-09-30 10:05:00,42.53,42.59,42.41,42.44,52217
2021-09-30 10:00:00,42.621,42.65,42.55,42.55,35552
2021-09-30 09:55:00,42.53,42.68,42.51,42.64,35398
2021-09-30 09:50:00,42.68,42.68,42.49,42.53,69070
2021-09-30 09:45:00,42.71,42.8,42.63,42.66,19321
2021-09-30 09:40:00,42.67,42.72,42.59,42.71,37932
2021-09-30 09:35:00,42.87,42.97,42.66,42.66,47495
2021-09-30 09:15:00,42.99,42.99,42.99,42.99,100
2021-09-30 09:10:00,42.99,42.99,42.99,42.99,100
2021-09-30 08:50:00,43.3,43.3,43.3,43.3,301
2021-09-30 08:05:00,43.3996,43.3996,43.3996,43.3996,100
2021-09-29 17:00:00,42.85,42.85,42.85,42.85,41896
2021-09-29 16:05:00,42.85,42.85,42.85,42.85,23919
2021-09-29 16:00:00,42.79,42.85,42.77,42.85,154211
2021-09-29 15:55:00,42.85,42.86,42.78,42.795,68907
2021-09-29 15:50:00,42.87,42.875,42.83,42.855,50507
2021-09-29 15:45:00,42.93,42.93,42.85,42.87,31755
2021-09-29 15:40:00,42.98,42.98,42.885,42.935,29227
2021-09-29 15:35:00,42.93,42.98,42.91,42.98,37794
2021-09-29 15:30:00,42.91,42.935,42.89,42.93,24702
2021-09-29 15:25:00,42.905,42.92,42.87,42.91,19051
2021-09-29 15:20:00,42.91,42.95,42.905,42.905,15455
2021-09-29 15:15:00,42.88,42.917,42.87,42.91,17173
2021-09-29 15:10:00,42.84,42.9,42.83,42.88,21932
2021-09-29 15:05:00,42.87,42.9,42.835,42.835,18447
2021-09-29 15:00:00,42.92,42.93,42.86,42.865,17015
2021-09-29 14:55:00,42.95,42.95,42.895,42.92,12383
2021-09-29 14:50:00,42.94,42.955,42.89,42.925,25271
2021-09-29 14:45:00,42.985,42.9984,42.93,42.93,37387
2021-09-29 14:40:00,42.96,42.99,42.96,42.99,20482
2021-09-29 14:35:00,42.92,42.97,42.92,42.965,24599
2021-09-29 14:30:00,42.89,42.925,42.89,42.925,30328
2021-09-29 14:25:00,42.84,42.895,42.84,42.89,13820
2021-09-29 14:20:00,42.84,42.85,42.815,42.83,10747
2021-09-29 14:15:00,42.8,42.84,42.795,42.84,9017
2021-09-29 14:10:00,42.775,42.795,42.76,42.79,11855
2021-09-29 14:05:00,42.76,42.78,42.755,42.775,8552
2021-09-29 14:00:00,42.725,42.755,42.72,42.75,11968
2021-09-29 13:55:00,42.74,42.76,42.72,42.725,11305
2021-09-29 13:50:00,42.76,42.79,42.73,42.74,11882
2021-09-29 13:45:00,42.75,42.78,42.75,42.76,12547
2021-09-29 13:40:00,42.7899,42.805,42.75,42.77,9013
2021-09-29 13:35:00,42.775,42.8,42.765,42.79,19081
2021-09-29 13:30:00,42.68,42.785,42.68,42.775,24630
2021-09-29 13:25:00,42.7,42.7,42.655,42.67,22047
2021-09-29 13:20:00,42.73,42.73,42.7,42.7,9607
2021-09-29 13:15:00,42.79,42.8,42.74,42.74,13303
2021-09-29 13:10:00,42.77,42.79,42.76,42.79,8898
2021-09-29 13:05:00,42.81,42.81,42.765,42.765,12105
2021-09-29 13:00:00,42.82,42.83,42.785,42.82,10872
2021-09-29 12:55:00,42.78,42.84,42.78,42.8287,13171
2021-09-29 12:50:00,42.78,42.81,42.77,42.78,13524
2021-09-29 12:45:00,42.77,42.81,42.76,42.7878,10122
2021-09-29 12:40:00,42.79,42.82,42.765,42.765,14877
2021-09-29 12:35:00,42.81,42.83,42.78,42.78,15395
2021-09-29 12:30:00,42.78,42.82,42.765,42.8,8826
2021-09-29 12:25:00,42.73,42.8,42.72,42.78,21420
2021-09-29 12:20:00,42.74,42.74,42.7,42.725,13012
2021-09-29 12:15:00,42.74,42.76,42.735,42.74,16861
