time,open,high,low,close,volume
2021-09-30 20:00:00,272.0,272.0,272.0,272.0,162
2021-09-30 19:55:00,271.65,272.0,271.65,272.0,1887
2021-09-30 18:05:00,271.35,271.35,271.35,271.35,100
2021-09-30 17:35:00,271.24,271.24,271.24,271.24,201
2021-09-30 17:25:00,271.46,271.46,271.46,271.46,100
2021-09-30 17:15:00,271.5,271.5,271.5,271.5,313
2021-09-30 17:00:00,271.36,271.36,271.23,271.23,1044
2021-09-30 16:20:00,271.31,272.34,271.22,272.34,643
2021-09-30 16:15:00,271.76,271.77,271.22,271.75,6827
2021-09-30 16:10:00,271.25,271.28,271.22,271.22,26661
2021-09-30 16:05:00,271.22,271.25,271.22,271.22,94809
2021-09-30 16:00:00,271.98,271.98,271.11,271.15,370341
2021-09-30 15:55:00,271.83,272.44,271.66,272.01,217452
2021-09-30 15:50:00,271.98,272.14,271.67,271.83,104116
2021-09-30 15:45:00,272.33,272.47,271.93,271.98,78320
2021-09-30 15:40:00,272.7424,272.7424,272.26,272.34,70743
2021-09-30 15:35:00,272.22,272.9,272.16,272.71,75257
2021-09-30 15:30:00,272.28,272.5548,272.25,272.2771,58390
2021-09-30 15:25:00,272.52,272.52,272.24,272.315,35221
2021-09-30 15:20:00,272.59,272.92,272.48,272.61,37230
2021-09-30 15:15:00,272.24,272.6599,272.24,272.55,39745
2021-09-30 15:10:00,271.86,272.39,271.84,272.19,34227
2021-09-30 15:05:00,271.935,272.13,271.65,271.82,38968
2021-09-30 15:00:00,272.43,272.43,271.89,271.89,47049
2021-09-30 14:55:00,272.62,273.03,272.4,272.41,45639
2021-09-30 14:50:00,272.7,272.83,272.42,272.65,45337
2021-09-30 14:45:00,272.375,272.86,272.2857,272.74,28153
2021-09-30 14:40:00,273.0,273.1,272.35,272.35,44339
2021-09-30 14:35:00,272.93,273.04,272.7,273.04,52050
2021-09-30 14:30:00,272.745,272.95,272.59,272.9,46027
2021-09-30 14:25:00,272.58,272.75,272.47,272.745,37181
2021-09-30 14:20:00,273.13,273.17,272.58,272.58,42464
2021-09-30 14:15:00,273.37,273.37,273.06,273.16,80693
2021-09-30 14:10:00,272.92,273.45,272.915,273.42,36371
2021-09-30 14:05:00,272.785,273.355,272.7,272.8701,62287
2021-09-30 14:00:00,272.81,272.91,272.68,272.77,26747
2021-09-30 13:55:00,272.4,272.9,272.35,272.9,33186
2021-09-30 13:50:00,272.66,272.7009,272.18,272.35,36866
2021-09-30 13:45:00,272.76,272.84,272.46,272.65,37529
2021-09-30 13:40:00,272.25,272.82,272.17,272.72,36996
2021-09-30 13:35:00,272.0,272.25,271.9,272.24,39187
2021-09-30 13:30:00,272.04,272.38,271.975,271.99,43764
2021-09-30 13:25:00,272.47,272.59,271.94,272.02,43349
2021-09-30 13:20:00,272.2,272.47,272.15,272.45,43386
2021-09-30 13:15:00,272.15,272.28,271.99,272.15,37274
2021-09-30 13:10:00,271.94,272.11,271.7,272.11,35198
2021-09-30 13:05:00,271.34,271.9499,271.16,271.9499,34003
2021-09-30 13:00:00,271.42,271.42,270.93,271.2952,33475
2021-09-30 12:55:00,271.28,271.635,271.21,271.49,29812
2021-09-30 12:50:00,270.96,271.39,270.68,271.36,27688
2021-09-30 12:45:00,271.24,271.34,270.88,270.955,27303
2021-09-30 12:40:00,271.05,271.48,270.9,271.21,34088
2021-09-30 12:35:00,270.89,271.2,270.55,271.1741,30972
2021-09-30 12:30:00,271.01,271.26,270.93,270.95,29882
2021-09-30 12:25:00,270.71,271.6,270.71,270.94,49028
2021-09-30 12:20:00,270.68,271.0299,270.64,270.711,30556
2021-09-30 12:15:00,270.68,270.93,270.44,270.765,36167
2021-09-30 12:10:00,271.04,271.13,270.61,270.68,38529
2021-09-30 12:05:00,271.34,271.42,270.91,270.91,23923
2021-09-30 12:00:00,271.37,271.46,271.04,271.39,26444
2021-09-30 11:55:00,271.71,271.82,271.08,271.45,40224
2021-09-30 11:50:00,271.7858,271.84,271.32,271.72,51863
2021-09-30 11:45:00,272.43,272.43,271.6,271.75,56288
2021-09-30 11:40:00,272.75,272.8971,272.26,272.42,40391
2021-09-30 11:35:00,274.05,274.15,272.93,272.93,39036
2021-09-30 11:30:00,273.94,274.05,273.7,274.005,32669
2021-09-30 11:25:00,273.77,274.26,273.6244,273.94,54708
2021-09-30 11:20:00,273.24,274.1,273.19,273.83,67039
2021-09-30 11:15:00,272.842,273.48,272.842,273.16,58812
2021-09-30 11:10:00,272.32,273.08,272.2,272.87,59311
2021-09-30 11:05:00,272.07,272.355,271.95,272.3,36976
2021-09-30 11:00:00,272.0792,272.34,271.71,272.105,81036
2021-09-30 10:55:00,271.83,272.255,271.7,272.16,70895
2021-09-30 10:50:00,272.01,272.14,271.7,271.905,35972
2021-09-30 10:45:00,271.82,272.35,271.31,272.01,64430
2021-09-30 10:40:00,272.45,272.485,271.83,271.91,34211
2021-09-30 10:35:00,272.66,272.905,271.81,272.36,69557
2021-09-30 10:30:00,272.34,272.89,272.31,272.64,36277
2021-09-30 10:25:00,272.9,273.27,272.36,272.48,41978
2021-09-30 10:20:00,272.28,273.24,272.28,272.9142,57638
2021-09-30 10:15:00,271.29,272.5,271.11,272.27,87908
2021-09-30 10:10:00,271.82,271.88,270.7001,271.27,44963
2021-09-30 10:05:00,271.9099,272.04,271.27,271.78,42681
2021-09-30 10:00:00,272.71,272.86,271.7,271.835,56332
2021-09-30 09:55:00,272.72,272.8,272.08,272.7096,41604
2021-09-30 09:50:00,272.44,272.9,271.9,272.65,60048
2021-09-30 09:45:00,272.16,272.69,271.8,272.445,83543
2021-09-30 09:40:00,273.2,273.84,272.14,272.25,91137
2021-09-30 09:35:00,270.65,273.39,270.52,273.0701,198548
2021-09-30 09:15:00,270.4,270.4,270.4,270.4,177
2021-09-30 09:05:00,271.59,271.59,270.5,270.5,1191
2021-09-30 08:55:00,271.28,271.28,271.28,271.28,135
2021-09-30 08:45:00,270.96,270.96,270.96,270.96,336
2021-09-30 08:15:00,270.9,270.9,270.9,270.9,152
2021-09-30 08:10:00,270.89,270.89,270.89,270.89,321
2021-09-30 08:05:00,271.5,271.8,269.824,269.824,863
2021-09-30 07:20:00,271.5,271.72,271.5,271.5,2923
2021-09-30 07:15:00,271.5,271.6,271.5,271.5,2840
2021-09-30 07:10:00,271.8,271.8,271.0,271.0,2383
2021-09-30 07:05:00,271.84,271.84,271.8,271.8,1112
2021-09-30 05:45:00,272.75,272.75,272.75,272.75,1000
2021-09-30 04:55:00,272.75,272.75,272.75,272.75,148
2021-09-30 04:10:00,272.93,272.93,272.81,272.81,690
2021-09-29 20:00:00,271.2001,271.2001,271.2001,271.2001,296
2021-09-29 19:55:00,271.2,271.2,271.2,271.2,400
2021-09-29 19:25:00,270.95,270.95,270.95,270.95,365
2021-09-29 19:20:00,270.94,270.95,270.94,270.95,1000
2021-09-29 19:05:00,270.6,270.6,270.6,270.6,100
2021-09-29 16:45:00,270.57,270.57,270.56,270.56,807
2021-09-29 16:20:00,270.54,270.54,270.54,270.54,220
2021-09-29 16:10:00,270.5,270.5,270.5,270.5,768
2021-09-29 16:05:00,270.5,271.63,270.5,270.5,49393
2021-09-29 16:00:00,270.77,270.8,270.245,270.53,275074
2021-09-29 15:55:00,271.49,271.52,270.82,270.82,101579
2021-09-29 15:50:00,271.55,271.78,271.42,271.53,69851
2021-09-29 15:45:00,271.93,271.96,271.52,271.58,58319
2021-09-29 15:40:00,272.09,272.285,271.86,271.92,66099
2021-09-29 15:35:00,272.27,272.39,271.98,272.04,38135
2021-09-29 15:30:00,272.3101,272.56,272.22,272.29,44527
2021-09-29 15:25:00,272.73,272.8,272.325,272.35,32266
2021-09-29 15:20:00,273.05,273.09,272.68,272.7097,30257
2021-09-29 15:15:00,272.91,273.1,272.895,273.1,23813
2021-09-29 15:10:00,272.78,273.16,272.75,272.92,30988
2021-09-29 15:05:00,273.08,273.32,272.73,272.78,52044
2021-09-29 15:00:00,272.99,273.11,272.76,273.05,34075
2021-09-29 14:55:00,272.69,272.96,272.67,272.96,27289
2021-09-29 14:50:00,272.93,273.128,272.56,272.64,43864
2021-09-29 14:45:00,272.5925,273.08,272.529,272.9358,38793
2021-09-29 14:40:00,272.67,272.7701,272.475,272.66,24501
2021-09-29 14:35:00,272.4,272.745,272.36,272.723,24023
2021-09-29 14:30:00,272.52,272.67,272.32,272.33,22348
2021-09-29 14:25:00,272.57,272.62,272.47,272.56,44376
2021-09-29 14:20:00,272.88,272.9106,272.49,272.57,33755
2021-09-29 14:15:00,272.14,272.8,272.11,272.8,58576
2021-09-29 14:10:00,271.6,272.22,271.52,272.09,35242
2021-09-29 14:05:00,271.29,271.61,271.29,271.56,23482
2021-09-29 14:00:00,271.02,271.31,270.94,271.3,22149
2021-09-29 13:55:00,270.64,271.15,270.64,270.92,24001
2021-09-29 13:50:00,271.02,271.19,270.65,270.68,24231
2021-09-29 13:45:00,270.6218,271.22,270.44,271.03,47384
2021-09-29 13:40:00,270.73,270.825,270.4801,270.6776,18703
2021-09-29 13:35:00,270.9926,271.03,270.49,270.8,30226
2021-09-29 13:30:00,271.59,271.59,270.82,271.0,26402
2021-09-29 13:25:00,271.35,271.56,271.29,271.55,21017
2021-09-29 13:20:00,271.07,271.5,270.91,271.35,23079
2021-09-29 13:15:00,271.24,271.57,270.97,271.03,37808
2021-09-29 13:10:00,271.02,271.33,270.87,271.275,18697
2021-09-29 13:05:00,271.24,271.33,270.93,270.98,29466
2021-09-29 13:00:00,271.405,271.55,271.25,271.275,50173
2021-09-29 12:55:00,270.71,271.36,270.67,271.33,30013
2021-09-29 12:50:00,270.265,270.745,270.0794,270.72,36238
2021-09-29 12:45:00,270.24,270.67,270.21,270.23,27024
2021-09-29 12:40:00,270.03,270.33,269.94,270.33,35960
2021-09-29 12:35:00,269.9158,270.22,269.24,270.17,39224
2021-09-29 12:30:00,269.62,270.03,269.34,269.94,43166
2021-09-29 12:25:00,270.61,270.61,269.51,269.61,95579
2021-09-29 12:20:00,270.65,270.72,270.41,270.68,31539
2021-09-29 12:15:00,271.09,271.13,270.45,270.59,82465
2021-09-29 12:10:00,271.5,271.5,271.07,271.106,13809
2021-09-29 12:05:00,271.31,271.57,271.16,271.54,27420
2021-09-29 12:00:00,271.24,271.4,271.0467,271.3222,20946
2021-09-29 11:55:00,271.62,271.7696,271.205,271.205,38146
2021-09-29 11:50:00,270.81,271.61,270.725,271.49,49078
2021-09-29 11:45:00,270.26,270.81,270.21,270.81,57329
2021-09-29 11:40:00,270.51,270.51,270.21,270.2381,24160
2021-09-29 11:35:00,270.39,270.895,270.364,270.51,33488
2021-09-29 11:30:00,270.88,271.01,270.23,270.36,43664
2021-09-29 11:25:00,270.93,271.01,270.62,270.89,40391
2021-09-29 11:20:00,271.66,271.66,270.81,270.9669,47673
2021-09-29 11:15:00,272.22,272.23,271.58,271.6664,30874
2021-09-29 11:10:00,272.5,272.725,272.19,272.19,25362
2021-09-29 11:05:00,272.86,272.9,272.24,272.43,36823
2021-09-29 11:00:00,272.73,272.88,272.595,272.835,36070
2021-09-29 10:55:00,272.95,273.05,272.56,272.69,63336
2021-09-29 10:50:00,272.21,273.21,271.89,272.92,40595
2021-09-29 10:45:00,271.94,272.29,271.82,272.2759,26524
2021-09-29 10:40:00,271.94,272.265,271.7,271.93,36976
2021-09-29 10:35:00,272.24,272.27,271.45,271.87,49734
2021-09-29 10:30:00,272.45,272.95,272.245,272.245,45951
2021-09-29 10:25:00,272.12,272.76,272.12,272.53,30407
2021-09-29 10:20:00,271.69,272.25,271.645,272.15,29053
2021-09-29 10:15:00,272.42,272.42,271.48,271.64,35623
2021-09-29 10:10:00,272.57,272.76,272.05,272.41,35325
2021-09-29 10:05:00,272.85,273.67,272.58,272.63,108984
