time,open,high,low,close,volume
2021-09-30 17:10:00,151.17,151.17,151.17,151.17,418
2021-09-30 16:25:00,151.47,151.47,151.47,151.47,1755
2021-09-30 16:10:00,151.47,151.47,151.47,151.47,2715
2021-09-30 16:05:00,151.47,151.47,151.47,151.47,10854
2021-09-30 16:00:00,151.78,151.81,151.4,151.4,85380
2021-09-30 15:55:00,152.04,152.1,151.65,151.795,42851
2021-09-30 15:50:00,152.32,152.32,152.04,152.06,24492
2021-09-30 15:45:00,152.455,152.485,152.275,152.33,18669
2021-09-30 15:40:00,152.73,152.73,152.43,152.455,20385
2021-09-30 15:35:00,152.545,152.85,152.46,152.74,17603
2021-09-30 15:30:00,152.5,152.64,152.46,152.57,13116
2021-09-30 15:25:00,152.7,152.71,152.48,152.5,11079
2021-09-30 15:20:00,152.925,153.1,152.75,152.755,11834
2021-09-30 15:15:00,152.74,152.95,152.73,152.9,8413
2021-09-30 15:10:00,152.59,152.77,152.59,152.7,9626
2021-09-30 15:05:00,152.76,152.86,152.51,152.55,10896
2021-09-30 15:00:00,152.87,152.95,152.77,152.77,8844
2021-09-30 14:55:00,153.0,153.17,152.86,152.925,8483
2021-09-30 14:50:00,152.78,152.99,152.77,152.895,6206
2021-09-30 14:45:00,152.535,152.77,152.535,152.77,7144
2021-09-30 14:40:00,152.7099,152.7099,152.44,152.61,5005
2021-09-30 14:35:00,152.32,152.48,152.28,152.48,4955
2021-09-30 14:30:00,152.21,152.265,152.09,152.25,5021
2021-09-30 14:25:00,152.27,152.35,152.15,152.15,5159
2021-09-30 14:20:00,152.73,152.73,152.32,152.32,6758
2021-09-30 14:15:00,152.79,152.805,152.64,152.74,6463
2021-09-30 14:10:00,152.4,152.9,152.3524,152.84,25851
2021-09-30 14:05:00,152.3,152.54,152.3,152.435,9553
2021-09-30 14:00:00,152.24,152.3,152.19,152.27,6073
2021-09-30 13:55:00,152.42,152.49,152.19,152.29,13520
2021-09-30 13:50:00,152.23,152.4,152.23,152.37,4509
2021-09-30 13:45:00,152.165,152.32,152.13,152.22,5833
2021-09-30 13:40:00,151.98,152.21,151.96,152.1576,7813
2021-09-30 13:35:00,152.15,152.18,151.94,152.06,5718
2021-09-30 13:30:00,152.31,152.34,152.22,152.22,4270
2021-09-30 13:25:00,152.62,152.63,152.34,152.36,6752
2021-09-30 13:20:00,152.65,152.74,152.48,152.63,7395
2021-09-30 13:15:00,152.62,152.69,152.54,152.63,5460
2021-09-30 13:10:00,152.37,152.59,152.37,152.59,3910
2021-09-30 13:05:00,152.29,152.44,152.16,152.43,5659
2021-09-30 13:00:00,152.4,152.4,152.29,152.31,4738
2021-09-30 12:55:00,152.37,152.46,152.3,152.41,6610
2021-09-30 12:50:00,152.14,152.32,151.99,152.32,4910
2021-09-30 12:45:00,152.19,152.22,152.05,152.13,6189
2021-09-30 12:40:00,151.95,152.21,151.92,152.13,7460
2021-09-30 12:35:00,151.88,151.95,151.77,151.89,6825
2021-09-30 12:30:00,151.9,152.12,151.9,151.91,7997
2021-09-30 12:25:00,152.1,152.21,151.75,151.855,12677
2021-09-30 12:20:00,152.175,152.34,152.09,152.11,14484
2021-09-30 12:15:00,151.96,152.1,151.91,152.1,12173
2021-09-30 12:10:00,152.56,152.56,151.95,151.95,5931
2021-09-30 12:05:00,152.64,152.79,152.495,152.57,9020
2021-09-30 12:00:00,152.66,152.71,152.55,152.7,7041
2021-09-30 11:55:00,152.1,152.56,152.1,152.56,18238
2021-09-30 11:50:00,152.445,152.47,152.02,152.08,8523
2021-09-30 11:45:00,152.85,152.85,152.33,152.48,11499
2021-09-30 11:40:00,152.92,152.94,152.66,152.89,15548
2021-09-30 11:35:00,152.86,153.11,152.67,152.9,21139
