time,open,high,low,close,volume
2021-09-29 16:05:00,801.58,801.58,801.58,801.58,5222
2021-09-29 16:00:00,801.17,802.46,800.84,801.02,34824
2021-09-29 15:55:00,803.7,803.94,800.59,800.985,18435
2021-09-29 15:50:00,801.28,804.12,801.13,804.12,10706
2021-09-29 15:45:00,802.69,802.73,801.34,801.615,4494
2021-09-29 15:40:00,804.61,804.61,802.78,803.43,5306
2021-09-29 15:35:00,804.25,804.63,804.08,804.61,3991
2021-09-29 15:30:00,805.09,805.6075,804.26,804.5225,5428
2021-09-29 15:25:00,805.03,805.44,804.66,805.105,2104
2021-09-29 15:20:00,804.82,805.29,804.385,805.29,1568
2021-09-29 15:15:00,804.21,804.21,803.47,804.06,1543
2021-09-29 15:10:00,802.65,804.16,802.65,804.16,4605
2021-09-29 15:05:00,804.215,804.29,803.7,803.7,2184
2021-09-29 15:00:00,804.255,804.59,803.89,804.21,5355
2021-09-29 14:55:00,804.25,804.4,803.37,803.56,2805
2021-09-29 14:50:00,803.43,804.265,802.85,803.86,10172
2021-09-29 14:45:00,804.2,804.2,802.335,803.03,2694
2021-09-29 14:40:00,804.155,804.66,803.98,804.205,2413
2021-09-29 14:35:00,804.3,804.3,804.0,804.145,1130
2021-09-29 14:30:00,803.71,804.025,803.41,804.025,922
2021-09-29 14:25:00,803.21,804.345,802.86,804.345,1982
2021-09-29 14:20:00,804.0,804.0,803.995,803.995,527
2021-09-29 14:15:00,802.86,804.56,802.86,804.56,2585
2021-09-29 14:10:00,802.06,802.64,802.06,802.21,1064
2021-09-29 14:05:00,802.44,802.91,802.44,802.535,747
2021-09-29 14:00:00,800.83,802.16,800.83,802.16,1232
2021-09-29 13:55:00,801.48,802.385,801.48,802.345,973
2021-09-29 13:50:00,801.39,801.66,801.35,801.35,1741
2021-09-29 13:45:00,800.995,801.1,800.42,801.1,1317
2021-09-29 13:40:00,802.76,802.76,801.0015,801.0015,6410
2021-09-29 13:35:00,802.09,802.9,802.09,802.86,1797
2021-09-29 13:30:00,803.16,803.18,801.94,802.025,2984
2021-09-29 13:25:00,803.18,804.005,802.94,802.94,1263
2021-09-29 13:20:00,804.31,804.31,803.85,803.9,1327
2021-09-29 13:15:00,805.3,805.3,804.05,804.05,1688
2021-09-29 13:10:00,803.77,804.66,803.77,804.66,1044
2021-09-29 13:05:00,804.44,804.68,804.44,804.68,774
2021-09-29 13:00:00,804.2,804.7,804.2,804.7,1392
2021-09-29 12:55:00,803.55,804.68,803.55,804.68,1319
2021-09-29 12:50:00,803.425,803.425,802.71,802.71,963
2021-09-29 12:45:00,803.8,803.97,803.69,803.97,1108
2021-09-29 12:40:00,803.2,804.06,803.2,803.88,2144
2021-09-29 12:35:00,803.1,803.1,802.24,802.69,2405
2021-09-29 12:30:00,802.52,803.02,801.86,802.96,12146
2021-09-29 12:25:00,801.235,802.95,801.235,802.95,1484
2021-09-29 12:20:00,801.14,801.75,801.14,801.75,2470
2021-09-29 12:15:00,800.415,802.09,800.415,802.09,7563
2021-09-29 12:10:00,801.09,801.28,800.545,800.67,12840
2021-09-29 12:05:00,801.265,801.285,800.64,800.875,6024
2021-09-29 12:00:00,801.83,802.38,801.21,801.61,3138
2021-09-29 11:55:00,803.21,803.21,800.89,801.13,2184
2021-09-29 11:50:00,802.43,803.02,802.43,803.0,1709
2021-09-29 11:45:00,801.5,802.375,801.5,802.275,2771
2021-09-29 11:40:00,803.08,803.08,802.21,802.21,1466
2021-09-29 11:35:00,803.12,803.86,803.12,803.46,1503
2021-09-29 11:30:00,803.11,803.635,802.7007,802.7007,2510
2021-09-29 11:25:00,803.7,803.95,802.59,803.2,2399
2021-09-29 11:20:00,804.59,804.59,804.11,804.36,2247
2021-09-29 11:15:00,805.57,805.6,804.01,804.1,2295
2021-09-29 11:10:00,807.0,807.245,805.61,805.92,2173
2021-09-29 11:05:00,806.24,806.44,805.31,806.44,1917
2021-09-29 11:00:00,807.54,807.6,804.9,805.2,4884
2021-09-29 10:55:00,805.855,807.5694,805.855,807.0875,9388
2021-09-29 10:50:00,809.035,809.59,805.695,805.765,4464
2021-09-29 10:45:00,808.33,809.9,807.625,808.795,5515
2021-09-29 10:40:00,808.49,808.49,807.76,807.76,1170
2021-09-29 10:35:00,806.36,807.34,804.44,807.34,4062
2021-09-29 10:30:00,807.34,807.34,805.66,806.0,4910
2021-09-29 10:25:00,807.99,808.43,806.58,807.165,3543
2021-09-29 10:20:00,808.68,808.89,806.26,807.95,3451
2021-09-29 10:15:00,809.8485,810.755,808.98,809.28,5005
2021-09-29 10:10:00,809.03,810.17,808.665,810.15,2984
2021-09-29 10:05:00,806.17,809.04,806.165,808.56,2499
2021-09-29 10:00:00,808.87,809.99,806.18,806.87,4465
2021-09-29 09:55:00,805.5601,809.83,805.5601,809.3,8827
2021-09-29 09:50:00,805.24,809.84,802.84,808.225,8240
2021-09-29 09:45:00,805.53,806.03,803.94,803.94,1680
2021-09-29 09:40:00,805.8,808.09,802.66,803.99,3233
2021-09-29 09:35:00,802.75,809.19,801.24,805.63,10429
2021-09-28 16:05:00,798.94,798.94,798.94,798.94,6284
2021-09-28 16:00:00,797.94,799.61,797.23,799.6,31347
2021-09-28 15:55:00,797.715,799.06,796.695,798.375,16353
2021-09-28 15:50:00,800.36,800.59,797.955,798.43,6154
2021-09-28 15:45:00,799.07,800.405,799.07,800.405,2353
2021-09-28 15:40:00,800.315,802.03,799.83,799.83,4906
2021-09-28 15:35:00,799.405,800.005,798.83,800.005,4078
2021-09-28 15:30:00,800.055,800.665,799.7,800.525,3456
2021-09-28 15:25:00,801.28,802.93,800.66,800.82,11106
2021-09-28 15:20:00,799.575,800.98,799.35,800.98,5668
2021-09-28 15:15:00,799.33,799.67,799.14,799.575,7485
2021-09-28 15:10:00,799.27,799.67,798.89,799.42,2280
2021-09-28 15:05:00,799.267,799.267,797.8202,798.55,5625
2021-09-28 15:00:00,797.69,799.99,797.37,799.63,5651
2021-09-28 14:55:00,798.47,798.48,796.37,796.37,1531
2021-09-28 14:50:00,797.37,799.02,797.37,798.47,3572
2021-09-28 14:45:00,796.025,797.64,796.025,796.9,1679
2021-09-28 14:40:00,794.59,796.65,794.15,796.65,3370
2021-09-28 14:35:00,794.95,794.95,794.38,794.38,1179
2021-09-28 14:30:00,794.55,795.05,793.79,795.05,4756
2021-09-28 14:25:00,794.098,794.195,794.098,794.19,1166
2021-09-28 14:20:00,793.15,794.68,793.15,793.72,2343
2021-09-28 14:15:00,792.55,792.55,791.29,792.23,2656
2021-09-28 14:10:00,792.06,792.95,792.06,792.85,2608
2021-09-28 14:05:00,792.56,792.78,791.86,791.86,3613
2021-09-28 14:00:00,793.26,793.711,792.87,793.06,5566
2021-09-28 13:55:00,793.93,793.93,792.9,792.9,3157
2021-09-28 13:50:00,794.91,794.92,794.5,794.5,1822
2021-09-28 13:45:00,793.75,795.4,793.68,794.41,3165
2021-09-28 13:40:00,792.36,793.5,792.36,793.27,2922
2021-09-28 13:35:00,792.95,793.38,792.63,792.745,2337
2021-09-28 13:30:00,792.7,793.64,792.7,793.355,970
2021-09-28 13:25:00,791.785,792.22,791.55,792.005,1178
2021-09-28 13:20:00,791.44,791.67,790.85,791.66,2218
2021-09-28 13:15:00,791.3,791.685,789.66,790.94,3743
2021-09-28 13:10:00,790.565,791.65,790.565,790.865,2864
2021-09-28 13:05:00,791.86,791.86,790.16,790.16,2979
2021-09-28 13:00:00,788.52,792.0,788.52,792.0,8034
2021-09-28 12:55:00,787.23,788.02,787.23,788.02,2751
2021-09-28 12:50:00,788.07,788.07,787.21,787.25,3639
2021-09-28 12:45:00,789.21,789.45,788.66,788.7,1928
2021-09-28 12:40:00,789.84,789.99,789.32,789.33,4105
2021-09-28 12:35:00,789.86,790.3,789.52,789.52,2732
2021-09-28 12:30:00,790.34,790.34,789.9,790.16,1995
2021-09-28 12:25:00,790.16,790.64,789.745,790.01,1836
2021-09-28 12:20:00,789.12,790.55,789.12,790.55,4952
2021-09-28 12:15:00,790.01,790.32,789.52,789.865,5213
2021-09-28 12:10:00,788.545,790.6,788.53,790.315,3240
2021-09-28 12:05:00,789.54,789.78,788.55,788.55,2388
2021-09-28 12:00:00,789.48,789.88,789.21,789.755,3252
2021-09-28 11:55:00,789.32,789.59,788.155,789.09,5046
2021-09-28 11:50:00,790.3,790.3,789.59,789.59,2886
2021-09-28 11:45:00,791.03,791.03,791.03,791.03,1274
2021-09-28 11:40:00,790.97,791.945,790.6253,791.86,6085
2021-09-28 11:35:00,790.595,791.75,790.595,791.335,6600
2021-09-28 11:30:00,792.645,792.67,789.91,790.39,6270
2021-09-28 11:25:00,791.23,792.25,789.99,792.17,5778
2021-09-28 11:20:00,791.235,791.6,790.54,791.17,8284
2021-09-28 11:15:00,792.41,792.455,790.44,791.43,6190
2021-09-28 11:10:00,793.675,793.675,791.26,792.43,12947
2021-09-28 11:05:00,795.78,797.37,794.0,794.4,7533
2021-09-28 11:00:00,795.5,796.52,795.1,795.1,2248
2021-09-28 10:55:00,794.96,795.94,794.33,795.72,2724
2021-09-28 10:50:00,797.35,797.65,794.51,794.51,9533
2021-09-28 10:45:00,800.11,800.11,797.51,797.51,4413
2021-09-28 10:40:00,798.42,801.81,798.42,799.59,4578
2021-09-28 10:35:00,800.685,800.685,797.87,797.87,4008
2021-09-28 10:30:00,799.1,800.185,799.1,800.185,2073
2021-09-28 10:25:00,794.95,799.85,793.4629,797.545,11206
2021-09-28 10:20:00,794.57,796.82,792.97,793.35,4297
2021-09-28 10:15:00,794.33,796.72,794.33,796.72,6962
2021-09-28 10:10:00,797.52,797.58,795.75,795.75,1485
2021-09-28 10:05:00,795.89,798.34,795.36,797.49,9342
2021-09-28 10:00:00,792.3,796.97,791.76,796.97,8606
2021-09-28 09:55:00,789.03,792.68,786.89,792.47,15357
