time,open,high,low,close,volume
2021-09-29 20:00:00,33.29,33.29,33.22,33.22,200
2021-09-29 19:55:00,33.28,33.29,33.28,33.29,2666
2021-09-29 19:50:00,33.28,33.28,33.28,33.28,263
2021-09-29 19:40:00,33.22,33.28,33.22,33.28,600
2021-09-29 19:35:00,33.28,33.28,33.28,33.28,300
2021-09-29 19:25:00,33.28,33.28,33.28,33.28,200
2021-09-29 19:05:00,33.22,33.22,33.22,33.22,100
2021-09-29 18:45:00,33.28,33.28,33.21,33.21,290
2021-09-29 18:35:00,33.25,33.25,33.25,33.25,177
2021-09-29 18:00:00,33.32,33.32,33.26,33.26,5224
2021-09-29 17:50:00,33.35,33.35,33.35,33.35,312
2021-09-29 17:45:00,33.35,33.35,33.35,33.35,100
2021-09-29 17:40:00,33.34,33.35,33.34,33.35,605
2021-09-29 17:35:00,33.3201,33.3499,33.32,33.3499,3980
2021-09-29 17:30:00,33.2,33.33,33.11,33.33,24941
2021-09-29 17:00:00,33.11,33.11,33.11,33.11,200
2021-09-29 16:55:00,33.11,33.11,33.11,33.11,1000
2021-09-29 16:45:00,33.11,33.11,33.11,33.11,342
2021-09-29 16:40:00,33.11,33.21,33.11,33.21,600
2021-09-29 16:15:00,33.12,33.12,33.11,33.12,1609
2021-09-29 16:10:00,33.11,33.11,33.11,33.11,911
2021-09-29 16:05:00,33.0,33.11,33.0,33.11,94214
2021-09-29 16:00:00,33.13,33.145,33.09,33.1,688820
2021-09-29 15:55:00,33.17,33.175,33.11,33.12,371563
2021-09-29 15:50:00,33.13,33.18,33.105,33.175,209818
2021-09-29 15:45:00,33.15,33.1554,33.1,33.13,175867
2021-09-29 15:40:00,33.19,33.19,33.135,33.155,133949
2021-09-29 15:35:00,33.13,33.189,33.1,33.185,215958
2021-09-29 15:30:00,33.165,33.2,33.13,33.14,113137
2021-09-29 15:25:00,33.205,33.215,33.1601,33.165,81025
2021-09-29 15:20:00,33.205,33.22,33.17,33.21,86146
2021-09-29 15:15:00,33.195,33.225,33.17,33.21,141870
2021-09-29 15:10:00,33.19,33.245,33.175,33.195,107930
2021-09-29 15:05:00,33.27,33.34,33.18,33.18,119118
2021-09-29 15:00:00,33.29,33.295,33.245,33.27,85093
2021-09-29 14:55:00,33.29,33.31,33.245,33.295,149286
2021-09-29 14:50:00,33.345,33.375,33.27,33.285,134149
2021-09-29 14:45:00,33.285,33.345,33.28,33.335,91342
2021-09-29 14:40:00,33.34,33.345,33.28,33.29,97412
2021-09-29 14:35:00,33.25,33.35,33.245,33.345,109504
2021-09-29 14:30:00,33.23,33.261,33.23,33.245,73408
2021-09-29 14:25:00,33.26,33.28,33.205,33.23,92921
2021-09-29 14:20:00,33.3063,33.32,33.255,33.26,99101
2021-09-29 14:15:00,33.22,33.31,33.22,33.31,139746
2021-09-29 14:10:00,33.12,33.22,33.095,33.2184,299532
2021-09-29 14:05:00,33.14,33.15,33.09,33.125,105901
2021-09-29 14:00:00,33.1,33.17,33.1,33.145,136780
2021-09-29 13:55:00,33.07,33.13,33.07,33.105,69370
2021-09-29 13:50:00,33.06,33.1,33.03,33.07,66258
2021-09-29 13:45:00,33.01,33.09,32.9942,33.07,87103
2021-09-29 13:40:00,33.04,33.04,32.97,33.015,58824
2021-09-29 13:35:00,33.09,33.0901,33.025,33.04,73885
2021-09-29 13:30:00,33.11,33.12,33.06,33.09,86755
2021-09-29 13:25:00,33.14,33.16,33.105,33.11,74324
2021-09-29 13:20:00,33.07,33.17,33.055,33.14,112642
2021-09-29 13:15:00,33.04,33.11,33.0337,33.07,91418
2021-09-29 13:10:00,33.01,33.05,33.0,33.05,71229
2021-09-29 13:05:00,33.045,33.08,32.99,33.005,175045
2021-09-29 13:00:00,33.08,33.1,33.03,33.045,78276
2021-09-29 12:55:00,33.0,33.075,32.97,33.075,105668
2021-09-29 12:50:00,32.99,33.01,32.955,33.0,72220
2021-09-29 12:45:00,33.0,33.025,32.98,32.99,76893
2021-09-29 12:40:00,33.02,33.03,32.99,33.0,106948
2021-09-29 12:35:00,32.96,33.05,32.9542,33.02,112119
2021-09-29 12:30:00,32.96,32.975,32.91,32.965,152149
2021-09-29 12:25:00,33.04,33.04,32.945,32.9708,112027
2021-09-29 12:20:00,33.05,33.0547,32.995,33.04,129649
2021-09-29 12:15:00,33.1241,33.13,33.04,33.0499,103882
2021-09-29 12:10:00,33.135,33.15,33.075,33.13,99985
2021-09-29 12:05:00,33.13,33.16,33.12,33.1306,76553
2021-09-29 12:00:00,33.11,33.14,33.07,33.13,88178
2021-09-29 11:55:00,33.07,33.12,33.04,33.11,175256
2021-09-29 11:50:00,33.069,33.09,33.0312,33.075,134228
2021-09-29 11:45:00,33.19,33.19,33.06,33.065,149486
2021-09-29 11:40:00,33.28,33.28,33.19,33.195,79851
2021-09-29 11:35:00,33.24,33.29,33.21,33.28,113642
2021-09-29 11:30:00,33.235,33.28,33.23,33.245,115050
2021-09-29 11:25:00,33.245,33.28,33.225,33.235,104482
2021-09-29 11:20:00,33.33,33.33,33.2231,33.24,93707
2021-09-29 11:15:00,33.28,33.35,33.26,33.33,82615
2021-09-29 11:10:00,33.16,33.3,33.16,33.29,146248
2021-09-29 11:05:00,33.26,33.27,33.135,33.16,244499
2021-09-29 11:00:00,33.29,33.29,33.23,33.26,189677
2021-09-29 10:55:00,33.43,33.44,33.29,33.295,157393
2021-09-29 10:50:00,33.47,33.5,33.4,33.44,161593
2021-09-29 10:45:00,33.31,33.465,33.31,33.465,131248
2021-09-29 10:40:00,33.25,33.33,33.24,33.3,192796
2021-09-29 10:35:00,33.3114,33.315,33.186,33.25,280549
2021-09-29 10:30:00,33.37,33.44,33.31,33.315,131131
2021-09-29 10:25:00,33.44,33.51,33.3722,33.38,116101
2021-09-29 10:20:00,33.49,33.535,33.42,33.44,126806
2021-09-29 10:15:00,33.5,33.55,33.429,33.48,163262
2021-09-29 10:10:00,33.43,33.55,33.41,33.51,143463
2021-09-29 10:05:00,33.61,33.7,33.39,33.425,201698
2021-09-29 10:00:00,33.74,33.77,33.46,33.6,248769
2021-09-29 09:55:00,33.67,33.825,33.64,33.7299,221333
2021-09-29 09:50:00,33.67,33.685,33.5,33.67,221127
2021-09-29 09:45:00,33.625,33.8,33.56,33.675,349666
2021-09-29 09:40:00,33.7,33.8,33.55,33.625,304684
2021-09-29 09:35:00,33.78,34.03,33.62,33.7,515465
2021-09-29 09:30:00,33.78,34.04,33.78,34.04,21415
2021-09-29 09:25:00,33.73,33.83,33.73,33.81,1935
2021-09-29 09:20:00,33.82,33.82,33.73,33.73,1256
2021-09-29 09:15:00,33.82,33.82,33.82,33.82,153
2021-09-29 09:10:00,33.87,33.87,33.85,33.85,2590
2021-09-29 09:05:00,33.83,33.88,33.83,33.86,1418
2021-09-29 08:55:00,33.79,33.79,33.79,33.79,102
2021-09-29 08:50:00,33.8,33.8,33.79,33.8,5651
2021-09-29 08:45:00,33.83,33.83,33.83,33.83,3348
2021-09-29 08:40:00,33.85,33.85,33.83,33.83,11674
2021-09-29 08:35:00,33.89,33.89,33.83,33.83,1104
2021-09-29 08:30:00,33.9,33.9,33.85,33.85,2587
2021-09-29 08:25:00,33.88,33.9,33.83,33.9,2736
2021-09-29 08:20:00,33.92,33.92,33.85,33.92,2725
2021-09-29 08:15:00,33.89,33.95,33.89,33.95,3973
2021-09-29 08:10:00,33.94,33.94,33.94,33.94,1500
2021-09-29 08:05:00,33.83,33.9,33.81,33.87,10737
2021-09-29 08:00:00,33.85,33.89,33.85,33.88,675
2021-09-29 07:50:00,33.85,33.86,33.85,33.86,500
2021-09-29 07:45:00,33.81,33.81,33.81,33.81,100
2021-09-29 07:40:00,33.84,33.84,33.84,33.84,511
2021-09-29 07:35:00,33.84,33.84,33.84,33.84,200
2021-09-29 07:30:00,33.87,33.87,33.83,33.83,3379
2021-09-29 07:25:00,33.86,33.87,33.86,33.87,1088
2021-09-29 07:10:00,33.88,33.91,33.85,33.85,4604
2021-09-29 07:05:00,33.85,33.86,33.85,33.86,817
2021-09-29 06:25:00,33.75,33.75,33.75,33.75,110
2021-09-29 04:40:00,33.44,33.44,33.44,33.44,243
2021-09-29 04:30:00,33.43,33.43,33.43,33.43,183
2021-09-29 04:20:00,33.4,33.4,33.4,33.4,200
2021-09-28 20:00:00,33.63,33.63,33.6,33.6,1522
2021-09-28 19:55:00,33.62,33.62,33.51,33.51,993
2021-09-28 19:50:00,33.41,33.64,33.41,33.64,776
2021-09-28 19:45:00,33.42,33.42,33.42,33.42,962
2021-09-28 19:40:00,33.42,33.42,33.42,33.42,128
2021-09-28 19:35:00,33.42,33.42,33.42,33.42,176
2021-09-28 19:30:00,33.5,33.5,33.5,33.5,300
2021-09-28 18:35:00,33.51,33.51,33.5,33.5,784
2021-09-28 18:20:00,33.51,33.51,33.51,33.51,200
2021-09-28 18:15:00,33.52,33.52,33.52,33.52,150
2021-09-28 17:50:00,33.5,33.5,33.5,33.5,100
2021-09-28 17:40:00,33.55,33.55,33.55,33.55,2393
2021-09-28 17:35:00,33.61,33.62,33.61,33.62,601
2021-09-28 17:30:00,33.62,33.62,33.62,33.62,350
2021-09-28 17:15:00,33.59,33.6,33.59,33.59,1517
2021-09-28 17:10:00,33.65,33.65,33.65,33.65,253
2021-09-28 17:05:00,33.6,33.6,33.6,33.6,68448
2021-09-28 17:00:00,33.46,33.46,33.46,33.46,118
2021-09-28 16:55:00,33.44,33.44,33.44,33.44,103
2021-09-28 16:15:00,33.55,33.65,33.54,33.65,5598
2021-09-28 16:10:00,33.57,33.57,33.57,33.57,8462
2021-09-28 16:05:00,33.37,33.57,33.37,33.57,90673
2021-09-28 16:00:00,33.55,33.6,33.52,33.57,948038
2021-09-28 15:55:00,33.54,33.575,33.495,33.555,578338
2021-09-28 15:50:00,33.62,33.67,33.545,33.55,298719
2021-09-28 15:45:00,33.57,33.69,33.565,33.62,332861
