time,open,high,low,close,volume
2021-10-08 16:35:00,70.76,70.76,70.76,70.76,758
2021-10-08 16:05:00,70.76,70.76,70.76,70.76,22613
2021-10-08 16:00:00,70.82,70.85,70.72,70.76,77789
2021-10-08 15:55:00,70.82,70.89,70.78,70.82,39091
2021-10-08 15:50:00,70.88,70.92,70.82,70.825,32386
2021-10-08 15:45:00,70.9,70.93,70.87,70.88,14413
2021-10-08 15:40:00,71.02,71.02,70.85,70.9,24805
2021-10-08 15:35:00,71.02,71.07,71.0,71.02,27703
2021-10-08 15:30:00,71.0,71.07,70.99,71.025,14509
2021-10-08 15:25:00,71.02,71.045,70.99,71.015,20113
2021-10-08 15:20:00,70.94,71.04,70.935,71.03,19457
2021-10-08 15:15:00,70.85,70.95,70.85,70.94,18433
2021-10-08 15:10:00,70.815,70.85,70.795,70.85,8042
2021-10-08 15:05:00,70.7662,70.82,70.75,70.815,13009
2021-10-08 15:00:00,70.74,70.785,70.74,70.765,5007
2021-10-08 14:55:00,70.74,70.77,70.73,70.745,11361
2021-10-08 14:50:00,70.69,70.74,70.69,70.74,7992
2021-10-08 14:45:00,70.64,70.71,70.64,70.69,11500
2021-10-08 14:40:00,70.65,70.66,70.61,70.63,34204
2021-10-08 14:35:00,70.69,70.73,70.63,70.64,26249
2021-10-08 14:30:00,70.615,70.7,70.61,70.7,35629
2021-10-08 14:25:00,70.61,70.68,70.59,70.615,28883
2021-10-08 14:20:00,70.615,70.65,70.585,70.61,16939
2021-10-08 14:15:00,70.595,70.62,70.57,70.615,9029
2021-10-08 14:10:00,70.57,70.63,70.57,70.59,13921
2021-10-08 14:05:00,70.57,70.61,70.53,70.56,20099
2021-10-08 14:00:00,70.52,70.56,70.52,70.56,5371
2021-10-08 13:55:00,70.485,70.52,70.48,70.52,4640
2021-10-08 13:50:00,70.46,70.49,70.44,70.49,6380
2021-10-08 13:45:00,70.51,70.519,70.43,70.43,7030
2021-10-08 13:40:00,70.55,70.55,70.48,70.52,6418
2021-10-08 13:35:00,70.55,70.58,70.52,70.555,11158
2021-10-08 13:30:00,70.51,70.57,70.51,70.56,5993
2021-10-08 13:25:00,70.49,70.52,70.49,70.49,5730
2021-10-08 13:20:00,70.61,70.61,70.47,70.47,12260
2021-10-08 13:15:00,70.57,70.62,70.55,70.61,7490
2021-10-08 13:10:00,70.62,70.62,70.57,70.58,4105
2021-10-08 13:05:00,70.62,70.65,70.62,70.62,5661
2021-10-08 13:00:00,70.64,70.64,70.605,70.62,7568
2021-10-08 12:55:00,70.59,70.64,70.59,70.64,10269
2021-10-08 12:50:00,70.62,70.64,70.58,70.59,5533
2021-10-08 12:45:00,70.66,70.68,70.62,70.63,6219
2021-10-08 12:40:00,70.61,70.66,70.59,70.66,6542
