time,open,high,low,close,volume
2021-10-08 20:00:00,61.45,61.45,61.45,61.45,100
2021-10-08 16:05:00,61.46,61.46,61.46,61.46,59519
2021-10-08 16:00:00,61.475,61.505,61.45,61.46,163829
2021-10-08 15:55:00,61.43,61.5,61.42,61.48,93438
2021-10-08 15:50:00,61.42,61.49,61.415,61.44,52335
2021-10-08 15:45:00,61.54,61.555,61.4234,61.43,60525
2021-10-08 15:40:00,61.605,61.61,61.53,61.545,63513
2021-10-08 15:35:00,61.675,61.705,61.6,61.605,50040
2021-10-08 15:30:00,61.685,61.72,61.665,61.675,31487
2021-10-08 15:25:00,61.73,61.73,61.675,61.685,30566
2021-10-08 15:20:00,61.8,61.8,61.72,61.735,29118
2021-10-08 15:15:00,61.8,61.8462,61.8,61.8,25370
2021-10-08 15:10:00,61.83,61.83,61.77,61.8,28367
2021-10-08 15:05:00,61.85,61.88,61.805,61.82,26409
2021-10-08 15:00:00,61.86,61.89,61.84,61.84,23360
2021-10-08 14:55:00,61.85,61.88,61.83,61.87,41175
2021-10-08 14:50:00,61.9,61.92,61.85,61.85,21564
2021-10-08 14:45:00,61.91,61.92,61.89,61.9,40295
2021-10-08 14:40:00,61.9722,61.9722,61.895,61.925,23040
2021-10-08 14:35:00,62.01,62.01,61.97,61.98,15717
2021-10-08 14:30:00,61.95,62.01,61.935,62.01,19399
2021-10-08 14:25:00,61.96,61.975,61.945,61.945,16420
2021-10-08 14:20:00,61.96,62.005,61.955,61.96,40494
2021-10-08 14:15:00,61.94,61.99,61.93,61.96,27743
2021-10-08 14:10:00,61.88,61.9577,61.88,61.9301,23486
2021-10-08 14:05:00,61.83,61.885,61.83,61.885,20316
2021-10-08 14:00:00,61.815,61.89,61.8101,61.8309,37513
2021-10-08 13:55:00,61.78,61.84,61.78,61.815,18370
2021-10-08 13:50:00,61.73,61.78,61.72,61.78,15768
2021-10-08 13:45:00,61.79,61.79,61.735,61.735,17063
2021-10-08 13:40:00,61.82,61.82,61.78,61.8,15958
2021-10-08 13:35:00,61.77,61.82,61.7607,61.82,21772
2021-10-08 13:30:00,61.73,61.79,61.72,61.79,16295
2021-10-08 13:25:00,61.7,61.73,61.695,61.725,18416
2021-10-08 13:20:00,61.76,61.76,61.69,61.7,19895
2021-10-08 13:15:00,61.7,61.76,61.7,61.76,12446
2021-10-08 13:10:00,61.72,61.75,61.705,61.71,12612
2021-10-08 13:05:00,61.72,61.7234,61.69,61.72,12444
2021-10-08 13:00:00,61.735,61.76,61.725,61.725,10420
2021-10-08 12:55:00,61.73,61.75,61.7,61.7332,19891
2021-10-08 12:50:00,61.7429,61.765,61.715,61.735,15414
2021-10-08 12:45:00,61.755,61.77,61.73,61.745,11809
2021-10-08 12:40:00,61.72,61.76,61.715,61.76,12914
2021-10-08 12:35:00,61.68,61.715,61.66,61.715,18109
2021-10-08 12:30:00,61.65,61.69,61.65,61.68,15844
2021-10-08 12:25:00,61.63,61.6626,61.605,61.66,16262
2021-10-08 12:20:00,61.7,61.705,61.64,61.64,17647
2021-10-08 12:15:00,61.75,61.765,61.65,61.7,19855
2021-10-08 12:10:00,61.745,61.76,61.735,61.745,27343
2021-10-08 12:05:00,61.77,61.77,61.745,61.745,16610
2021-10-08 12:00:00,61.77,61.79,61.74,61.76,30796
2021-10-08 11:55:00,61.668,61.77,61.64,61.77,22964
2021-10-08 11:50:00,61.69,61.69,61.625,61.66,13260
2021-10-08 11:45:00,61.63,61.7,61.63,61.69,11052
2021-10-08 11:40:00,61.62,61.64,61.59,61.62,17405
2021-10-08 11:35:00,61.66,61.67,61.58,61.61,25487
2021-10-08 11:30:00,61.72,61.74,61.63,61.65,29900
2021-10-08 11:25:00,61.665,61.7299,61.65,61.71,17774
2021-10-08 11:20:00,61.54,61.68,61.54,61.665,18248
2021-10-08 11:15:00,61.575,61.6,61.495,61.53,34286
2021-10-08 11:10:00,61.5,61.59,61.5,61.58,18032
2021-10-08 11:05:00,61.56,61.57,61.5,61.51,23298
2021-10-08 11:00:00,61.51,61.57,61.505,61.55,23516
2021-10-08 10:55:00,61.6,61.62,61.49,61.51,30381
2021-10-08 10:50:00,61.68,61.72,61.63,61.63,22011
2021-10-08 10:45:00,61.52,61.68,61.515,61.68,41680
2021-10-08 10:40:00,61.51,61.56,61.47,61.525,25640
2021-10-08 10:35:00,61.46,61.54,61.46,61.49,19200
2021-10-08 10:30:00,61.54,61.54,61.45,61.455,18730
2021-10-08 10:25:00,61.47,61.57,61.47,61.54,17216
2021-10-08 10:20:00,61.48,61.51,61.36,61.46,23663
2021-10-08 10:15:00,61.58,61.59,61.47,61.48,19835
2021-10-08 10:10:00,61.565,61.67,61.565,61.58,27011
2021-10-08 10:05:00,61.52,61.6241,61.52,61.565,22421
2021-10-08 10:00:00,61.54,61.64,61.52,61.54,26644
2021-10-08 09:55:00,61.45,61.61,61.43,61.56,37574
2021-10-08 09:50:00,61.41,61.5,61.39,61.4517,36123
2021-10-08 09:45:00,61.52,61.64,61.41,61.41,46470
2021-10-08 09:40:00,61.41,61.6,61.4,61.53,30224
2021-10-08 09:35:00,61.36,61.415,61.08,61.4,93481
2021-10-08 08:55:00,61.32,61.32,61.32,61.32,136
2021-10-08 08:05:00,61.02,61.02,61.02,61.02,347
2021-10-07 20:00:00,61.2,61.2,61.2,61.2,1100
2021-10-07 19:15:00,61.2,61.2,61.2,61.2,300
2021-10-07 18:10:00,61.2,61.2,61.2,61.2,500
2021-10-07 17:00:00,61.2,61.2,61.2,61.2,100
2021-10-07 16:55:00,61.2,61.2,61.2,61.2,100
2021-10-07 16:20:00,61.03,61.03,61.03,61.03,200
2021-10-07 16:05:00,61.32,61.32,61.01,61.32,38973
2021-10-07 16:00:00,61.24,61.34,61.15,61.32,403456
2021-10-07 15:55:00,61.27,61.29,61.14,61.245,304521
2021-10-07 15:50:00,61.3,61.3,61.205,61.27,101038
2021-10-07 15:45:00,61.33,61.34,61.29,61.3,74058
2021-10-07 15:40:00,61.34,61.35,61.32,61.325,69876
2021-10-07 15:35:00,61.36,61.37,61.32,61.345,35178
2021-10-07 15:30:00,61.37,61.37,61.3,61.36,35699
2021-10-07 15:25:00,61.38,61.38,61.35,61.377,17676
2021-10-07 15:20:00,61.33,61.38,61.32,61.38,24823
2021-10-07 15:15:00,61.39,61.39,61.28,61.33,29536
2021-10-07 15:10:00,61.395,61.435,61.39,61.395,25456
2021-10-07 15:05:00,61.385,61.415,61.37,61.3909,50919
2021-10-07 15:00:00,61.36,61.39,61.36,61.385,25317
2021-10-07 14:55:00,61.4,61.4,61.355,61.37,33909
