time,open,high,low,close,volume
2021-09-30 16:10:00,393.06,393.06,393.06,393.06,563
2021-09-30 16:05:00,393.06,393.06,393.06,393.06,10447
2021-09-30 16:00:00,394.0,394.0,393.01,393.07,38864
2021-09-30 15:55:00,394.93,395.45,393.85,394.16,15599
2021-09-30 15:50:00,396.18,396.215,395.71,396.01,8606
2021-09-30 15:45:00,396.89,396.89,396.015,396.035,3703
2021-09-30 15:40:00,397.63,397.63,396.99,396.99,977
2021-09-30 15:35:00,397.45,397.91,397.43,397.785,3394
2021-09-30 15:30:00,396.89,397.22,396.89,397.22,1058
2021-09-30 15:25:00,397.47,397.51,397.19,397.46,2466
2021-09-30 15:20:00,397.86,398.0201,397.715,397.79,2166
2021-09-30 15:15:00,397.23,397.72,397.23,397.67,1661
2021-09-30 15:10:00,397.01,397.02,396.86,397.02,886
2021-09-30 15:05:00,396.98,396.98,396.45,396.76,1497
2021-09-30 15:00:00,397.48,397.52,397.21,397.39,1411
2021-09-30 14:55:00,397.89,398.0,397.34,397.34,2161
2021-09-30 14:50:00,397.69,397.69,397.69,397.69,108
2021-09-30 14:45:00,396.68,397.52,396.68,397.5,2724
2021-09-30 14:40:00,396.77,396.77,396.55,396.66,926
2021-09-30 14:35:00,397.05,397.05,396.58,396.79,2521
2021-09-30 14:30:00,396.37,396.9,396.37,396.9,593
2021-09-30 14:25:00,395.75,396.22,395.75,396.15,1548
2021-09-30 14:20:00,396.18,396.18,395.6079,395.6079,823
2021-09-30 14:15:00,396.46,396.525,396.14,396.28,1730
2021-09-30 14:10:00,395.8,396.71,395.8,396.62,1912
2021-09-30 14:05:00,395.72,396.0,395.69,396.0,2715
2021-09-30 14:00:00,395.26,395.52,395.23,395.23,876
2021-09-30 13:55:00,394.59,395.3,394.59,395.29,1475
2021-09-30 13:50:00,394.21,394.46,394.21,394.46,1375
2021-09-30 13:45:00,394.17,394.19,393.88,394.19,2281
2021-09-30 13:40:00,393.84,394.35,393.84,394.35,2465
2021-09-30 13:35:00,393.95,394.015,393.76,393.88,2543
2021-09-30 13:30:00,394.6,394.6,394.39,394.435,967
2021-09-30 13:25:00,395.25,395.48,395.0573,395.0573,1083
2021-09-30 13:20:00,395.015,395.3,395.015,395.185,1323
2021-09-30 13:15:00,395.78,395.78,394.87,394.87,1596
2021-09-30 13:10:00,395.62,395.83,395.58,395.76,2123
2021-09-30 13:05:00,396.12,396.12,395.74,395.74,2263
2021-09-30 13:00:00,395.77,395.9,395.77,395.9,1035
2021-09-30 12:55:00,396.57,396.67,396.05,396.05,1466
2021-09-30 12:50:00,396.0,396.51,396.0,396.51,712
2021-09-30 12:45:00,396.45,396.5,396.2,396.26,3333
2021-09-30 12:40:00,395.14,396.28,395.14,396.27,1555
2021-09-30 12:35:00,395.08,395.28,394.89,395.28,1776
2021-09-30 12:30:00,395.92,396.15,395.6161,395.6161,588
2021-09-30 12:25:00,395.79,395.79,395.79,395.79,157
2021-09-30 12:20:00,395.83,395.91,395.675,395.91,1253
2021-09-30 12:15:00,395.31,395.46,395.01,395.2,2611
2021-09-30 12:10:00,395.98,395.99,395.08,395.255,2040
2021-09-30 12:00:00,397.57,397.57,397.07,397.07,540
2021-09-30 11:55:00,397.25,397.25,396.98,397.25,1006
2021-09-30 11:50:00,397.92,397.92,397.26,397.26,1345
2021-09-30 11:45:00,397.91,397.91,397.91,397.91,241
2021-09-30 11:40:00,398.97,398.97,398.47,398.47,839
2021-09-30 11:35:00,399.42,399.535,399.22,399.22,1770
2021-09-30 11:30:00,399.64,399.64,399.39,399.39,808
2021-09-30 11:25:00,400.16,400.16,399.5626,399.5626,968
2021-09-30 11:20:00,400.82,400.82,400.735,400.735,601
2021-09-30 11:10:00,400.52,400.52,400.33,400.52,1565
2021-09-30 11:05:00,400.65,400.65,400.65,400.65,511
2021-09-30 11:00:00,400.37,400.82,400.37,400.82,1392
2021-09-30 10:55:00,400.605,400.73,400.32,400.73,3641
2021-09-30 10:45:00,400.44,400.64,400.44,400.64,719
2021-09-30 10:40:00,402.69,402.69,401.28,401.28,1717
2021-09-30 10:35:00,401.595,402.2,401.595,402.19,1476
2021-09-30 10:30:00,401.51,401.73,401.45,401.59,663
2021-09-30 10:25:00,401.93,401.93,401.48,401.66,4295
2021-09-30 10:20:00,401.5,401.93,401.5,401.93,1136
2021-09-30 10:15:00,402.17,402.17,401.53,401.605,1085
2021-09-30 10:10:00,402.6,402.6,402.13,402.4,2029
2021-09-30 10:05:00,403.195,403.195,402.99,403.14,1033
2021-09-30 10:00:00,404.72,404.72,403.27,403.4699,2085
2021-09-30 09:55:00,404.71,405.08,404.62,404.735,1792
2021-09-30 09:50:00,403.755,404.69,403.755,404.69,3865
2021-09-30 09:45:00,403.05,404.14,403.05,404.14,948
2021-09-30 09:40:00,402.88,403.91,402.445,402.445,1939
2021-09-30 09:35:00,402.58,402.58,402.58,402.58,1553
2021-09-29 16:05:00,401.74,401.74,401.74,401.74,2993
2021-09-29 16:00:00,401.55,402.02,401.4325,401.74,11553
2021-09-29 15:55:00,401.94,401.97,401.56,401.69,5664
2021-09-29 15:50:00,402.37,402.69,402.19,402.67,1621
2021-09-29 15:45:00,403.085,403.085,402.36,402.36,1901
2021-09-29 15:40:00,403.35,403.47,403.08,403.08,2498
2021-09-29 15:35:00,402.955,403.2,402.955,403.195,1305
2021-09-29 15:30:00,403.175,403.175,403.07,403.07,371
2021-09-29 15:25:00,402.68,402.84,402.68,402.685,1010
2021-09-29 15:20:00,403.09,403.09,402.845,403.04,1032
2021-09-29 15:15:00,402.755,402.845,402.755,402.845,777
2021-09-29 15:10:00,402.6,402.6,402.37,402.46,917
2021-09-29 15:05:00,402.81,402.81,402.63,402.63,542
2021-09-29 15:00:00,402.88,403.11,402.88,402.96,1145
2021-09-29 14:55:00,402.765,402.79,402.75,402.79,694
2021-09-29 14:50:00,403.39,403.39,402.73,402.75,1559
2021-09-29 14:45:00,403.49,403.89,403.49,403.58,1805
2021-09-29 14:40:00,403.42,403.62,403.42,403.57,873
2021-09-29 14:35:00,403.46,403.685,403.46,403.48,1283
2021-09-29 14:30:00,403.49,403.49,403.35,403.39,745
2021-09-29 14:25:00,403.485,403.68,403.31,403.68,876
2021-09-29 14:20:00,403.29,403.605,403.29,403.605,470
2021-09-29 14:15:00,403.08,403.275,403.06,403.06,2128
2021-09-29 14:10:00,402.56,402.56,402.21,402.53,1583
2021-09-29 14:05:00,402.43,402.465,402.37,402.465,1467
2021-09-29 14:00:00,402.19,402.37,402.08,402.08,661
2021-09-29 13:55:00,401.91,402.26,401.85,402.26,3682
2021-09-29 13:50:00,402.51,402.51,401.505,401.88,1553
2021-09-29 13:45:00,402.64,402.76,402.5,402.5,369
2021-09-29 13:40:00,402.395,402.395,402.395,402.395,104
2021-09-29 13:35:00,402.59,402.59,402.325,402.325,504
2021-09-29 13:30:00,402.5724,402.71,402.5724,402.71,914
2021-09-29 13:20:00,402.8,403.285,402.8,403.285,671
2021-09-29 13:15:00,403.15,403.19,402.84,402.84,1250
2021-09-29 13:10:00,403.0474,403.0474,402.99,402.99,1018
2021-09-29 13:05:00,403.095,403.51,403.095,403.51,398
2021-09-29 13:00:00,403.48,403.56,403.48,403.56,714
2021-09-29 12:55:00,403.25,403.25,403.25,403.25,179
2021-09-29 12:50:00,403.35,403.37,403.35,403.37,446
2021-09-29 12:45:00,403.145,403.17,403.08,403.08,630
2021-09-29 12:40:00,403.73,403.73,403.05,403.05,1154
2021-09-29 12:35:00,403.78,403.81,403.78,403.81,828
2021-09-29 12:30:00,403.635,404.005,403.635,403.74,1624
2021-09-29 12:25:00,403.78,403.78,403.6,403.6,619
2021-09-29 12:20:00,403.18,404.1,403.18,404.1,1113
2021-09-29 12:15:00,403.99,403.99,403.58,403.58,1082
2021-09-29 12:10:00,404.44,404.44,404.31,404.31,906
2021-09-29 12:05:00,404.96,404.96,404.595,404.595,506
2021-09-29 12:00:00,404.89,405.21,404.715,404.96,1110
2021-09-29 11:55:00,405.24,405.45,404.58,405.01,5467
2021-09-29 11:50:00,404.66,405.035,404.66,405.035,1080
2021-09-29 11:45:00,405.56,405.56,405.06,405.06,1790
2021-09-29 11:40:00,405.95,406.33,405.46,405.46,4435
2021-09-29 11:35:00,405.88,406.33,405.83,405.98,1901
2021-09-29 11:30:00,405.67,405.67,405.67,405.67,216
2021-09-29 11:25:00,405.58,405.61,405.42,405.44,1554
2021-09-29 11:20:00,405.08,405.17,405.08,405.16,961
2021-09-29 11:15:00,405.33,405.36,405.14,405.14,845
2021-09-29 11:10:00,404.62,405.3,404.45,405.3,959
2021-09-29 11:05:00,405.53,405.56,404.69,405.01,1432
2021-09-29 11:00:00,405.441,405.88,405.441,405.79,644
2021-09-29 10:55:00,406.15,406.15,405.96,405.96,1223
2021-09-29 10:50:00,406.085,406.085,406.085,406.085,287
2021-09-29 10:45:00,406.46,406.515,406.46,406.515,755
2021-09-29 10:40:00,406.81,406.87,406.435,406.435,1788
2021-09-29 10:35:00,406.07,407.135,406.03,406.625,3718
2021-09-29 10:30:00,406.22,406.75,406.22,406.7,909
2021-09-29 10:25:00,405.64,406.62,405.64,406.49,1971
2021-09-29 10:20:00,405.27,405.4375,405.26,405.4375,718
2021-09-29 10:15:00,405.09,405.25,405.09,405.25,755
2021-09-29 10:10:00,404.87,404.95,404.87,404.95,969
