time,open,high,low,close,volume
2021-10-04 20:00:00,144.12,144.12,144.12,144.12,500
2021-10-04 19:45:00,144.27,144.27,144.27,144.27,200
2021-10-04 18:30:00,144.44,144.44,144.44,144.44,101
2021-10-04 18:25:00,144.4,144.44,144.35,144.44,2895
2021-10-04 18:20:00,144.35,144.45,144.3,144.38,2540
2021-10-04 18:15:00,144.46,144.46,144.35,144.35,491
2021-10-04 18:00:00,144.18,144.18,144.18,144.18,193
2021-10-04 17:55:00,144.45,144.48,144.45,144.48,270
2021-10-04 16:45:00,144.26,144.26,143.89,143.89,914
2021-10-04 16:30:00,144.26,144.26,144.26,144.26,346
2021-10-04 16:10:00,144.09,144.11,144.09,144.11,6151
2021-10-04 16:05:00,144.11,144.11,144.03,144.11,96455
2021-10-04 16:00:00,143.86,144.32,143.8,144.14,449060
2021-10-04 15:55:00,144.28,144.285,143.75,143.84,153814
2021-10-04 15:50:00,144.3,144.43,144.28,144.28,108985
2021-10-04 15:45:00,143.8379,144.4115,143.8379,144.28,97180
2021-10-04 15:40:00,144.05,144.16,143.78,143.83,95524
2021-10-04 15:35:00,143.83,144.07,143.77,144.05,54862
2021-10-04 15:30:00,143.74,143.92,143.72,143.845,44054
2021-10-04 15:25:00,143.84,143.84,143.68,143.735,39731
2021-10-04 15:20:00,143.93,144.045,143.78,143.83,44935
2021-10-04 15:15:00,144.02,144.04,143.85,143.96,39315
2021-10-04 15:10:00,144.12,144.16,143.92,144.02,53208
2021-10-04 15:05:00,143.89,144.12,143.84,144.0998,48154
2021-10-04 15:00:00,143.94,143.9999,143.87,143.905,36960
2021-10-04 14:55:00,143.82,143.97,143.72,143.94,68867
2021-10-04 14:50:00,143.75,143.835,143.7,143.83,28301
2021-10-04 14:45:00,143.55,143.77,143.5,143.74,30818
2021-10-04 14:40:00,143.51,143.72,143.46,143.59,60301
2021-10-04 14:35:00,143.55,143.59,143.4,143.54,76767
2021-10-04 14:30:00,143.65,143.77,143.54,143.56,66524
2021-10-04 14:25:00,143.63,143.8,143.61,143.655,60684
2021-10-04 14:20:00,143.49,143.68,143.49,143.63,33174
2021-10-04 14:15:00,143.65,143.66,143.41,143.5,49765
2021-10-04 14:10:00,143.68,143.75,143.59,143.65,39045
2021-10-04 14:05:00,143.61,143.86,143.6,143.67,49013
2021-10-04 14:00:00,143.66,143.7,143.55,143.62,39936
2021-10-04 13:55:00,143.73,143.77,143.62,143.69,53612
2021-10-04 13:50:00,143.69,143.79,143.619,143.735,47306
2021-10-04 13:45:00,143.8,143.82,143.6188,143.68,37851
2021-10-04 13:40:00,143.85,143.8899,143.73,143.82,53696
2021-10-04 13:35:00,143.75,143.88,143.7,143.83,34934
2021-10-04 13:30:00,143.9,143.9399,143.71,143.72,30110
2021-10-04 13:25:00,144.0,144.0,143.77,143.92,52645
2021-10-04 13:20:00,144.13,144.26,143.95,143.98,47899
2021-10-04 13:15:00,144.01,144.2,143.9796,144.13,43479
2021-10-04 13:10:00,143.78,144.11,143.755,144.01,32083
2021-10-04 13:05:00,143.95,143.97,143.74,143.755,42453
2021-10-04 13:00:00,144.13,144.18,143.93,143.97,40730
2021-10-04 12:55:00,144.04,144.1538,143.85,144.1538,47793
2021-10-04 12:50:00,143.9,144.03,143.86,144.0217,28074
2021-10-04 12:45:00,144.1,144.12,143.86,143.94,38577
2021-10-04 12:40:00,144.37,144.38,144.105,144.12,39052
2021-10-04 12:35:00,144.25,144.36,144.23,144.36,24246
2021-10-04 12:30:00,144.36,144.36,144.18,144.24,35774
2021-10-04 12:25:00,144.535,144.58,144.3,144.34,54639
2021-10-04 12:20:00,144.195,144.54,144.195,144.53,62241
2021-10-04 12:15:00,144.19,144.21,144.09,144.2,25154
2021-10-04 12:10:00,144.1,144.25,144.05,144.22,42585
2021-10-04 12:05:00,144.28,144.39,144.1,144.115,52772
2021-10-04 12:00:00,143.68,144.34,143.64,144.28,71804
2021-10-04 11:55:00,143.5,143.69,143.49,143.67,71425
2021-10-04 11:50:00,143.5,143.68,143.47,143.49,74387
2021-10-04 11:45:00,143.81,143.86,143.4814,143.51,62635
2021-10-04 11:40:00,143.87,144.025,143.79,143.81,53678
2021-10-04 11:35:00,143.97,144.05,143.82,143.85,53784
2021-10-04 11:30:00,144.06,144.22,143.92,143.98,57036
2021-10-04 11:25:00,144.08,144.11,143.97,144.05,57963
2021-10-04 11:20:00,144.11,144.19,143.99,144.1,35559
2021-10-04 11:15:00,144.08,144.3,143.9,144.1351,43583
2021-10-04 11:10:00,144.061,144.39,143.96,144.0901,52398
2021-10-04 11:05:00,144.035,144.35,143.94,144.1,123268
2021-10-04 11:00:00,143.54,144.1599,143.4,144.03,73203
2021-10-04 10:55:00,144.21,144.36,143.53,143.575,222837
2021-10-04 10:50:00,144.16,144.54,144.07,144.21,93042
2021-10-04 10:45:00,143.38,144.23,143.27,144.2,102897
2021-10-04 10:40:00,144.09,144.09,143.33,143.42,267073
2021-10-04 10:35:00,144.76,144.97,144.15,144.15,168775
2021-10-04 10:30:00,144.77,145.11,144.45,144.78,131135
2021-10-04 10:25:00,145.68,145.72,144.7201,144.75,207288
2021-10-04 10:20:00,145.86,145.9299,145.45,145.68,127556
2021-10-04 10:15:00,145.6,145.96,145.55,145.85,85174
2021-10-04 10:10:00,145.06,145.63,145.02,145.601,101165
2021-10-04 10:05:00,145.09,146.0,145.03,145.09,392182
2021-10-04 10:00:00,144.78,145.15,144.46,145.06,130982
2021-10-04 09:55:00,144.355,145.21,144.29,144.77,273261
2021-10-04 09:50:00,144.09,144.55,143.95,144.36,88964
2021-10-04 09:45:00,143.96,144.25,143.73,144.17,95913
2021-10-04 09:40:00,143.36,144.17,143.26,144.04,114687
2021-10-04 09:35:00,142.74,143.41,142.3501,143.325,194466
2021-10-04 09:30:00,142.55,142.55,141.78,141.79,5619
2021-10-04 09:25:00,142.21,142.9,142.21,142.9,1181
2021-10-04 09:20:00,142.54,142.54,142.25,142.25,6287
2021-10-04 09:15:00,142.9,142.98,142.9,142.98,874
2021-10-04 08:50:00,142.87,142.87,142.87,142.87,300
2021-10-04 08:15:00,142.35,142.35,142.34,142.34,561
2021-10-04 08:00:00,142.8,142.8,142.8,142.8,575
2021-10-04 07:25:00,142.7,142.7,142.7,142.7,326
2021-10-04 06:25:00,142.27,142.4,142.0,142.4,636
2021-10-04 04:10:00,142.5,142.5,142.5,142.5,1900
2021-10-01 18:15:00,143.55,143.55,143.55,143.55,100
2021-10-01 18:10:00,143.32,143.32,143.32,143.32,100
2021-10-01 18:00:00,143.32,143.35,143.32,143.33,514
2021-10-01 17:40:00,143.46,143.47,143.46,143.47,304
2021-10-01 17:15:00,143.25,143.25,143.25,143.25,180
2021-10-01 16:45:00,143.01,143.01,143.01,143.01,286
