time,open,high,low,close,volume
2021-10-04 16:30:00,114.5,114.5,114.5,114.5,2425
2021-10-04 16:05:00,114.5,114.5,114.5,114.5,758998
2021-10-04 16:00:00,114.37,114.68,114.36,114.51,262671
2021-10-04 15:55:00,114.76,114.82,114.32,114.37,93830
2021-10-04 15:50:00,114.93,115.0,114.81,114.82,59870
2021-10-04 15:45:00,114.61,115.02,114.57,114.915,68351
2021-10-04 15:40:00,114.71,114.825,114.595,114.61,24506
2021-10-04 15:35:00,114.615,114.73,114.5,114.71,23294
2021-10-04 15:30:00,114.61,114.7,114.57,114.62,12445
2021-10-04 15:25:00,114.825,114.835,114.61,114.62,21271
2021-10-04 15:20:00,114.95,115.03,114.81,114.825,17279
2021-10-04 15:15:00,114.84,114.92,114.79,114.9,14822
2021-10-04 15:10:00,114.94,115.0,114.84,114.94,11673
2021-10-04 15:05:00,114.89,114.99,114.87,114.93,8411
2021-10-04 15:00:00,114.9,114.93,114.87,114.88,7830
2021-10-04 14:55:00,114.9,115.0,114.82,114.86,34260
2021-10-04 14:50:00,114.79,115.0,114.79,114.95,29160
2021-10-04 14:45:00,114.77,114.79,114.67,114.79,12860
2021-10-04 14:40:00,114.915,114.94,114.775,114.78,11089
2021-10-04 14:35:00,114.91,115.005,114.77,114.915,15288
2021-10-04 14:30:00,114.89,114.96,114.81,114.95,16836
2021-10-04 14:25:00,114.87,114.97,114.87,114.93,7728
2021-10-04 14:20:00,114.77,114.91,114.76,114.89,7463
2021-10-04 14:15:00,114.855,114.89,114.66,114.8,12260
2021-10-04 14:10:00,114.92,114.96,114.86,114.87,7493
2021-10-04 14:05:00,114.81,115.0,114.775,114.85,33391
2021-10-04 14:00:00,114.84,114.865,114.78,114.83,15856
2021-10-04 13:55:00,114.87,114.9,114.76,114.85,10783
2021-10-04 13:50:00,114.93,114.94,114.85,114.87,16498
2021-10-04 13:45:00,114.87,114.94,114.795,114.91,11054
2021-10-04 13:40:00,114.915,114.95,114.85,114.865,15802
2021-10-04 13:35:00,114.77,114.96,114.77,114.915,23560
2021-10-04 13:30:00,114.87,114.88,114.71,114.72,10859
2021-10-04 13:25:00,114.84,114.89,114.75,114.855,13194
2021-10-04 13:20:00,114.84,114.88,114.79,114.82,14142
2021-10-04 13:15:00,114.81,114.91,114.81,114.85,49238
2021-10-04 13:10:00,114.615,114.875,114.615,114.85,10619
2021-10-04 13:05:00,114.78,114.79,114.59,114.61,16392
2021-10-04 13:00:00,114.66,114.82,114.66,114.81,10428
2021-10-04 12:55:00,114.75,114.75,114.525,114.65,13292
2021-10-04 12:50:00,114.785,114.81,114.69,114.79,15364
2021-10-04 12:45:00,115.075,115.075,114.77,114.77,24415
2021-10-04 12:40:00,115.14,115.21,115.04,115.08,8156
2021-10-04 12:35:00,115.1,115.12,115.025,115.12,4503
2021-10-04 12:30:00,115.18,115.21,115.08,115.18,5001
2021-10-04 12:25:00,115.39,115.4,115.15,115.17,12076
2021-10-04 12:20:00,115.47,115.48,115.38,115.415,19364
2021-10-04 12:15:00,115.45,115.47,115.365,115.44,6816
2021-10-04 12:10:00,115.31,115.47,115.265,115.45,11143
2021-10-04 12:05:00,115.17,115.26,115.17,115.21,6089
2021-10-04 12:00:00,115.08,115.365,114.99,115.24,16390
2021-10-04 11:55:00,115.09,115.17,115.05,115.11,7393
2021-10-04 11:50:00,114.99,115.165,114.99,115.12,4912
2021-10-04 11:45:00,114.97,115.04,114.8,114.97,27871
2021-10-04 11:40:00,115.0,115.07,114.91,114.97,12598
