time,open,high,low,close,volume
2021-10-04 16:05:00,73.9,73.9,73.9,73.9,53935
2021-10-04 16:00:00,73.88,74.03,73.875,73.91,234389
2021-10-04 15:55:00,74.19,74.19,73.87,73.87,66743
2021-10-04 15:50:00,74.16,74.249,74.12,74.22,25484
2021-10-04 15:45:00,73.98,74.18,73.95,74.135,24653
2021-10-04 15:40:00,74.125,74.14,73.95,73.965,15075
2021-10-04 15:35:00,74.04,74.18,74.0,74.125,15423
2021-10-04 15:30:00,73.91,74.055,73.88,74.025,13126
2021-10-04 15:25:00,73.86,73.93,73.82,73.93,14579
2021-10-04 15:20:00,73.97,74.01,73.86,73.86,9533
2021-10-04 15:15:00,73.96,74.01,73.88,73.965,10852
2021-10-04 15:10:00,73.98,74.02,73.92,73.97,10618
2021-10-04 15:05:00,73.85,73.9967,73.85,73.97,12224
2021-10-04 15:00:00,73.97,73.995,73.9,73.9,10003
2021-10-04 14:55:00,74.05,74.08,73.935,73.99,24859
2021-10-04 14:50:00,74.04,74.08,73.9963,74.065,5301
2021-10-04 14:45:00,74.0,74.08,73.99,74.04,5544
2021-10-04 14:40:00,74.05,74.08,74.02,74.04,6519
2021-10-04 14:35:00,74.07,74.1,74.01,74.1,5838
2021-10-04 14:30:00,74.09,74.09,74.02,74.07,6537
2021-10-04 14:25:00,74.07,74.18,74.03,74.11,6785
2021-10-04 14:20:00,74.03,74.06,73.95,74.06,29525
2021-10-04 14:15:00,74.21,74.21,74.03,74.04,11319
2021-10-04 14:10:00,74.19,74.25,74.18,74.21,5599
2021-10-04 14:05:00,74.24,74.32,74.18,74.21,9431
2021-10-04 14:00:00,74.235,74.2452,74.2,74.23,8391
2021-10-04 13:55:00,74.2826,74.2826,74.23,74.23,8005
2021-10-04 13:50:00,74.3,74.33,74.23,74.32,6549
2021-10-04 13:45:00,74.29,74.34,74.23,74.34,8720
2021-10-04 13:40:00,74.24,74.31,74.19,74.31,8200
2021-10-04 13:35:00,74.18,74.25,74.13,74.25,6468
2021-10-04 13:30:00,74.28,74.28,74.2,74.2,4496
2021-10-04 13:25:00,74.24,74.31,74.2101,74.31,5560
2021-10-04 13:20:00,74.33,74.33,74.23,74.27,7108
2021-10-04 13:15:00,74.27,74.32,74.26,74.3,16439
2021-10-04 13:10:00,74.1,74.27,74.09,74.25,8931
2021-10-04 13:05:00,74.24,74.25,74.08,74.08,4309
2021-10-04 13:00:00,74.34,74.35,74.23,74.23,4348
2021-10-04 12:55:00,74.31,74.31,74.195,74.281,3614
2021-10-04 12:50:00,74.17,74.27,74.12,74.21,5764
2021-10-04 12:45:00,74.295,74.295,74.13,74.13,7307
2021-10-04 12:40:00,74.339,74.345,74.3,74.3,3315
2021-10-04 12:35:00,74.3,74.36,74.25,74.34,4706
2021-10-04 12:30:00,74.29,74.33,74.24,74.275,4317
2021-10-04 12:25:00,74.38,74.3952,74.26,74.26,5679
2021-10-04 12:20:00,74.42,74.43,74.38,74.4,3143
2021-10-04 12:15:00,74.45,74.45,74.41,74.42,3490
2021-10-04 12:10:00,74.41,74.5,74.39,74.46,4846
2021-10-04 12:05:00,74.55,74.55,74.44,74.44,4449
2021-10-04 12:00:00,74.5,74.69,74.5,74.6,8723
2021-10-04 11:55:00,74.33,74.47,74.33,74.47,5016
2021-10-04 11:50:00,74.28,74.335,74.27,74.29,4989
2021-10-04 11:45:00,74.175,74.285,74.13,74.285,6786
2021-10-04 11:40:00,74.37,74.41,74.16,74.16,10724
2021-10-04 11:35:00,74.49,74.56,74.3653,74.41,6205
2021-10-04 11:30:00,74.55,74.62,74.45,74.47,11282
2021-10-04 11:25:00,74.6074,74.74,74.475,74.55,21594
2021-10-04 11:20:00,74.65,74.65,74.535,74.61,8888
2021-10-04 11:15:00,74.59,74.71,74.58,74.67,4509
2021-10-04 11:10:00,74.64,74.69,74.55,74.63,5908
2021-10-04 11:05:00,74.76,74.78,74.66,74.67,12045
2021-10-04 11:00:00,74.5,74.85,74.49,74.8134,11514
2021-10-04 10:55:00,74.7,74.74,74.44,74.5,13537
2021-10-04 10:50:00,74.81,74.815,74.66,74.68,34448
2021-10-04 10:45:00,74.37,74.84,74.37,74.84,61139
2021-10-04 10:40:00,74.48,74.5,74.27,74.36,24929
2021-10-04 10:35:00,74.54,74.6,74.46,74.49,14866
2021-10-04 10:30:00,74.46,74.54,74.4,74.53,7929
2021-10-04 10:25:00,74.58,74.64,74.42,74.48,15650
2021-10-04 10:20:00,74.85,74.87,74.61,74.635,12810
2021-10-04 10:15:00,74.8,74.96,74.77,74.9,13293
2021-10-04 10:10:00,74.53,74.73,74.52,74.73,7137
2021-10-04 10:05:00,74.89,74.95,74.59,74.6,22767
2021-10-04 10:00:00,74.88,74.88,74.64,74.87,6084
2021-10-04 09:55:00,74.8,74.88,74.7,74.86,9946
2021-10-04 09:50:00,74.7499,74.92,74.63,74.84,6860
2021-10-04 09:45:00,74.31,74.69,74.3,74.69,3393
2021-10-04 09:40:00,74.17,74.48,74.08,74.34,5154
2021-10-04 09:35:00,73.79,74.39,73.76,74.31,28194
2021-10-01 16:05:00,74.13,74.13,74.13,74.13,27465
2021-10-01 16:00:00,74.28,74.28,74.1,74.17,138352
2021-10-01 15:55:00,74.3,74.39,74.26,74.295,44513
2021-10-01 15:50:00,74.42,74.45,74.2802,74.29,31646
2021-10-01 15:45:00,74.375,74.4115,74.3,74.4025,26510
