time,open,high,low,close,volume
2021-10-04 18:20:00,81.8,81.8,81.8,81.8,300
2021-10-04 16:05:00,81.91,81.91,81.91,81.91,45939
2021-10-04 16:00:00,81.8,82.01,81.77,81.92,169635
2021-10-04 15:55:00,82.16,82.16,81.75,81.79,75014
2021-10-04 15:50:00,82.195,82.27,82.17,82.17,43780
2021-10-04 15:45:00,82.03,82.23,81.98,82.2,34318
2021-10-04 15:40:00,82.095,82.165,81.97,82.01,22261
2021-10-04 15:35:00,81.995,82.11,81.92,82.1,23253
2021-10-04 15:30:00,81.94,82.0,81.85,81.99,25882
2021-10-04 15:25:00,81.93,81.955,81.835,81.929,17710
2021-10-04 15:20:00,81.99,82.04,81.865,81.91,18766
2021-10-04 15:15:00,81.94,81.98,81.88,81.95,13172
2021-10-04 15:10:00,82.0,82.04,81.9,81.95,17315
2021-10-04 15:05:00,81.91,82.02,81.88,82.02,11505
2021-10-04 15:00:00,81.93,81.93,81.84,81.91,11603
2021-10-04 14:55:00,81.95,81.99,81.87,81.925,16533
2021-10-04 14:50:00,81.88,81.965,81.86,81.955,10936
2021-10-04 14:45:00,81.82,81.88,81.79,81.86,10402
2021-10-04 14:40:00,81.715,81.88,81.71,81.84,24083
2021-10-04 14:35:00,81.7,81.74,81.58,81.72,25369
2021-10-04 14:30:00,81.88,81.88,81.685,81.705,42206
2021-10-04 14:25:00,81.87,81.94,81.83,81.905,13782
2021-10-04 14:20:00,81.8,81.87,81.76,81.835,11573
2021-10-04 14:15:00,81.955,81.96,81.73,81.78,14115
2021-10-04 14:10:00,81.95,82.005,81.905,81.98,10317
2021-10-04 14:05:00,81.93,82.05,81.9,81.935,15141
2021-10-04 14:00:00,81.955,81.975,81.88,81.9136,14014
2021-10-04 13:55:00,81.97,82.0023,81.895,81.955,17728
2021-10-04 13:50:00,81.92,81.96,81.87,81.96,29635
2021-10-04 13:45:00,81.935,81.95,81.89,81.935,13615
2021-10-04 13:40:00,81.975,82.0,81.9148,81.935,11112
2021-10-04 13:35:00,81.93,82.07,81.91,81.99,17747
2021-10-04 13:30:00,82.045,82.045,81.93,81.93,18248
2021-10-04 13:25:00,81.96,82.08,81.91,82.035,12832
2021-10-04 13:20:00,82.07,82.07,81.94,81.96,10776
2021-10-04 13:15:00,82.04,82.11,81.99,82.07,11705
2021-10-04 13:10:00,81.845,82.04,81.84,82.01,13282
2021-10-04 13:05:00,81.99,81.99,81.835,81.845,11073
2021-10-04 13:00:00,82.035,82.1,82.0,82.0,11593
2021-10-04 12:55:00,81.99,82.04,81.9,82.04,14021
2021-10-04 12:50:00,81.94,81.98,81.89,81.97,12760
2021-10-04 12:45:00,82.1,82.1,81.94,81.945,15455
2021-10-04 12:40:00,82.155,82.155,82.08,82.105,13772
2021-10-04 12:35:00,82.145,82.165,82.085,82.16,11931
2021-10-04 12:30:00,82.16,82.18,82.13,82.14,11662
2021-10-04 12:25:00,82.2,82.2,82.1374,82.15,14009
2021-10-04 12:20:00,82.18,82.24,82.16,82.19,9420
2021-10-04 12:15:00,82.24,82.24,82.16,82.17,7703
2021-10-04 12:10:00,82.16,82.23,82.14,82.225,17853
2021-10-04 12:05:00,82.375,82.375,82.16,82.16,9205
2021-10-04 12:00:00,82.16,82.405,82.16,82.375,17370
2021-10-04 11:55:00,82.24,82.305,82.15,82.19,18649
2021-10-04 11:50:00,82.18,82.32,82.12,82.22,9506
2021-10-04 11:45:00,82.11,82.19,82.035,82.19,11797
2021-10-04 11:40:00,82.11,82.17,82.03,82.09,10818
2021-10-04 11:35:00,82.26,82.27,82.1,82.1,13338
2021-10-04 11:30:00,82.1467,82.24,82.13,82.2,12781
2021-10-04 11:25:00,82.325,82.365,82.155,82.155,15571
2021-10-04 11:20:00,82.395,82.41,82.32,82.32,14598
2021-10-04 11:15:00,82.23,82.445,82.19,82.42,10972
2021-10-04 11:10:00,82.085,82.275,82.03,82.25,11062
2021-10-04 11:05:00,82.075,82.1,81.96,82.1,14148
2021-10-04 11:00:00,82.01,82.1,81.98,82.06,13761
2021-10-04 10:55:00,82.11,82.2,81.96,82.01,38782
2021-10-04 10:50:00,82.14,82.27,82.09,82.12,23751
2021-10-04 10:45:00,82.075,82.21,82.04,82.2,21072
2021-10-04 10:40:00,82.17,82.19,82.0,82.03,19172
2021-10-04 10:35:00,82.39,82.48,82.23,82.23,13278
2021-10-04 10:30:00,82.62,82.69,82.43,82.44,23242
2021-10-04 10:25:00,82.92,83.005,82.61,82.61,9985
2021-10-04 10:20:00,83.055,83.12,82.88,82.89,9483
2021-10-04 10:15:00,82.87,83.09,82.87,83.09,10563
2021-10-04 10:10:00,82.74,82.97,82.6,82.91,18927
2021-10-04 10:05:00,82.89,83.025,82.69,82.775,11128
2021-10-04 10:00:00,83.02,83.07,82.87,82.97,12120
2021-10-04 09:55:00,82.89,83.1,82.88,83.01,16517
2021-10-04 09:50:00,82.885,83.125,82.72,82.94,14722
2021-10-04 09:45:00,82.9281,83.09,82.725,82.9,20114
2021-10-04 09:40:00,82.955,83.11,82.89,83.01,17788
2021-10-04 09:35:00,82.11,83.09,81.98,82.86,75006
2021-10-04 09:30:00,82.76,82.76,82.73,82.73,1000
2021-10-04 08:30:00,82.5,82.5,82.5,82.5,215
2021-10-04 06:10:00,82.49,82.49,82.49,82.49,100
2021-10-04 04:05:00,82.63,82.63,82.63,82.63,100
2021-10-01 16:30:00,82.5,82.5,82.5,82.5,390
2021-10-01 16:05:00,82.5,82.5,82.5,82.5,40617
2021-10-01 16:00:00,82.63,82.63,82.36,82.5,112516
2021-10-01 15:55:00,82.52,82.72,82.47,82.64,56168
2021-10-01 15:50:00,82.59,82.59,82.44,82.51,26393
2021-10-01 15:45:00,82.71,82.72,82.55,82.59,24308
2021-10-01 15:40:00,82.7899,82.7899,82.7,82.7,18105
2021-10-01 15:35:00,82.77,82.78,82.65,82.78,23008
2021-10-01 15:30:00,82.82,82.82,82.7575,82.77,9093
2021-10-01 15:25:00,82.82,82.87,82.81,82.83,14377
2021-10-01 15:20:00,82.93,83.0,82.79,82.8175,16066
2021-10-01 15:15:00,82.86,82.92,82.85,82.92,8661
2021-10-01 15:10:00,82.9,82.9,82.81,82.87,9776
2021-10-01 15:05:00,82.6875,82.905,82.6875,82.9,13429
2021-10-01 15:00:00,82.65,82.73,82.65,82.68,11284
2021-10-01 14:55:00,82.6,82.65,82.55,82.64,14065
2021-10-01 14:50:00,82.54,82.61,82.54,82.6,12682
