time,open,high,low,close,volume
2021-10-04 17:10:00,93.16,93.16,93.16,93.16,100
2021-10-04 16:05:00,93.38,93.38,93.38,93.38,14695
2021-10-04 16:00:00,93.25,93.53,93.24,93.37,58926
2021-10-04 15:55:00,93.49,93.49,93.07,93.22,24260
2021-10-04 15:50:00,93.58,93.69,93.51,93.51,13099
2021-10-04 15:45:00,93.31,93.615,93.305,93.55,19779
2021-10-04 15:40:00,93.525,93.54,93.29,93.29,9867
2021-10-04 15:35:00,93.45,93.56,93.33,93.55,10760
2021-10-04 15:30:00,93.3,93.45,93.28,93.45,8359
2021-10-04 15:25:00,93.37,93.37,93.28,93.28,5510
2021-10-04 15:20:00,93.49,93.57,93.34,93.34,5878
2021-10-04 15:15:00,93.495,93.57,93.41,93.5,7630
2021-10-04 15:10:00,93.56,93.58,93.49,93.57,8417
2021-10-04 15:05:00,93.48,93.55,93.42,93.54,4050
2021-10-04 15:00:00,93.43,93.5,93.41,93.435,5716
2021-10-04 14:55:00,93.41,93.49,93.35,93.41,6637
2021-10-04 14:50:00,93.32,93.38,93.29,93.38,6031
2021-10-04 14:45:00,93.37,93.41,93.23,93.27,12385
2021-10-04 14:40:00,93.4,93.42,93.33,93.42,3675
2021-10-04 14:35:00,93.36,93.38,93.24,93.38,6168
2021-10-04 14:30:00,93.38,93.38,93.25,93.28,3301
2021-10-04 14:25:00,93.32,93.5,93.28,93.42,7032
2021-10-04 14:20:00,93.405,93.44,93.27,93.325,5734
2021-10-04 14:15:00,93.55,93.55,93.25,93.39,23187
2021-10-04 14:10:00,93.57,93.65,93.47,93.595,6276
2021-10-04 14:05:00,93.64,93.73,93.52,93.56,4276
2021-10-04 14:00:00,93.66,93.66,93.58,93.63,5349
2021-10-04 13:55:00,93.82,93.83,93.65,93.65,23724
2021-10-04 13:50:00,93.85,93.9,93.76,93.88,3057
2021-10-04 13:45:00,93.87,93.89,93.79,93.88,2408
2021-10-04 13:40:00,93.88,93.91,93.84,93.91,2442
2021-10-04 13:35:00,93.92,93.96,93.75,93.86,4030
2021-10-04 13:30:00,94.0,94.0,93.88,93.88,2434
2021-10-04 13:25:00,93.88,94.085,93.86,94.085,9202
2021-10-04 13:20:00,94.11,94.165,93.96,93.995,2459
2021-10-04 13:15:00,94.125,94.24,94.125,94.14,1995
2021-10-04 13:10:00,93.75,94.08,93.75,94.07,4143
2021-10-04 13:05:00,94.06,94.06,93.75,93.765,13476
2021-10-04 13:00:00,94.05,94.1,94.02,94.05,3198
2021-10-04 12:55:00,94.08,94.08,93.84,93.99,13766
2021-10-04 12:50:00,94.0,94.04,93.89,94.04,5588
2021-10-04 12:45:00,94.18,94.18,93.94,93.9873,6179
2021-10-04 12:40:00,94.25,94.26,94.16,94.21,12770
2021-10-04 12:35:00,94.21,94.25,94.12,94.23,5050
2021-10-04 12:30:00,94.11,94.22,94.07,94.17,3892
2021-10-04 12:25:00,94.23,94.23,94.09,94.09,2159
2021-10-04 12:20:00,94.24,94.27,94.22,94.22,1713
2021-10-04 12:15:00,94.215,94.26,94.16,94.22,1655
2021-10-04 12:10:00,94.13,94.29,94.12,94.29,2104
2021-10-04 12:05:00,94.24,94.28,94.13,94.1517,2113
2021-10-04 12:00:00,94.08,94.37,94.08,94.37,3465
2021-10-04 11:55:00,93.99,94.22,93.9357,94.22,3799
2021-10-04 11:50:00,94.18,94.23,93.995,94.0374,5104
2021-10-04 11:45:00,93.82,94.23,93.78,94.23,4689
2021-10-04 11:40:00,93.92,94.0,93.77,93.81,3958
2021-10-04 11:35:00,93.95,94.01,93.83,93.9,14036
2021-10-04 11:30:00,93.78,94.0,93.73,93.9,7503
2021-10-04 11:25:00,94.15,94.2,93.83,93.83,4758
2021-10-04 11:20:00,94.3,94.3,94.11,94.25,4208
2021-10-04 11:15:00,94.3,94.36,94.26,94.32,6757
2021-10-04 11:10:00,94.08,94.3,94.0,94.3,7928
2021-10-04 11:05:00,94.41,94.41,94.04,94.18,6819
2021-10-04 11:00:00,94.06,94.55,94.055,94.5,5930
2021-10-04 10:55:00,94.66,94.66,94.1355,94.175,7544
2021-10-04 10:50:00,95.24,95.24,94.59,94.645,24015
2021-10-04 10:45:00,94.53,95.21,94.51,95.2,8398
2021-10-04 10:40:00,94.82,94.91,94.4,94.43,8928
2021-10-04 10:35:00,94.985,95.13,94.8478,94.92,17848
2021-10-04 10:30:00,95.16,95.27,94.85,95.05,11397
2021-10-04 10:25:00,95.48,95.51,95.22,95.315,5776
2021-10-04 10:20:00,95.6066,95.66,95.39,95.42,7609
2021-10-04 10:15:00,95.84,95.95,95.58,95.58,14908
2021-10-04 10:10:00,95.41,95.84,95.39,95.84,5362
2021-10-04 10:05:00,95.98,96.1,95.58,95.58,7641
2021-10-04 10:00:00,96.025,96.09,95.8886,96.07,3721
2021-10-04 09:55:00,95.58,95.96,95.51,95.96,8672
2021-10-04 09:50:00,95.475,95.79,95.475,95.685,11656
2021-10-04 09:45:00,94.63,95.4,94.62,95.4,9353
2021-10-04 09:40:00,94.92,95.03,94.43,94.92,3620
2021-10-04 09:35:00,94.06,95.12,94.06,94.86,12290
2021-10-01 16:15:00,94.68,94.68,94.68,94.68,40000
2021-10-01 16:10:00,94.68,94.68,94.68,94.68,21460
2021-10-01 16:00:00,94.71,94.71,94.44,94.67,131573
2021-10-01 15:55:00,94.5,94.83,94.5,94.735,34695
2021-10-01 15:50:00,94.72,94.72,94.5106,94.58,20272
2021-10-01 15:45:00,94.665,94.71,94.62,94.69,14404
2021-10-01 15:40:00,94.56,94.73,94.47,94.67,14537
2021-10-01 15:35:00,94.85,94.85,94.61,94.63,12851
2021-10-01 15:30:00,95.055,95.055,94.8,94.84,6032
2021-10-01 15:25:00,95.12,95.16,95.05,95.05,8410
2021-10-01 15:20:00,95.18,95.22,95.075,95.09,14577
2021-10-01 15:15:00,94.99,95.14,94.99,95.13,4231
2021-10-01 15:10:00,94.99,95.04,94.92,94.98,17741
2021-10-01 15:05:00,94.9,95.01,94.89,95.01,5793
2021-10-01 15:00:00,94.9,94.99,94.85,94.88,3633
2021-10-01 14:55:00,94.71,94.88,94.67,94.88,6021
2021-10-01 14:50:00,94.68,94.76,94.68,94.72,7677
2021-10-01 14:45:00,94.74,94.76,94.66,94.69,5359
2021-10-01 14:40:00,94.71,94.73,94.6702,94.72,2708
2021-10-01 14:35:00,94.72,94.78,94.71,94.73,3515
2021-10-01 14:30:00,94.78,94.79,94.73,94.73,6369
2021-10-01 14:25:00,94.69,94.7939,94.68,94.72,6537
2021-10-01 14:20:00,94.72,94.72,94.67,94.69,2506
2021-10-01 14:15:00,94.68,94.77,94.65,94.655,6637
2021-10-01 14:10:00,94.64,94.655,94.58,94.655,8126
2021-10-01 14:05:00,94.59,94.64,94.54,94.63,9592
2021-10-01 14:00:00,94.67,94.68,94.485,94.59,7703
2021-10-01 13:55:00,94.525,94.62,94.515,94.62,6871
2021-10-01 13:50:00,94.15,94.495,94.14,94.495,7430
2021-10-01 13:45:00,94.01,94.15,93.98,94.15,7823
