time,open,high,low,close,volume
2021-10-08 16:10:00,216.48,216.48,216.48,216.48,4804
2021-10-08 16:05:00,216.48,216.48,216.48,216.48,24984
2021-10-08 16:00:00,216.23,216.72,216.13,216.44,256337
2021-10-08 15:55:00,216.56,216.58,216.04,216.24,86027
2021-10-08 15:50:00,216.365,216.53,216.2518,216.35,58189
2021-10-08 15:45:00,216.31,216.48,216.25,216.365,63992
2021-10-08 15:40:00,216.42,216.45,216.17,216.325,43865
2021-10-08 15:35:00,216.495,216.55,216.26,216.41,41159
2021-10-08 15:30:00,216.52,216.635,216.47,216.495,32630
2021-10-08 15:25:00,216.38,216.54,216.31,216.515,24171
2021-10-08 15:20:00,216.29,216.38,216.17,216.37,45754
2021-10-08 15:15:00,216.11,216.32,216.06,216.305,23256
2021-10-08 15:10:00,216.05,216.11,215.98,216.1,20398
2021-10-08 15:05:00,215.96,216.04,215.84,216.04,28391
2021-10-08 15:00:00,215.93,216.01,215.9099,215.95,22151
2021-10-08 14:55:00,216.07,216.12,215.95,215.965,29590
2021-10-08 14:50:00,216.05,216.1099,215.96,216.08,32973
2021-10-08 14:45:00,216.13,216.14,216.01,216.07,24594
2021-10-08 14:40:00,216.27,216.29,216.09,216.12,25812
2021-10-08 14:35:00,216.5,216.52,216.29,216.29,22834
2021-10-08 14:30:00,216.39,216.5,216.29,216.48,21595
2021-10-08 14:25:00,216.24,216.37,216.2294,216.33,18768
2021-10-08 14:20:00,216.04,216.295,216.0,216.22,24669
2021-10-08 14:15:00,215.9353,216.07,215.85,216.0401,21261
2021-10-08 14:10:00,215.82,215.99,215.82,215.94,20695
2021-10-08 14:05:00,215.62,215.83,215.61,215.7925,22758
2021-10-08 14:00:00,215.58,215.65,215.57,215.6196,9321
2021-10-08 13:55:00,215.48,215.59,215.47,215.59,26938
2021-10-08 13:50:00,215.42,215.5,215.34,215.5,19856
2021-10-08 13:45:00,215.445,215.51,215.35,215.445,17258
2021-10-08 13:40:00,215.5,215.57,215.43,215.44,21041
2021-10-08 13:35:00,215.4,215.565,215.385,215.53,17737
2021-10-08 13:30:00,215.39,215.5,215.31,215.445,36070
