time,open,high,low,close,volume
2021-10-08 16:35:00,175.44,175.44,175.44,175.44,1977
2021-10-08 16:05:00,175.44,175.44,175.44,175.44,6532
2021-10-08 16:00:00,175.34,175.59,175.34,175.45,61507
2021-10-08 15:55:00,175.43,175.56,175.28,175.37,48281
2021-10-08 15:50:00,176.0,176.08,175.31,175.495,24086
2021-10-08 15:45:00,176.5,176.57,175.91,176.0,21897
2021-10-08 15:40:00,176.73,176.73,176.43,176.535,12441
2021-10-08 15:35:00,176.74,176.81,176.63,176.78,24294
2021-10-08 15:30:00,176.93,176.935,176.75,176.76,5575
2021-10-08 15:25:00,176.8608,176.99,176.73,176.9,7596
2021-10-08 15:20:00,177.015,177.095,176.86,176.89,12582
2021-10-08 15:15:00,177.05,177.08,176.96,176.985,8282
2021-10-08 15:10:00,177.11,177.26,177.04,177.095,7823
2021-10-08 15:05:00,176.98,177.16,176.975,177.115,4512
2021-10-08 15:00:00,177.29,177.29,176.995,176.995,4274
2021-10-08 14:55:00,177.31,177.32,177.22,177.24,2954
2021-10-08 14:50:00,177.32,177.33,177.15,177.33,6007
2021-10-08 14:45:00,177.33,177.35,177.2,177.31,5508
2021-10-08 14:40:00,177.475,177.52,177.37,177.37,13284
2021-10-08 14:35:00,177.61,177.61,177.44,177.48,7822
2021-10-08 14:30:00,177.37,177.59,177.35,177.59,5022
2021-10-08 14:25:00,177.285,177.415,177.285,177.355,5126
2021-10-08 14:20:00,177.145,177.35,177.145,177.27,3611
2021-10-08 14:15:00,177.2,177.2,177.02,177.1,5749
2021-10-08 14:10:00,177.12,177.305,177.12,177.21,2882
2021-10-08 14:05:00,176.81,177.17,176.75,177.11,4804
2021-10-08 14:00:00,176.79,176.89,176.74,176.85,2647
2021-10-08 13:55:00,176.75,176.87,176.725,176.83,22712
2021-10-08 13:50:00,176.87,176.87,176.74,176.79,4127
2021-10-08 13:45:00,176.605,176.8,176.605,176.75,7904
2021-10-08 13:40:00,176.75,176.75,176.62,176.62,1566
2021-10-08 13:35:00,176.55,176.81,176.55,176.77,2282
2021-10-08 13:30:00,176.51,176.68,176.51,176.68,1439
2021-10-08 13:25:00,176.56,176.59,176.5,176.59,2930
2021-10-08 13:20:00,176.93,176.93,176.54,176.54,5676
2021-10-08 13:15:00,176.8,177.08,176.8,177.08,2337
2021-10-08 13:10:00,176.77,176.77,176.6,176.74,3512
2021-10-08 13:05:00,176.75,176.82,176.665,176.665,3883
2021-10-08 13:00:00,176.81,176.86,176.75,176.82,2763
2021-10-08 12:55:00,176.785,176.845,176.75,176.84,2733
2021-10-08 12:50:00,177.09,177.09,176.79,176.79,2314
2021-10-08 12:45:00,177.09,177.15,177.09,177.14,4074
2021-10-08 12:40:00,177.09,177.21,177.0,177.09,4788
2021-10-08 12:35:00,176.8448,177.07,176.84,177.07,5555
2021-10-08 12:30:00,177.35,177.35,176.885,176.885,11783
2021-10-08 12:25:00,177.35,177.51,177.29,177.35,5857
2021-10-08 12:20:00,177.32,177.43,177.285,177.344,6977
2021-10-08 12:15:00,177.28,177.45,177.28,177.45,5848
2021-10-08 12:10:00,177.33,177.45,177.28,177.35,4796
2021-10-08 12:05:00,177.19,177.35,177.15,177.35,3814
2021-10-08 12:00:00,177.25,177.29,177.16,177.19,3133
2021-10-08 11:55:00,177.28,177.43,177.27,177.295,2086
2021-10-08 11:50:00,177.33,177.38,177.05,177.25,4145
2021-10-08 11:45:00,177.3,177.33,177.27,177.33,2534
2021-10-08 11:40:00,177.0,177.36,176.97,177.33,4233
2021-10-08 11:35:00,177.41,177.47,176.97,177.06,3821
2021-10-08 11:30:00,177.33,177.47,177.32,177.35,1831
2021-10-08 11:25:00,177.66,177.66,177.35,177.4,3337
2021-10-08 11:20:00,177.87,177.9,177.85,177.85,1589
2021-10-08 11:15:00,177.77,178.265,177.77,177.98,4749
2021-10-08 11:10:00,177.8,177.965,177.645,177.79,9531
2021-10-08 11:05:00,178.07,178.09,177.81,177.81,29708
2021-10-08 11:00:00,178.0,178.09,177.955,178.09,4880
2021-10-08 10:55:00,178.0999,178.1,177.975,178.01,4091
2021-10-08 10:50:00,177.75,178.12,177.75,178.0,5042
2021-10-08 10:45:00,177.47,177.695,177.47,177.695,4842
2021-10-08 10:40:00,177.4,177.61,177.32,177.5,13843
2021-10-08 10:35:00,176.92,177.39,176.92,177.38,2465
2021-10-08 10:30:00,177.06,177.06,176.84,176.84,3097
2021-10-08 10:25:00,177.18,177.18,176.88,177.09,3532
2021-10-08 10:20:00,177.92,177.94,177.3,177.375,5261
2021-10-08 10:15:00,177.56,177.955,177.54,177.875,7076
2021-10-08 10:10:00,177.35,177.76,177.35,177.62,2346
2021-10-08 10:05:00,177.33,177.5,177.275,177.275,3573
2021-10-08 10:00:00,177.15,177.42,177.07,177.42,2552
2021-10-08 09:55:00,176.56,176.99,176.305,176.98,18520
2021-10-08 09:50:00,176.97,177.24,176.495,176.495,6725
2021-10-08 09:45:00,176.32,176.7179,176.205,176.41,6715
2021-10-08 09:40:00,176.09,176.165,175.43,176.165,3291
2021-10-08 09:35:00,176.96,177.28,176.0,176.0,5815
2021-10-07 16:40:00,176.64,176.64,176.64,176.64,3546
2021-10-07 16:05:00,176.64,176.64,176.64,176.64,11636
2021-10-07 16:00:00,176.64,176.69,176.48,176.64,51804
2021-10-07 15:55:00,177.11,177.14,176.56,176.69,26600
2021-10-07 15:50:00,176.81,177.16,176.81,177.16,13035
2021-10-07 15:45:00,177.08,177.12,176.77,176.77,13919
2021-10-07 15:40:00,177.17,177.21,177.06,177.06,7752
2021-10-07 15:35:00,176.96,177.25,176.94,177.14,8042
2021-10-07 15:30:00,177.07,177.13,176.98,176.98,5355
2021-10-07 15:25:00,176.78,177.14,176.78,177.14,4914
2021-10-07 15:20:00,176.97,177.0259,176.84,176.9,4298
2021-10-07 15:15:00,176.95,176.96,176.82,176.96,2483
2021-10-07 15:10:00,176.64,177.03,176.64,177.03,2821
2021-10-07 15:05:00,176.85,176.85,176.49,176.56,6386
2021-10-07 15:00:00,176.93,177.05,176.87,176.87,2879
2021-10-07 14:55:00,177.15,177.165,176.925,176.98,2516
2021-10-07 14:50:00,177.18,177.32,177.15,177.28,3916
2021-10-07 14:45:00,177.35,177.35,177.22,177.22,1589
2021-10-07 14:40:00,177.35,177.365,177.26,177.365,3732
2021-10-07 14:35:00,177.52,177.55,177.37,177.39,2568
2021-10-07 14:30:00,177.64,177.72,177.34,177.465,7151
2021-10-07 14:25:00,178.03,178.03,177.69,177.7,3596
2021-10-07 14:20:00,178.45,178.45,178.16,178.16,5761
2021-10-07 14:15:00,178.65,178.69,178.48,178.48,18629
2021-10-07 14:10:00,178.5,178.69,178.39,178.61,22317
2021-10-07 14:05:00,179.0,179.05,178.51,178.51,19481
2021-10-07 14:00:00,179.0,179.08,178.97,179.02,6045
2021-10-07 13:55:00,178.9975,179.04,178.99,178.995,4566
2021-10-07 13:50:00,179.17,179.17,178.995,179.0577,4346
2021-10-07 13:45:00,179.03,179.13,179.03,179.12,1778
2021-10-07 13:40:00,179.07,179.07,178.98,179.02,812
2021-10-07 13:35:00,178.99,179.25,178.95,179.07,10432
2021-10-07 13:30:00,178.7,179.03,178.7,179.0,23864
2021-10-07 13:25:00,178.75,178.75,178.55,178.68,5809
2021-10-07 13:20:00,178.65,178.73,178.65,178.73,4099
2021-10-07 13:15:00,178.775,178.775,178.62,178.62,1212
2021-10-07 13:10:00,178.9,178.9,178.71,178.71,1660
2021-10-07 13:05:00,179.04,179.04,178.895,178.895,2000
2021-10-07 13:00:00,178.875,178.95,178.87,178.95,1287
2021-10-07 12:55:00,178.74,178.89,178.71,178.89,4692
2021-10-07 12:50:00,178.85,178.85,178.63,178.69,2644
2021-10-07 12:45:00,178.9,179.0,178.64,178.8,40464
2021-10-07 12:40:00,178.7,178.88,178.66,178.88,3589
2021-10-07 12:35:00,178.76,178.97,178.69,178.77,13820
2021-10-07 12:30:00,178.64,178.85,178.61,178.78,5390
2021-10-07 12:25:00,178.86,178.86,178.59,178.67,4129
