time,open,high,low,close,volume
2021-10-08 20:00:00,47.99,47.99,47.99,47.99,800
2021-10-08 19:55:00,47.99,47.99,47.99,47.99,200
2021-10-08 19:45:00,47.99,47.99,47.99,47.99,431
2021-10-08 19:40:00,47.99,47.99,47.99,47.99,100
2021-10-08 19:35:00,47.99,47.99,47.99,47.99,418
2021-10-08 19:30:00,47.98,47.98,47.98,47.98,5000
2021-10-08 19:25:00,47.98,47.98,47.98,47.98,240
2021-10-08 19:20:00,47.98,47.98,47.98,47.98,1828
2021-10-08 19:00:00,47.91,47.9501,47.91,47.95,910
2021-10-08 18:55:00,47.91,47.91,47.91,47.91,300
2021-10-08 18:20:00,47.98,47.98,47.98,47.98,500
2021-10-08 18:15:00,47.98,47.98,47.98,47.98,100
2021-10-08 18:10:00,47.98,47.98,47.98,47.98,500
2021-10-08 18:05:00,47.91,47.91,47.91,47.91,125
2021-10-08 18:00:00,47.9,47.9,47.9,47.9,100
2021-10-08 17:55:00,47.99,47.99,47.97,47.97,1682
2021-10-08 17:45:00,47.9901,47.9901,47.9901,47.9901,300
2021-10-08 17:40:00,47.98,47.98,47.98,47.98,601
2021-10-08 17:25:00,47.98,47.98,47.98,47.98,350
2021-10-08 17:15:00,47.97,47.99,47.97,47.99,1001
2021-10-08 17:10:00,47.97,48.0,47.97,48.0,8400
2021-10-08 17:05:00,47.97,47.97,47.97,47.97,850
2021-10-08 16:50:00,47.97,47.97,47.97,47.97,600
2021-10-08 16:30:00,48.01,48.02,48.01,48.02,1394
2021-10-08 16:25:00,47.957653,48.0,47.957653,48.0,10179
2021-10-08 16:20:00,48.0,48.0,48.0,48.0,7867
2021-10-08 16:15:00,47.98,47.98,47.98,47.98,200
2021-10-08 16:10:00,47.97,48.0,47.97,48.0,8086
2021-10-08 16:05:00,48.0,48.0,48.0,48.0,108359
2021-10-08 16:00:00,48.05,48.07,47.98,48.0,1023435
2021-10-08 15:55:00,48.02,48.075,47.97,48.05,329119
2021-10-08 15:50:00,48.0399,48.08,48.015,48.025,200957
2021-10-08 15:45:00,48.04,48.045,47.99,48.0352,201884
2021-10-08 15:40:00,48.09,48.1,48.035,48.045,215750
2021-10-08 15:35:00,48.065,48.1,48.045,48.1,111654
2021-10-08 15:30:00,48.015,48.065,48.0101,48.0645,124538
2021-10-08 15:25:00,47.995,48.03,47.96,48.005,103987
2021-10-08 15:20:00,47.955,48.0,47.9401,47.9901,100671
2021-10-08 15:15:00,47.94,47.98,47.935,47.955,95200
2021-10-08 15:10:00,47.95,47.97,47.9245,47.955,89120
2021-10-08 15:05:00,47.94,47.96,47.91,47.945,87033
2021-10-08 15:00:00,47.915,47.965,47.905,47.94,65910
2021-10-08 14:55:00,47.92,47.96,47.9101,47.9101,70927
2021-10-08 14:50:00,47.91,47.935,47.89,47.925,91606
2021-10-08 14:45:00,47.92,47.935,47.9,47.91,70834
2021-10-08 14:40:00,47.935,47.935,47.9,47.915,66070
2021-10-08 14:35:00,47.98,47.99,47.93,47.9347,112366
2021-10-08 14:30:00,47.91,47.985,47.9,47.975,156311
2021-10-08 14:25:00,47.895,47.92,47.88,47.91,87109
2021-10-08 14:20:00,47.88,47.93,47.86,47.895,93445
2021-10-08 14:15:00,47.87,47.905,47.84,47.88,104278
2021-10-08 14:10:00,47.87,47.8997,47.85,47.875,85188
2021-10-08 14:05:00,47.8001,47.88,47.8,47.865,81585
2021-10-08 14:00:00,47.8099,47.85,47.8002,47.81,108452
2021-10-08 13:55:00,47.81,47.82,47.79,47.81,66988
2021-10-08 13:50:00,47.78,47.8198,47.76,47.8102,70770
2021-10-08 13:45:00,47.74,47.78,47.73,47.78,54086
2021-10-08 13:40:00,47.7899,47.7899,47.715,47.74,81079
2021-10-08 13:35:00,47.74,47.81,47.73,47.79,146108
2021-10-08 13:30:00,47.72,47.76,47.7101,47.74,107927
2021-10-08 13:25:00,47.805,47.825,47.725,47.725,110747
2021-10-08 13:20:00,47.9,47.905,47.805,47.81,254213
2021-10-08 13:15:00,47.89,47.925,47.88,47.91,85920
2021-10-08 13:10:00,47.94,47.95,47.895,47.9,42038
2021-10-08 13:05:00,47.905,47.9558,47.905,47.93,60918
2021-10-08 13:00:00,47.95,47.975,47.8948,47.905,60860
2021-10-08 12:55:00,47.905,47.96,47.905,47.955,121031
2021-10-08 12:50:00,47.94,47.94,47.895,47.91,108453
2021-10-08 12:45:00,47.95,47.985,47.93,47.94,88763
