time,open,high,low,close,volume
2021-10-08 16:05:00,156.04,156.3,155.95,156.27,761749
2021-10-08 16:00:00,156.43,156.97,155.98,156.04,186667
2021-10-08 15:55:00,156.475,156.96,156.05,156.4395,85014
2021-10-08 15:50:00,156.56,156.75,156.5103,156.605,13729
2021-10-08 15:45:00,156.65,156.71,156.51,156.59,7165
2021-10-08 15:40:00,156.98,157.01,156.54,156.615,9952
2021-10-08 15:35:00,157.08,157.12,156.94,156.94,5186
2021-10-08 15:30:00,157.06,157.18,157.051,157.051,3682
2021-10-08 15:25:00,157.15,157.22,157.06,157.06,2786
2021-10-08 15:20:00,157.07,157.18,157.01,157.15,3234
2021-10-08 15:15:00,157.23,157.3023,157.12,157.12,5024
2021-10-08 15:10:00,157.15,157.225,157.13,157.225,3162
2021-10-08 15:05:00,157.06,157.19,156.92,157.08,12969
2021-10-08 15:00:00,157.11,157.2,157.08,157.08,4715
2021-10-08 14:55:00,157.22,157.22,157.08,157.11,2891
2021-10-08 14:50:00,157.17,157.28,157.11,157.2293,2690
2021-10-08 14:45:00,157.145,157.265,157.14,157.195,2755
2021-10-08 14:40:00,157.2,157.26,157.07,157.17,3298
2021-10-08 14:35:00,157.34,157.43,157.23,157.355,2799
2021-10-08 14:30:00,157.31,157.5,157.29,157.4,7168
2021-10-08 14:25:00,157.15,157.24,156.99,157.24,4181
2021-10-08 14:20:00,156.95,157.18,156.95,157.1,4224
2021-10-08 14:15:00,156.99,157.08,156.98,156.98,2310
2021-10-08 14:10:00,157.03,157.09,156.93,157.05,5791
2021-10-08 14:05:00,156.98,157.11,156.94,157.015,4032
2021-10-08 14:00:00,156.73,156.98,156.69,156.89,5041
2021-10-08 13:55:00,156.69,156.8,156.68,156.73,2347
2021-10-08 13:50:00,156.45,156.74,156.45,156.72,4071
2021-10-08 13:45:00,156.43,156.53,156.4,156.53,3577
2021-10-08 13:40:00,156.5847,156.5847,156.31,156.385,4236
2021-10-08 13:35:00,156.43,156.57,156.4,156.57,4927
2021-10-08 13:30:00,156.555,156.59,156.44,156.515,3036
2021-10-08 13:25:00,156.545,156.63,156.53,156.56,2078
2021-10-08 13:20:00,156.95,156.96,156.44,156.55,6881
2021-10-08 13:15:00,156.91,157.0,156.84,156.94,3856
2021-10-08 13:10:00,156.78,156.94,156.735,156.94,3335
2021-10-08 13:05:00,156.87,156.97,156.79,156.8,5589
2021-10-08 13:00:00,157.05,157.065,156.92,156.92,14418
2021-10-08 12:55:00,156.8,157.04,156.8,157.04,6026
2021-10-08 12:50:00,156.995,157.04,156.8,156.8,3802
2021-10-08 12:45:00,156.94,157.16,156.94,157.04,7912
2021-10-08 12:40:00,156.63,156.84,156.63,156.84,1360
2021-10-08 12:35:00,156.33,156.6171,156.3,156.585,6240
2021-10-08 12:30:00,156.51,156.52,156.38,156.395,4716
2021-10-08 12:25:00,156.6,156.6,156.4,156.45,3614
2021-10-08 12:20:00,156.7,156.735,156.53,156.6,1899
2021-10-08 12:15:00,156.825,156.825,156.5219,156.72,4478
2021-10-08 12:10:00,156.72,156.83,156.6354,156.77,2697
2021-10-08 12:05:00,156.53,156.59,156.42,156.57,2992
2021-10-08 12:00:00,156.45,156.5,156.4,156.49,3648
2021-10-08 11:55:00,156.45,156.58,156.36,156.49,4027
2021-10-08 11:50:00,156.63,156.69,156.52,156.52,3830
2021-10-08 11:45:00,156.65,156.75,156.5,156.5,3688
2021-10-08 11:40:00,156.75,156.88,156.685,156.76,3017
2021-10-08 11:35:00,156.93,157.1651,156.795,156.795,5624
2021-10-08 11:30:00,156.98,157.21,156.98,157.0,2916
2021-10-08 11:25:00,157.32,157.32,157.03,157.1,3187
2021-10-08 11:20:00,157.36,157.42,157.25,157.35,3722
2021-10-08 11:15:00,157.38,157.56,157.27,157.466,2106
2021-10-08 11:10:00,157.365,157.41,157.25,157.41,3108
2021-10-08 11:05:00,157.58,157.67,157.38,157.38,5195
2021-10-08 11:00:00,157.74,157.83,157.58,157.6,3947
2021-10-08 10:55:00,157.09,158.0,157.09,157.77,7638
2021-10-08 10:50:00,156.74,157.09,156.54,156.99,8761
2021-10-08 10:45:00,157.09,157.16,156.43,156.655,16352
2021-10-08 10:40:00,157.57,157.73,157.26,157.26,5868
